Value,Year,ProviderType,Purpose
7656113,2012,COLLEGE,EDUCATION
119716,2012,COMPANY,EDUCATION
805979,2012,COMPANY,EDUCATION
41856,2012,COLLEGE,EDUCATION
1274983,2012,COLLEGE,EDUCATION
8886637,2012,COLLEGE,EDUCATION
38432,2012,COMPANY,EDUCATION
566754,2012,COMPANY,EDUCATION
269387,2012,COMPANY,EDUCATION
1630904,2012,COMPANY,EDUCATION
295489,2012,COLLEGE,EDUCATION
1025930,2012,COLLEGE,EDUCATION
7280777,2012,COLLEGE,EDUCATION
163464,2012,COMPANY,EDUCATION
2079667,2012,COMPANY,EDUCATION
46372,2012,COMPANY,EDUCATION
255360,2012,COMPANY,EDUCATION
173021,2012,COMPANY,EDUCATION
340445,2012,COMPANY,EDUCATION
102190,2012,COLLEGE,EDUCATION
719548,2012,COLLEGE,EDUCATION
4845168,2012,COLLEGE,EDUCATION
172398,2012,COLLEGE,EDUCATION
1213408,2012,COLLEGE,EDUCATION
11585150,2012,COLLEGE,EDUCATION
703326,2012,COLLEGE,EDUCATION
270889,2012,COMPANY,EDUCATION
784070,2012,COMPANY,EDUCATION
367033,2012,COLLEGE,EDUCATION
631440,2012,COLLEGE,EDUCATION
2554669,2012,COLLEGE,EDUCATION
119336,2012,COMPANY,EDUCATION
353322,2012,COMPANY,EDUCATION
45057,2012,COMPANY,EDUCATION
412576,2012,COMPANY,EDUCATION
956117,2012,COLLEGE,EDUCATION
2526669,2012,COLLEGE,EDUCATION
13700460,2012,COLLEGE,EDUCATION
1128619,2012,COMPANY,EDUCATION
2791889,2012,COMPANY,EDUCATION
406568,2012,COLLEGE,EDUCATION
1818583,2012,COLLEGE,EDUCATION
6169465,2012,COLLEGE,EDUCATION
17033,2012,COMPANY,EDUCATION
299920,2012,COMPANY,EDUCATION
36223,2012,COLLEGE,EDUCATION
271526,2012,COMPANY,EDUCATION
980664,2012,COMPANY,EDUCATION
385838,2012,COMPANY,EDUCATION
722285,2012,COMPANY,EDUCATION
1557119,2012,COMPANY,EDUCATION
12038518,2012,COMPANY,EDUCATION
13883776,2012,COMPANY,EDUCATION
545992,2012,COMPANY,EDUCATION
1206724,2012,COMPANY,EDUCATION
373462,2012,COMPANY,EDUCATION
545444,2012,COMPANY,EDUCATION
215413,2012,COMPANY,EDUCATION
721461,2012,COMPANY,EDUCATION
291150,2012,COLLEGE,EDUCATION
