,Institution,Year,Purpose,Region,Value
2024,GATESHEADCOLLEGE,2015,EDUCATION,UNKNOWN,22053419
2025,GATESHEADCOLLEGE,2016,EDUCATION,UNKNOWN,17340255
2026,GATESHEADCOUNCIL,2012,EDUCATION,UNKNOWN,2387786
2027,GATESHEADCOUNCIL,2013,EDUCATION,UNKNOWN,3041992
2028,GATESHEADCOUNCIL,2014,EDUCATION,UNKNOWN,3495822
2029,GATESHEADCOUNCIL,2015,EDUCATION,UNKNOWN,3854693
2030,GATESHEADCOUNCIL,2016,EDUCATION,UNKNOWN,4107356
2031,GATEWAYSIXTHFORMCOLLEGE,2012,EDUCATION,UNKNOWN,287979
2032,GATEWAYSIXTHFORMCOLLEGE,2013,EDUCATION,UNKNOWN,129880
2033,GATEWAYSIXTHFORMCOLLEGE,2014,EDUCATION,UNKNOWN,83623
2034,GATEWAYSIXTHFORMCOLLEGE,2015,EDUCATION,UNKNOWN,92735
2035,GATEWAYSIXTHFORMCOLLEGE,2016,EDUCATION,UNKNOWN,118312
2036,GBTRAININGUK,2012,EDUCATION,UNKNOWN,202000
2037,GBTRAININGUK,2013,EDUCATION,UNKNOWN,2099925
2038,GBTRAININGUK,2014,EDUCATION,UNKNOWN,4162393
2039,GBTRAININGUK,2015,EDUCATION,UNKNOWN,4669231
2040,GBTRAININGUK,2016,EDUCATION,UNKNOWN,2810075
2041,GCI,2012,BUSINESS,UNKNOWN,10000000
2042,GEENERGYPOWERCONVERSION,2016,RESEARCH,WEST MIDLANDS,828355
2043,GENIIENGINEERINGANDTECHNOLOGYTRAINING,2012,EDUCATION,UNKNOWN,3157510
2044,GENIIENGINEERINGTECHNOLOGYTRAINING,2013,EDUCATION,UNKNOWN,4212346
2045,GENIIENGINEERINGTECHNOLOGYTRAINING,2014,EDUCATION,UNKNOWN,4615809
2046,GENIIENGINEERINGTECHNOLOGYTRAINING,2015,EDUCATION,UNKNOWN,5408670
2047,GENIIENGINEERINGTECHNOLOGYTRAINING,2016,EDUCATION,UNKNOWN,4367395
2048,GENUSPLC,2015,RESEARCH,SOUTH EAST,191994
2049,GERMINALHOLDINGS,2015,RESEARCH,NORTHERN IRELAND,246912
2050,GERMINALHOLDINGS,2016,RESEARCH,NORTHERN IRELAND,264816
2051,GHDEANCO,2015,RESEARCH,SOUTH EAST,387114
2052,GHQTRAINING,2012,EDUCATION,UNKNOWN,702680
2053,GHQTRAINING,2013,EDUCATION,UNKNOWN,1140435
2054,GHQTRAINING,2014,EDUCATION,UNKNOWN,1131667
2055,GHQTRAINING,2015,EDUCATION,UNKNOWN,1065049
2056,GHQTRAINING,2016,EDUCATION,UNKNOWN,693971
2057,GIGGLINGSQUID,2015,BUSINESS,UNKNOWN,6400000
2058,GIGROUP,2012,EDUCATION,UNKNOWN,4729
2059,GIGROUPRECRUITMENT,2013,EDUCATION,UNKNOWN,922046
2060,GIGROUPRECRUITMENT,2014,EDUCATION,UNKNOWN,1853083
2061,GIGROUPRECRUITMENT,2015,EDUCATION,UNKNOWN,1557214
2062,GIGROUPRECRUITMENT,2016,EDUCATION,UNKNOWN,871313
2063,GKAPPRENTICESHIPS,2016,EDUCATION,UNKNOWN,847608
2064,GKNAEROSPACESERVICES,2014,BUSINESS,SOUTH EAST,7042373
2065,GKNAEROSPACESERVICES,2016,BUSINESS,SOUTH EAST,4000000
2066,GKNAUTOSTRUCTURES,2016,RESEARCH,WEST MIDLANDS,3327305
2067,GLASGOWCALEDONIANUNIVERSITY,2014,RESEARCH,SCOTLAND,1927516
2068,GLAXOSMITHKLINERESEARCHDEVELOPMENT,2016,RESEARCH,SOUTH EAST,634526
2069,GLOUCESTERSHIRECOLLEGE,2012,EDUCATION,UNKNOWN,10261601
2070,GLOUCESTERSHIRECOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,723289
2071,GLOUCESTERSHIRECOLLEGE,2013,EDUCATION,UNKNOWN,10839716
2072,GLOUCESTERSHIRECOLLEGE,2013,RESEARCH,UNKNOWN,390800
2073,GLOUCESTERSHIRECOLLEGE,2014,EDUCATION,UNKNOWN,9497913
2074,GLOUCESTERSHIRECOLLEGE,2015,EDUCATION,UNKNOWN,8430695
2075,GLOUCESTERSHIRECOLLEGE,2016,EDUCATION,UNKNOWN,8116390
2076,GLOUCESTERSHIRECOUNTYCOUNCIL,2012,EDUCATION,UNKNOWN,2962591
2077,GLOUCESTERSHIRECOUNTYCOUNCIL,2013,EDUCATION,UNKNOWN,2946107
2078,GLOUCESTERSHIRECOUNTYCOUNCIL,2014,EDUCATION,UNKNOWN,2684390
2079,GLOUCESTERSHIRECOUNTYCOUNCIL,2015,EDUCATION,UNKNOWN,2417098
2080,GLOUCESTERSHIREENGINEERINGTRAINING,2014,EDUCATION,UNKNOWN,1177416
2081,GLOUCESTERSHIREENGINEERINGTRAINING,2015,EDUCATION,UNKNOWN,1261724
2082,GLOUCESTERSHIREENGINEERINGTRAINING,2016,EDUCATION,UNKNOWN,1106674
2083,GLOUCESTERSHIREENTERPRISE,2016,EDUCATION,UNKNOWN,30300
2084,GNOSYSGLOBAL,2016,EDUCATION,SOUTH EAST,262755
2085,GOLDSMITHSCOLLEGE,2012,EDUCATION,LONDON,10664647
2086,GOLDSMITHSCOLLEGE,2012,KNOWLEDGE EXCHANGE,LONDON,19146833
2087,GOLDSMITHSCOLLEGE,2012,RESEARCH,LONDON,8151035
2088,GOLDSMITHSCOLLEGE,2013,EDUCATION,LONDON,7411132
2089,GOLDSMITHSCOLLEGE,2013,KNOWLEDGE EXCHANGE,LONDON,331151
2090,GOLDSMITHSCOLLEGE,2013,RESEARCH,LONDON,7411132
2091,GOLDSMITHSCOLLEGE,2014,EDUCATION,LONDON,4598613
2092,GOLDSMITHSCOLLEGE,2014,KNOWLEDGE EXCHANGE,LONDON,331151
2093,GOLDSMITHSCOLLEGE,2014,RESEARCH,LONDON,7715971
2094,GOLDSMITHSCOLLEGE,2015,EDUCATION,LONDON,4746953
2095,GOLDSMITHSCOLLEGE,2015,KNOWLEDGE EXCHANGE,LONDON,311761
2096,GOLDSMITHSCOLLEGE,2015,RESEARCH,LONDON,5464368
2097,GOLDSMITHSCOLLEGE,2016,EDUCATION,LONDON,4824241
2098,GOLDSMITHSCOLLEGE,2016,KNOWLEDGE EXCHANGE,LONDON,383741
2099,GOLDSMITHSCOLLEGE,2016,RESEARCH,LONDON,5716647
2100,GOODRICHACTUATIONSYSTEMS,2016,BUSINESS,WEST MIDLANDS,2889587
2101,GORDONFRANKS,2012,EDUCATION,UNKNOWN,388805
2102,GORDONFRANKS,2013,EDUCATION,UNKNOWN,888674
2103,GORDONFRANKSTRAINING,2014,EDUCATION,UNKNOWN,626797
2104,GORDONFRANKSTRAINING,2015,EDUCATION,UNKNOWN,505232
2105,GORDONFRANKSTRAINING,2016,EDUCATION,UNKNOWN,363923
2106,GORDONMURRAYDESIGN,2016,RESEARCH,SOUTH EAST,1857490
2107,GOUSTO,2015,BUSINESS,UNKNOWN,28000000
2108,GPSTRATEGIESTRAINING,2012,EDUCATION,UNKNOWN,13863254
2109,GPSTRATEGIESTRAINING,2013,EDUCATION,UNKNOWN,23146973
2110,GPSTRATEGIESTRAINING,2014,EDUCATION,UNKNOWN,28483284
2111,GPSTRATEGIESTRAINING,2015,EDUCATION,UNKNOWN,28995684
2112,GPSTRATEGIESTRAINING,2016,EDUCATION,UNKNOWN,19873220
2113,GRACECOLE,2016,BUSINESS,UNKNOWN,10000000
2114,GRANDMMBLACKLEDGEPLC,2012,EDUCATION,UNKNOWN,197862
2115,GRANTHAMCOLLEGE,2012,EDUCATION,UNKNOWN,3471659
2116,GRANTHAMCOLLEGE,2013,EDUCATION,UNKNOWN,3973673
2117,GRANTHAMCOLLEGE,2013,RESEARCH,UNKNOWN,28543
2118,GRANTHAMCOLLEGE,2014,EDUCATION,UNKNOWN,3214786
2119,GRANTHAMCOLLEGE,2015,EDUCATION,UNKNOWN,2601417
2120,GRANTHAMCOLLEGE,2016,EDUCATION,UNKNOWN,2206854
2121,GREATERBRIGHTONCONSTRUCTIONTRAINING,2012,EDUCATION,UNKNOWN,52964
2122,GREATYARMOUTHCOLLEGE,2012,EDUCATION,UNKNOWN,3185828
2123,GREATYARMOUTHCOLLEGE,2013,EDUCATION,UNKNOWN,3593123
2124,GREATYARMOUTHCOLLEGE,2014,EDUCATION,UNKNOWN,3366921
2125,GREATYARMOUTHCOLLEGE,2015,EDUCATION,UNKNOWN,2904607
2126,GREENBANKPROJECT,2012,EDUCATION,UNKNOWN,705444
2127,GREENBANKPROJECTTHE,2013,EDUCATION,UNKNOWN,613398
2128,GREENBANKPROJECTTHE,2014,EDUCATION,UNKNOWN,513843
2129,GREENBANKPROJECTTHE,2015,EDUCATION,UNKNOWN,454995
2130,GREENBANKPROJECTTHE,2016,EDUCATION,UNKNOWN,688820
2131,GREENBANKSERVICES,2012,EDUCATION,UNKNOWN,93383
2132,GREENBANKSERVICES,2013,EDUCATION,UNKNOWN,64438
2133,GREENBANKSERVICES,2014,EDUCATION,UNKNOWN,69031
2134,GREENBANKSERVICES,2015,EDUCATION,UNKNOWN,36422
2135,GREENBANKSERVICES,2016,EDUCATION,UNKNOWN,7546
2136,GREENBANKTEROTECH,2016,RESEARCH,EAST MIDLANDS,356709
2137,GREENCOREFOODTOGO,2015,RESEARCH,EAST MIDLANDS,308024
2138,GREENCOREPREPAREDMEALS,2016,RESEARCH,EAST MIDLANDS,575382
2139,GREENGAGELIGHTING,2015,RESEARCH,UNKNOWN,171141
2140,GREENINCEU,2016,EDUCATION,UNKNOWN,34282
2141,GREENWICHCOMMUNITYCOLLEGE,2012,EDUCATION,UNKNOWN,8638546
2142,GREENWICHCOMMUNITYCOLLEGE,2013,EDUCATION,UNKNOWN,7520892
2143,GREENWICHCOMMUNITYCOLLEGE,2014,EDUCATION,UNKNOWN,4721730
2144,GREENWICHLEISURE,2016,EDUCATION,UNKNOWN,202541
2145,GREENWICHLONDONBOROUGHCOUNCIL,2012,EDUCATION,UNKNOWN,1925963
2146,GRIMSBYINSTITUTEOFFURTHERANDHIGHEREDUCATION,2012,EDUCATION,UNKNOWN,17654498
2147,GRIMSBYINSTITUTEOFFURTHERANDHIGHEREDUCATION,2012,KNOWLEDGE EXCHANGE,UNKNOWN,4229029
2148,GRIMSBYINSTITUTEOFFURTHERANDHIGHEREDUCATION,2013,EDUCATION,UNKNOWN,14684920
2149,GRIMSBYINSTITUTEOFFURTHERANDHIGHEREDUCATION,2013,RESEARCH,UNKNOWN,2482077
2150,GRIMSBYINSTITUTEOFFURTHERANDHIGHEREDUCATION,2014,EDUCATION,UNKNOWN,13310485
2151,GRIMSBYINSTITUTEOFFURTHERANDHIGHEREDUCATION,2015,EDUCATION,UNKNOWN,10750846
2152,GRIMSBYINSTITUTEOFFURTHERANDHIGHEREDUCATION,2016,EDUCATION,UNKNOWN,9762332
2153,GRMMBLACKLEDGEPLC,2013,EDUCATION,UNKNOWN,414295
2154,GRMMBLACKLEDGEPLC,2014,EDUCATION,UNKNOWN,420768
2155,GRMMBLACKLEDGEPLC,2015,EDUCATION,UNKNOWN,310707
2156,GRMMBLACKLEDGEPLC,2016,EDUCATION,UNKNOWN,58583
2157,GTAENGLAND,2012,EDUCATION,UNKNOWN,4068452
2158,GUILDFORDCOLLEGE,2012,EDUCATION,UNKNOWN,1250958
2159,GUILDFORDCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,1250958
2160,GUILDFORDCOLLEGE,2013,EDUCATION,UNKNOWN,7636377
2161,GUILDFORDCOLLEGE,2013,RESEARCH,UNKNOWN,662401
2162,GUILDFORDCOLLEGE,2014,EDUCATION,UNKNOWN,7060760
2163,GUILDFORDCOLLEGE,2015,EDUCATION,UNKNOWN,5418916
2164,GUILDFORDCOLLEGE,2016,EDUCATION,UNKNOWN,389020
2165,GUILDFORDCOLLEGEOFFURTHERANDHIGHEREDUCATION,2012,EDUCATION,UNKNOWN,7135733
2166,GUILDFORDCOLLEGEOFFURTHERANDHIGHEREDUCATION,2016,EDUCATION,UNKNOWN,3640282
2167,GUILDHALLSCHOOLOFMUSICANDDRAMA,2015,RESEARCH,LONDON,36104
2168,GUILDHALLSCHOOLOFMUSICANDDRAMA,2016,RESEARCH,LONDON,192023
2169,GUILDHALLSCHOOLOFMUSICDRAMA,2012,EDUCATION,UNKNOWN,1732384
2170,GUILDHALLSCHOOLOFMUSICDRAMA,2012,KNOWLEDGE EXCHANGE,UNKNOWN,2265024
2171,GUILDHALLSCHOOLOFMUSICDRAMA,2012,RESEARCH,UNKNOWN,227273
2172,GUILDHALLSCHOOLOFMUSICDRAMA,2013,EDUCATION,UNKNOWN,1523688
2173,GUILDHALLSCHOOLOFMUSICDRAMA,2013,KNOWLEDGE EXCHANGE,UNKNOWN,305367
2174,GUILDHALLSCHOOLOFMUSICDRAMA,2013,RESEARCH,UNKNOWN,1523688
2175,GUILDHALLSCHOOLOFMUSICDRAMA,2014,EDUCATION,UNKNOWN,1053968
2176,GUILDHALLSCHOOLOFMUSICDRAMA,2014,KNOWLEDGE EXCHANGE,UNKNOWN,305367
2177,GUILDHALLSCHOOLOFMUSICDRAMA,2014,RESEARCH,UNKNOWN,239531
2178,GUILDHALLSCHOOLOFMUSICDRAMA,2015,EDUCATION,UNKNOWN,864189
2179,GUILDHALLSCHOOLOFMUSICDRAMA,2015,KNOWLEDGE EXCHANGE,UNKNOWN,397661
2180,GUILDHALLSCHOOLOFMUSICDRAMA,2015,RESEARCH,UNKNOWN,305634
2181,GUILDHALLSCHOOLOFMUSICDRAMA,2016,EDUCATION,UNKNOWN,4931944
2182,GUILDHALLSCHOOLOFMUSICDRAMA,2016,KNOWLEDGE EXCHANGE,UNKNOWN,389956
2183,GUILDHALLSCHOOLOFMUSICDRAMA,2016,RESEARCH,UNKNOWN,318080
2184,GYMBOX,2014,BUSINESS,UNKNOWN,25000000
2185,HACKNEYCOMMUNITYCOLLEGE,2012,EDUCATION,UNKNOWN,11512870
2186,HACKNEYCOMMUNITYCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,22675
2187,HACKNEYCOMMUNITYCOLLEGE,2013,EDUCATION,UNKNOWN,12087468
2188,HACKNEYCOMMUNITYCOLLEGE,2013,RESEARCH,UNKNOWN,116896
2189,HACKNEYCOMMUNITYCOLLEGE,2014,EDUCATION,UNKNOWN,10942288
2190,HACKNEYCOMMUNITYCOLLEGE,2015,EDUCATION,UNKNOWN,10134200
2191,HACKNEYLONDONBOROUGHCOUNCIL,2013,EDUCATION,UNKNOWN,2236711
2192,HACKNEYLONDONBOROUGHCOUNCIL,2014,EDUCATION,UNKNOWN,2177628
2193,HACKNEYLONDONBOROUGHCOUNCIL,2015,EDUCATION,UNKNOWN,2082869
2194,HACKNEYLONDONBOROUGHCOUNCIL,2016,EDUCATION,UNKNOWN,3469737
2195,HADDONTRAINING,2012,EDUCATION,UNKNOWN,1115074
2196,HADDONTRAINING,2013,EDUCATION,UNKNOWN,1538391
2197,HADDONTRAINING,2014,EDUCATION,UNKNOWN,1891768
2198,HADDONTRAINING,2015,EDUCATION,UNKNOWN,2370486
2199,HADDONTRAINING,2016,EDUCATION,UNKNOWN,2133980
2200,HADLOWCOLLEGE,2012,EDUCATION,UNKNOWN,2240884
2201,HADLOWCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,162987
2202,HADLOWCOLLEGE,2013,EDUCATION,UNKNOWN,4730351
2203,HADLOWCOLLEGE,2013,RESEARCH,UNKNOWN,64942
2204,HADLOWCOLLEGE,2014,EDUCATION,UNKNOWN,72582
2205,HADLOWCOLLEGE,2015,EDUCATION,UNKNOWN,68975
2206,HADLOWCOLLEGE,2016,EDUCATION,UNKNOWN,133432
2207,HAIRACADEMYSOUTHWEST,2013,EDUCATION,UNKNOWN,1181508
2208,HAIRACADEMYSOUTHWEST,2014,EDUCATION,UNKNOWN,770463
2209,HAIRACADEMYSOUTHWEST,2015,EDUCATION,UNKNOWN,718918
2210,HAIRACADEMYSOUTHWEST,2016,EDUCATION,UNKNOWN,880800
2211,HAIRACADEMYSW,2012,EDUCATION,UNKNOWN,1090869
2212,HAIRANDBEAUTYINDUSTRYTRAINING,2012,EDUCATION,UNKNOWN,420246
2213,HAIRANDBEAUTYINDUSTRYTRAINING,2013,EDUCATION,UNKNOWN,483370
2214,HAIRANDBEAUTYINDUSTRYTRAINING,2014,EDUCATION,UNKNOWN,735062
2215,HAIRANDBEAUTYINDUSTRYTRAINING,2015,EDUCATION,UNKNOWN,756963
2216,HAIRANDBEAUTYINDUSTRYTRAINING,2016,EDUCATION,UNKNOWN,523535
2217,HALESOWENCOLLEGE,2012,EDUCATION,UNKNOWN,2345442
2218,HALESOWENCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,27606
2219,HALESOWENCOLLEGE,2013,EDUCATION,UNKNOWN,2842128
2220,HALESOWENCOLLEGE,2013,RESEARCH,UNKNOWN,60855
2221,HALESOWENCOLLEGE,2014,EDUCATION,UNKNOWN,2112267
2222,HALESOWENCOLLEGE,2015,EDUCATION,UNKNOWN,1925806
2223,HALESOWENCOLLEGE,2016,EDUCATION,UNKNOWN,1672180
2224,HALFORDS,2014,EDUCATION,UNKNOWN,229374
2225,HALFORDS,2015,EDUCATION,UNKNOWN,1319783
2226,HALFORDS,2016,EDUCATION,UNKNOWN,459646
2227,HALTONBOROUGHCOUNCIL,2012,EDUCATION,UNKNOWN,779915
2228,HALTONBOROUGHCOUNCIL,2013,EDUCATION,UNKNOWN,694748
2229,HALTONBOROUGHCOUNCIL,2014,EDUCATION,UNKNOWN,723985
2230,HALTONBOROUGHCOUNCIL,2015,EDUCATION,UNKNOWN,632900
2231,HALTONBOROUGHCOUNCIL,2016,EDUCATION,UNKNOWN,1042884
2232,HAMMERSMITHANDFULHAMLONDONBOROUGHCOUNCIL,2012,EDUCATION,UNKNOWN,3123876
2233,HAMMERSMITHANDFULHAMLONDONBOROUGHCOUNCIL,2013,EDUCATION,UNKNOWN,2960478
2234,HAMMERSMITHANDFULHAMLONDONBOROUGHCOUNCIL,2014,EDUCATION,UNKNOWN,3076401
2235,HAMMERSMITHANDFULHAMLONDONBOROUGHCOUNCIL,2015,EDUCATION,UNKNOWN,2763000
2236,HAMMERSMITHANDFULHAMLONDONBOROUGHCOUNCIL,2016,EDUCATION,UNKNOWN,4573077
2237,HAMPSHIRECOUNTYCOUNCIL,2012,EDUCATION,UNKNOWN,2213009
2238,HAMPSHIRECOUNTYCOUNCIL,2013,EDUCATION,UNKNOWN,2136290
2239,HAMPSHIRECOUNTYCOUNCIL,2014,EDUCATION,UNKNOWN,1940382
2240,HAMPSHIRECOUNTYCOUNCIL,2015,EDUCATION,UNKNOWN,1969163
2241,HAMPSHIRECOUNTYCOUNCIL,2016,EDUCATION,UNKNOWN,3752708
2242,HARINGEYLONDONBOROUGHCOUNCIL,2012,EDUCATION,UNKNOWN,2212992
2243,HARINGEYLONDONBOROUGHCOUNCIL,2013,EDUCATION,UNKNOWN,2026356
2244,HARINGEYLONDONBOROUGHCOUNCIL,2014,EDUCATION,UNKNOWN,1971565
2245,HARINGEYLONDONBOROUGHCOUNCIL,2015,EDUCATION,UNKNOWN,1765094
2246,HARINGEYLONDONBOROUGHCOUNCIL,2016,EDUCATION,UNKNOWN,2940162
2247,HARLOWCOLLEGE,2012,EDUCATION,UNKNOWN,9237426
2248,HARLOWCOLLEGE,2013,EDUCATION,UNKNOWN,8663145
2249,HARLOWCOLLEGE,2014,EDUCATION,UNKNOWN,7721866
2250,HARLOWCOLLEGE,2015,EDUCATION,UNKNOWN,6597311
2251,HARLOWCOLLEGE,2016,EDUCATION,UNKNOWN,5931635
2252,HARPERADAMSUNIVERSITY,2012,EDUCATION,WEST MIDLANDS,10545144
2253,HARPERADAMSUNIVERSITY,2012,KNOWLEDGE EXCHANGE,WEST MIDLANDS,10828933
2254,HARPERADAMSUNIVERSITY,2012,RESEARCH,WEST MIDLANDS,283789
2255,HARPERADAMSUNIVERSITY,2013,EDUCATION,WEST MIDLANDS,8403904
2256,HARPERADAMSUNIVERSITY,2013,RESEARCH,WEST MIDLANDS,8403904
2257,HARPERADAMSUNIVERSITY,2014,EDUCATION,WEST MIDLANDS,7207810
2258,HARPERADAMSUNIVERSITY,2014,RESEARCH,WEST MIDLANDS,898577
2259,HARPERADAMSUNIVERSITY,2015,EDUCATION,WEST MIDLANDS,6122547
2260,HARPERADAMSUNIVERSITY,2015,RESEARCH,WEST MIDLANDS,946130
2261,HARPERADAMSUNIVERSITY,2016,EDUCATION,WEST MIDLANDS,8359087
2262,HARPERADAMSUNIVERSITY,2016,RESEARCH,WEST MIDLANDS,545108
2263,HARROWCOLLEGE,2012,EDUCATION,UNKNOWN,7261056
2264,HARROWCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,45884
2265,HARROWCOLLEGE,2013,EDUCATION,UNKNOWN,64942
2266,HARROWCOLLEGE,2013,RESEARCH,UNKNOWN,39924
2267,HARROWCOLLEGE,2014,EDUCATION,UNKNOWN,6958505
2268,HARROWCOLLEGE,2015,EDUCATION,UNKNOWN,5324249
2269,HARROWCOLLEGE,2016,EDUCATION,UNKNOWN,4758098
2270,HARROWLONDONBOROUGHCOUNCIL,2012,EDUCATION,UNKNOWN,688080
2271,HARROWLONDONBOROUGHCOUNCIL,2013,EDUCATION,UNKNOWN,679145
2272,HARROWLONDONBOROUGHCOUNCIL,2014,EDUCATION,UNKNOWN,715058
2273,HARROWLONDONBOROUGHCOUNCIL,2015,EDUCATION,UNKNOWN,670921
2274,HARROWLONDONBOROUGHCOUNCIL,2016,EDUCATION,UNKNOWN,1110382
2275,HARTLEPOOLBOROUGHCOUNCIL,2012,EDUCATION,UNKNOWN,910770
2276,HARTLEPOOLBOROUGHCOUNCIL,2013,EDUCATION,UNKNOWN,888607
2277,HARTLEPOOLBOROUGHCOUNCIL,2014,EDUCATION,UNKNOWN,852274
2278,HARTLEPOOLBOROUGHCOUNCIL,2015,EDUCATION,UNKNOWN,769619
2279,HARTLEPOOLBOROUGHCOUNCIL,2016,EDUCATION,UNKNOWN,1156592
2280,HARTLEPOOLCOLLEGEOFFURTHEREDUCATION,2012,EDUCATION,UNKNOWN,5894070
2281,HARTLEPOOLCOLLEGEOFFURTHEREDUCATION,2013,EDUCATION,UNKNOWN,5978626
2282,HARTLEPOOLCOLLEGEOFFURTHEREDUCATION,2014,EDUCATION,UNKNOWN,5470981
2283,HARTLEPOOLCOLLEGEOFFURTHEREDUCATION,2015,EDUCATION,UNKNOWN,5454827
2284,HARTLEPOOLCOLLEGEOFFURTHEREDUCATION,2016,EDUCATION,UNKNOWN,4415355
2285,HARTLEPOOLSIXTHFORMCOLLEGE,2012,EDUCATION,UNKNOWN,40037
2286,HARTLEPOOLSIXTHFORMCOLLEGE,2013,EDUCATION,UNKNOWN,18593
2287,HARTLEPOOLSIXTHFORMCOLLEGE,2014,EDUCATION,UNKNOWN,38643
2288,HARTLEPOOLSIXTHFORMCOLLEGE,2015,EDUCATION,UNKNOWN,37816
2289,HARTLEPOOLSIXTHFORMCOLLEGE,2016,EDUCATION,UNKNOWN,31632
2290,HARTPURYCOLLEGE,2012,EDUCATION,UNKNOWN,1806110
2291,HARTPURYCOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,358163
2292,HARTPURYCOLLEGE,2013,EDUCATION,UNKNOWN,1244593
2293,HARTPURYCOLLEGE,2013,RESEARCH,UNKNOWN,562940
2294,HARTPURYCOLLEGE,2014,EDUCATION,UNKNOWN,2180782
2295,HARTPURYCOLLEGE,2015,EDUCATION,UNKNOWN,1888583
2296,HARTPURYCOLLEGE,2016,EDUCATION,UNKNOWN,2462563
2297,HARVARDUNIVERSITY,2016,RESEARCH,OUTSIDE UK,460928
2298,HAVANTANDSOUTHDOWNSCOLLEGE,2016,EDUCATION,UNKNOWN,1865063
2299,HAVANTCOLLEGE,2012,EDUCATION,UNKNOWN,383247
2300,HAVANTCOLLEGE,2013,EDUCATION,UNKNOWN,490185
2301,HAVANTCOLLEGE,2014,EDUCATION,UNKNOWN,499984
2302,HAVANTCOLLEGE,2015,EDUCATION,UNKNOWN,418467
2303,HAVANTCOLLEGE,2016,EDUCATION,UNKNOWN,346321
2304,HAVERINGCOLLEGEOFFURTHERANDHIGHEREDUCATION,2012,EDUCATION,UNKNOWN,9782811
2305,HAVERINGCOLLEGEOFFURTHERANDHIGHEREDUCATION,2012,KNOWLEDGE EXCHANGE,UNKNOWN,2501447
2306,HAVERINGCOLLEGEOFFURTHERANDHIGHEREDUCATION,2013,EDUCATION,UNKNOWN,7128890
2307,HAVERINGCOLLEGEOFFURTHERANDHIGHEREDUCATION,2013,RESEARCH,UNKNOWN,1409373
2308,HAVERINGCOLLEGEOFFURTHERANDHIGHEREDUCATION,2014,EDUCATION,UNKNOWN,7837819
2309,HAVERINGCOLLEGEOFFURTHERANDHIGHEREDUCATION,2015,EDUCATION,UNKNOWN,6170362
2310,HAVERINGCOLLEGEOFFURTHERANDHIGHEREDUCATION,2016,EDUCATION,UNKNOWN,5026953
2311,HAVERINGLONDONBOROUGHCOUNCIL,2013,EDUCATION,UNKNOWN,1540339
2312,HAVERINGLONDONBOROUGHCOUNCIL,2014,EDUCATION,UNKNOWN,1464789
2313,HAVERINGLONDONBOROUGHCOUNCIL,2015,EDUCATION,UNKNOWN,1267077
2314,HAVERINGLONDONBOROUGHCOUNCIL,2016,EDUCATION,UNKNOWN,1813000
2315,HAWKMANAGEMENT,2012,EDUCATION,UNKNOWN,4899215
2316,HAWKMANAGEMENTUK,2013,EDUCATION,UNKNOWN,8269658
2317,HAWKMANAGEMENTUK,2014,EDUCATION,UNKNOWN,10191119
2318,HAWKMANAGEMENTUK,2015,EDUCATION,UNKNOWN,10143288
2319,HAWKMANAGEMENTUK,2016,EDUCATION,UNKNOWN,6162031
2320,HAYDALE,2016,RESEARCH,WALES,557153
2321,HAYSTRAVEL,2012,EDUCATION,UNKNOWN,353464
2322,HAYSTRAVEL,2013,EDUCATION,UNKNOWN,477493
2323,HAYSTRAVEL,2014,EDUCATION,UNKNOWN,490201
2324,HAYSTRAVEL,2015,EDUCATION,UNKNOWN,596608
2325,HAYSTRAVEL,2016,EDUCATION,UNKNOWN,630348
2326,HCUC,2016,EDUCATION,UNKNOWN,5723148
2327,HEALTHANDFITNESSEDUCATION,2015,EDUCATION,UNKNOWN,10207
2328,HEALTHANDSAFETYTRAINING,2012,EDUCATION,UNKNOWN,1043648
2329,HEALTHEDUCATIONENGLANDNORTHEAST,2016,EDUCATION,UNKNOWN,1029866
2330,HEALTHEDUCATIONNORTHEAST,2013,EDUCATION,UNKNOWN,1260421
2331,HEALTHEDUCATIONNORTHEAST,2014,EDUCATION,UNKNOWN,1288992
2332,HEALTHEDUCATIONNORTHEAST,2015,EDUCATION,UNKNOWN,1164150
2333,HEALTHSAFETYTRAINING,2013,EDUCATION,UNKNOWN,1003745
2334,HEALTHSAFETYTRAINING,2014,EDUCATION,UNKNOWN,858690
2335,HEALTHSAFETYTRAINING,2015,EDUCATION,UNKNOWN,640732
2336,HEALTHSAFETYTRAINING,2016,EDUCATION,UNKNOWN,647808
2337,HEARTOFENGLANDTRAINING,2012,EDUCATION,UNKNOWN,2576930
2338,HEARTOFENGLANDTRAINING,2013,EDUCATION,UNKNOWN,3271172
2339,HEARTOFENGLANDTRAINING,2014,EDUCATION,UNKNOWN,3576372
2340,HEARTOFENGLANDTRAINING,2015,EDUCATION,UNKNOWN,4902212
2341,HEARTOFENGLANDTRAINING,2016,EDUCATION,UNKNOWN,3618606
