LeadROName,ProjectCategory,year,AwardPounds
ALLNEX RESINS UK LIMITED,RESEARCH,2017,108644
ALLOTROPE ENERGY LTD,RESEARCH,2016,118761
ALMAC DIAGNOSTICS LIMITED,RESEARCH,2018,500000
ALMAC DIAGNOSTICS LIMITED,BUSINESS,2013,2267635
ALMAC DISCOVERY LIMITED,RESEARCH,2018,1101254
ALP TECHNOLOGIES LTD,RESEARCH,2018,139503
ALP TECHNOLOGIES LTD,RESEARCH,2018,69309
ALSTOM POWER LTD,RESEARCH,2017,670360
ALTAIR MEDICAL  LTD,RESEARCH,2018,125115
ALTENERGIS PLC,RESEARCH,2017,169761
ALVANT LIMITED,RESEARCH,2017,930120
AMBIENTAL TECHNICAL SOLUTIONS LIMITED,RESEARCH,2017,109637
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,RESEARCH,2018,283984
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,BUSINESS,2018,1497239
AMERICAN UNIVERSITY OF BEIRUT,RESEARCH,2016,389398
AMEY GROUP INFORMATION SERVICES LIMITED,RESEARCH,2017,182854
AMEY OWR LIMITED,RESEARCH,2017,644847
AMPETRONIC LIMITED,RESEARCH,2017,683033
AMS SENSORS UK LIMITED,RESEARCH,2017,316702
ANACAIL LIMITED,RESEARCH,2018,336396
ANACAIL LIMITED,RESEARCH,2017,118316
ANACAIL LIMITED,RESEARCH,2018,163278
ANALOX SENSOR TECHNOLOGY LIMITED,RESEARCH,2015,449177
ANB SENSORS LTD,RESEARCH,2018,116193
ANDREW LUCAS LIMITED,RESEARCH,2017,271044
ANDROMEDA DIGITAL LIMTED,EDUCATION,2016,275721
ANGLIA RUSKIN UNIVERSITY,BUSINESS,2017,113481
ANGLIA RUSKIN UNIVERSITY,BUSINESS,2018,87188
ANGLO BIOPHARMA LIMITED,RESEARCH,2018,78011
ANTICH & SONS (HUDDERSFIELD) LIMITED,RESEARCH,2017,2150543
ANTITOPE LIMITED,EDUCATION,2016,144966
ANTIVERSE LTD,RESEARCH,2018,69750
APARITO LIMITED,RESEARCH,2017,201023
API COGNITION LIMITED,RESEARCH,2018,52499
APOLLO RAIL LTD,RESEARCH,2018,338506
APPLIED INSPECTION LIMITED,RESEARCH,2017,726553
APPLIED NANODETECTORS LIMITED,RESEARCH,2017,361903
APPLIED PHOTOPHYSICS LIMITED,RESEARCH,2016,614375
APPLIED PHOTOPHYSICS LIMITED,RESEARCH,2018,38138
APS BIOCONTROL LIMITED,RESEARCH,2015,244826
APS BIOCONTROL LIMITED,RESEARCH,2016,145681
APS BIOCONTROL LIMITED,RESEARCH,2018,1119822
AQDOT LIMITED,RESEARCH,2017,691712
AQUASIUM TECHNOLOGY LIMITED,RESEARCH,2017,672030
ARC TRINOVA LIMITED,RESEARCH,2018,1439929
ARC TRINOVA LIMITED,RESEARCH,2018,1036395
ARCH UK BIOCIDES LIMITED,RESEARCH,2015,477468
ARCHANGEL IMAGING LTD.,RESEARCH,2018,139917
ARCHIPELAGO TECHNOLOGY GROUP LTD,RESEARCH,2017,888564
ARCOLA ENERGY LIMITED,RESEARCH,2018,469141
ARCTORIS LTD,RESEARCH,2018,511773
ARECOR LIMITED,RESEARCH,2017,2261267
ARETE MEDICAL TECHNOLOGIES LTD,RESEARCH,2018,120521
ARID AGRITEC LIMITED,RESEARCH,2017,773712
ARIEL MOTOR COMPANY (AUTOMOTIVE) LIMITED,RESEARCH,2017,6213129
ARM LIMITED,RESEARCH,2017,1339655
ARMAGH OBSERVATORY,RESEARCH,2014,42201
ARMAGH OBSERVATORY,RESEARCH,2015,583388
ARMAGH OBSERVATORY,RESEARCH,2018,544934
ARMAGH OBSERVATORY,RESEARCH,2015,215377
ARMAGH OBSERVATORY,RESEARCH,2017,74539
ARQIT LIMITED,RESEARCH,2018,3251717
ARRIVA UK TRAINS LIMITED,RESEARCH,2017,740677
ARRIVAL LIMITED,RESEARCH,2018,6820884
ARTEMIS INTELLIGENT POWER LIMITED,RESEARCH,2018,10853307
ASEPTIKA LIMITED,RESEARCH,2017,891034
ASEPTIKA LIMITED,RESEARCH,2018,52491
ASHWOODS AUTOMOTIVE LTD,RESEARCH,2016,1708469
ASHWOODS LIGHTFOOT LIMITED,RESEARCH,2017,992809
ASSET INTERNATIONAL LIMITED,RESEARCH,2017,173653
ASSIST MI LTD,RESEARCH,2016,260632
ASTERAND UK ACQUISITION LIMITED,RESEARCH,2016,465970
ASTON MARTIN LAGONDA LIMITED,RESEARCH,2018,2215494
ASTON PARTICLE TECHNOLOGIES LIMITED,RESEARCH,2018,383454
ASTON UNIVERSITY,EDUCATION,2014,1163889
ASTON UNIVERSITY,EDUCATION,2015,1544198
ASTON UNIVERSITY,EDUCATION,2018,1212086
ASTON UNIVERSITY,BUSINESS,2015,142153
ASTON UNIVERSITY,BUSINESS,2016,116093
ASTON UNIVERSITY,BUSINESS,2017,281254
ASTON UNIVERSITY,BUSINESS,2018,254731
ASTON UNIVERSITY,RESEARCH,2015,777148
ASTON UNIVERSITY,RESEARCH,2016,929083
ASTON UNIVERSITY,RESEARCH,2017,1753101
ASTON UNIVERSITY,RESEARCH,2018,4531021
ASTON UNIVERSITY,RESEARCH,2014,188252
ASTON UNIVERSITY,RESEARCH,2015,190084
ASTON UNIVERSITY,RESEARCH,2016,958552
ASTON UNIVERSITY,RESEARCH,2017,189293
ASTON UNIVERSITY,RESEARCH,2018,592814
ASTONISHING LTD,RESEARCH,2018,34989
ASTRAGUARD SYSTEMS LIMITED,RESEARCH,2018,69129
ASTRAZENECA UK LIMITED,RESEARCH,2014,585159
ASTROSCALE LTD,RESEARCH,2018,4179308
ATG UV TECHNOLOGY LIMITED,RESEARCH,2017,321118
ATHENE WORKS LIMITED,RESEARCH,2016,1685818
ATKINS UK,RESEARCH,2015,3221648
ATKINS UK,RESEARCH,2016,3727464
ATLAS GENETICS LIMITED,BUSINESS,2017,1998984
ATMOS INTERNATIONAL LIMITED,RESEARCH,2018,245680
ATTENBOROUGH DENTAL LABORATORIES LTD,RESEARCH,2018,754741
ATWELL INTERNATIONAL LIMITED,RESEARCH,2018,280320
AUGMENTED INSTRUMENTS LTD,RESEARCH,2018,78703
AURECON,RESEARCH,2015,177348
AURELIUS ENVIRONMENTAL LTD,RESEARCH,2018,697779
AUTIFONY THERAPEUTICS LIMITED,RESEARCH,2015,2421118
AUTOCRAFT DRIVETRAIN SOLUTIONS LIMITED,RESEARCH,2017,58756
AUTOLUS LIMITED,RESEARCH,2015,1482960
AUTOLUS LIMITED,RESEARCH,2017,1961446
AUTOLUS LIMITED,RESEARCH,2018,1225847
AUTONAUT LIMITED,RESEARCH,2018,395001
AUTONOMOUS DEVICES LIMITED,RESEARCH,2017,62960
AUTONOMOUS SURFACE VEHICLES LIMITED,RESEARCH,2015,714196
AUTONOMOUS SURFACE VEHICLES LIMITED,RESEARCH,2018,1356560
AUTONOMOUS SURFACE VEHICLES LIMITED,RESEARCH,2017,264245
AUTOTECH ENGINEERING R&D UK LIMITED,RESEARCH,2018,602904
AUTOTRIP LTD,RESEARCH,2017,161605
AVALON BEHAVIOUR VENTURES LIMITED,RESEARCH,2015,438937
AVALON BEHAVIOUR VENTURES LIMITED,RESEARCH,2018,106006
AVALON PRODUCE LIMITED,RESEARCH,2016,137307
AVALON SCIENCES LIMITED,RESEARCH,2017,220745
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2015,2075472
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2016,2125090
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2017,719531
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2017,198318
AVL POWERTRAIN UK LIMITED,RESEARCH,2017,1362496
AVL POWERTRAIN UK LIMITED,RESEARCH,2018,317829
AVON POLYMER PRODUCTS LIMITED,RESEARCH,2018,106572
AVONWOOD DEVELOPMENTS LIMITED,RESEARCH,2017,673685
AXI-TEK LTD,RESEARCH,2018,69030
AXIS BIOSERVICES LIMITED,EDUCATION,2018,307205
AYUDA HEURISTICS LTD,RESEARCH,2018,620129
AZELLON LTD,RESEARCH,2015,1622220
B G RESEARCH LIMITED,RESEARCH,2017,69849
B G RESEARCH LIMITED,RESEARCH,2018,665353
B-HIVE INNOVATIONS LIMITED,RESEARCH,2017,956027
B-HIVE INNOVATIONS LIMITED,RESEARCH,2018,510688
BABCOCK INTEGRATED TECHNOLOGY LIMITED,RESEARCH,2016,694453
BABRAHAM INSTITUTE,EDUCATION,2016,304482
BABRAHAM INSTITUTE,RESEARCH,2015,329409
BABRAHAM INSTITUTE,RESEARCH,2016,1892343
BABRAHAM INSTITUTE,RESEARCH,2017,1078788
BABRAHAM INSTITUTE,RESEARCH,2018,1448618
BABRAHAM INSTITUTE,RESEARCH,2014,94126
BABRAHAM INSTITUTE,RESEARCH,2015,284210
BABRAHAM INSTITUTE,RESEARCH,2016,96696
BAE SYSTEMS (OPERATIONS) LIMITED,RESEARCH,2018,516025
BAM NUTTALL LIMITED,RESEARCH,2015,431090
BANGOR UNIVERSITY,EDUCATION,2018,917706
BANGOR UNIVERSITY,BUSINESS,2016,66203
BANGOR UNIVERSITY,BUSINESS,2017,188540
BANGOR UNIVERSITY,BUSINESS,2018,88668
BANGOR UNIVERSITY,RESEARCH,2014,3898100
BANGOR UNIVERSITY,RESEARCH,2015,2075481
BANGOR UNIVERSITY,RESEARCH,2016,1336794
BANGOR UNIVERSITY,RESEARCH,2017,6201798
BANGOR UNIVERSITY,RESEARCH,2018,1817478
BARE CONDUCTIVE LTD,RESEARCH,2018,89996
BARRIER EX LIMITED,RESEARCH,2018,214929
BARRNON LTD,BUSINESS,2018,1499950
BASE MATERIALS LIMITED,RESEARCH,2017,1057204
BATH SPA UNIVERSITY,EDUCATION,2016,131113
BATH SPA UNIVERSITY,RESEARCH,2014,766260
BATH SPA UNIVERSITY,RESEARCH,2016,79794
BATH SPA UNIVERSITY,RESEARCH,2017,1429856
BE MORE DIGITAL LIMITED,RESEARCH,2018,46876
BEAMLINE DIAGNOSTICS LIMITED,RESEARCH,2018,750594
BEKO PLC,RESEARCH,2017,104227
BELLVEDI LIMITED,RESEARCH,2018,446637
BENNAMANN LTD,RESEARCH,2017,383770
BENTLEY MOTORS LIMITED,RESEARCH,2018,1327001
BERAN INSTRUMENTS LIMITED,RESEARCH,2015,565322
BERINGAR LTD,RESEARCH,2018,51237
BERRY GARDENS GROWERS LIMITED,RESEARCH,2017,689440
BERRY GARDENS GROWERS LIMITED,RESEARCH,2018,495791
BERRY GARDENS GROWERS LIMITED,RESEARCH,2016,184132
BERRY GARDENS LIMITED,RESEARCH,2018,103784
BETA BUGS LIMITED,RESEARCH,2018,69908
BFB LABS LTD,RESEARCH,2018,325031
BICYCLE THERAPEUTICS LIMITED,RESEARCH,2018,119649
BIG COUCH LTD,RESEARCH,2018,248742
BIG HEALTH LTD,RESEARCH,2018,820979
BIO-FLEX YARNS LIMITED,RESEARCH,2018,506680
BIOCATALYSTS LIMITED,RESEARCH,2018,59736
BIOGELX LIMITED,EDUCATION,2017,121315
BIOINTERACTIONS LIMITED,EDUCATION,2015,168789
BIOME TECHNOLOGIES PLC,RESEARCH,2016,315705
BIOME TECHNOLOGIES PLC,RESEARCH,2017,650489
BIOME TECHNOLOGIES PLC,EDUCATION,2015,97485
BIOMOTI LIMITED,RESEARCH,2017,662222
BIOMOTI LIMITED,RESEARCH,2018,78579
BIONEMA LIMITED,RESEARCH,2018,594179
BIOPHARMA PROCESS SYSTEMS LIMITED,RESEARCH,2018,78876
BIOPOWER TECHNOLOGIES LIMITED,RESEARCH,2017,289191
BIOSYSTEMS TECHNOLOGY LIMITED,RESEARCH,2018,192853
BIOSYSTEMS TECHNOLOGY LIMITED,RESEARCH,2018,69799
BIOTOOLOMICS LIMITED,RESEARCH,2018,67078
BIOTRONICS 3D LIMITED,EDUCATION,2015,259912
BIOVENTIX PLC,EDUCATION,2018,77433
BIOVERSITY INTERNATIONAL,RESEARCH,2017,293658
BIOVICI LIMITED,RESEARCH,2017,618809
BIOVORN LIMITED,RESEARCH,2018,69968
BIRKBECK COLLEGE,EDUCATION,2015,1015063
BIRKBECK COLLEGE,EDUCATION,2018,1338211
BIRKBECK COLLEGE,RESEARCH,2013,1687805
BIRKBECK COLLEGE,RESEARCH,2014,2179170
BIRKBECK COLLEGE,RESEARCH,2015,1224115
BIRKBECK COLLEGE,RESEARCH,2016,1519756
BIRKBECK COLLEGE,RESEARCH,2017,3835145
BIRKBECK COLLEGE,RESEARCH,2018,2089062
BIRKBECK COLLEGE,RESEARCH,2017,81539
BIRKBECK COLLEGE,RESEARCH,2018,82332
BIRMINGHAM CITY UNIVERSITY,EDUCATION,2017,135478
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2014,115262
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2016,113722
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2017,180723
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2018,96336
BIRMINGHAM CITY UNIVERSITY,RESEARCH,2016,440025
BIRMINGHAM CITY UNIVERSITY,RESEARCH,2017,683712
BIRMINGHAM CITY UNIVERSITY,RESEARCH,2018,59989
BIRMINGHAM HIGH PERFORMANCE TURBOMACHINERY LIMITED,RESEARCH,2018,388093
BLADEBUG LIMITED,RESEARCH,2017,58626
BLADON JETS (UK) LIMITED,RESEARCH,2017,935659
BLAKBEAR LTD,RESEARCH,2018,68724
BLATCHFORD PRODUCTS LTD,RESEARCH,2017,330784
BLEEPBLEEPS LIMITED,RESEARCH,2018,44951
BLOCK DOX LIMITED,RESEARCH,2018,769731
BLOCK DOX LIMITED,EDUCATION,2017,184615
BLOCK DOX LIMITED,BUSINESS,2018,350000
BLOKUR LTD,RESEARCH,2017,634255
BLOW MOULDING TECHNOLOGIES LTD,RESEARCH,2018,69964
BLU WIRELESS TECHNOLOGY LIMITED,RESEARCH,2017,69693
BLUE CASTLE BUSINESS SERVICES  LTD,RESEARCH,2018,197468
BLUE SKY BIO LTD,RESEARCH,2018,138384
BLUE TECH VENTURES LIMITED,RESEARCH,2017,171249
BLUEFROG DESIGN LIMITED,RESEARCH,2015,638548
BLUEPRINT PRODUCT DESIGN LIMITED,RESEARCH,2017,187385
BMLL TECHNOLOGIES LIMITED,RESEARCH,2017,698506
BMT SHIP & COASTAL DYNAMICS LIMITED,RESEARCH,2017,685887
BMW MOTORSPORT LIMITED,RESEARCH,2017,12577135
BODLE TECHNOLOGIES LIMITED,RESEARCH,2017,378223
BOMBARDIER AEROSPACE UK LIMITED,BUSINESS,2018,14036961
BOMBARDIER AEROSPACE UK LIMITED,RESEARCH,2017,37570
BOND DIGITAL HEALTH LTD,RESEARCH,2018,68583
BOTSANDUS LTD.,RESEARCH,2018,69946
BOURNEMOUTH UNIVERSITY,RESEARCH,2018,93345
BOURNEMOUTH UNIVERSITY,RESEARCH,2018,12168
BOURNEMOUTH UNIVERSITY,EDUCATION,2018,185750
BOURNEMOUTH UNIVERSITY,BUSINESS,2016,60429
BOURNEMOUTH UNIVERSITY,BUSINESS,2018,114872
BOURNEMOUTH UNIVERSITY,RESEARCH,2015,146114
BOURNEMOUTH UNIVERSITY,RESEARCH,2016,617225
BOURNEMOUTH UNIVERSITY,RESEARCH,2017,557004
BOURNEMOUTH UNIVERSITY,RESEARCH,2018,310732
BRACKENMORE LTD,RESEARCH,2018,267940
BRAENDLER ENGINEERING LTD,RESEARCH,2018,535389
BRAINTRAIN2020 LIMITED,RESEARCH,2017,324023
BRAINTREE LIMITED,RESEARCH,2017,515908
BRANSCAN LIMITED,RESEARCH,2017,496681
BREATHEOX LIMITED,RESEARCH,2018,104720
"BRECKNELL, WILLIS & CO. LIMITED",RESEARCH,2018,983976
BRIGHTDAY ENGINEERING LTD,RESEARCH,2018,35167
BRILL POWER LIMITED,RESEARCH,2018,136105
BRISTOL AERO LTD,RESEARCH,2018,68851
BRISTOL WATER PLC,EDUCATION,2018,65784
BRIT INST OF INTERNATIONAL AND COMP LAW,RESEARCH,2018,198517
BRITISH BEET RESEARCH ORGANISATION,RESEARCH,2015,1587993
BRITISH BROADCASTING CORPORATION,RESEARCH,2018,506597
BRITISH TEXEL SHEEP SOCIETY LIMITED (THE),RESEARCH,2014,1017438
BRITISH TEXEL SHEEP SOCIETY LIMITED (THE),RESEARCH,2017,532364
BRITISH TRUST FOR ORNITHOLOGY,RESEARCH,2018,127632
BRUNEL UNIVERSITY,EDUCATION,2016,159045
BRUNEL UNIVERSITY,RESEARCH,2013,5699187
BRUNEL UNIVERSITY,RESEARCH,2014,3866425
BRUNEL UNIVERSITY,RESEARCH,2015,12303643
BRUNEL UNIVERSITY,RESEARCH,2016,6324938
BRUNEL UNIVERSITY,RESEARCH,2017,1676776
BRUNEL UNIVERSITY,RESEARCH,2018,2394048
BRUNEL UNIVERSITY,RESEARCH,2014,317949
BRUNEL UNIVERSITY,RESEARCH,2015,413812
BRUNEL UNIVERSITY,RESEARCH,2016,1567520
BRUNEL UNIVERSITY,RESEARCH,2017,826892
BRUNEL UNIVERSITY,RESEARCH,2018,2376445
BRYDEN WOOD TECHNOLOGY LIMITED,RESEARCH,2018,728151
BUFFALOGRID LTD,RESEARCH,2017,266366
BULLION TECH LTD,EDUCATION,2017,319306
BURKARD MANUFACTURING COMPANY LIMITED,RESEARCH,2015,736885
C-CAPTURE LIMITED,RESEARCH,2018,103938
C-TECH INNOVATION LIMITED,RESEARCH,2015,383038
C-TECH INNOVATION LIMITED,RESEARCH,2018,52212
C3 BIO-TECHNOLOGIES LIMITED,RESEARCH,2018,291549
C4 CARBIDES LIMITED,RESEARCH,2018,591713
C4X DISCOVERY LIMITED,RESEARCH,2018,139965
CAB INTERNATIONAL,RESEARCH,2015,256463
CAB INTERNATIONAL,RESEARCH,2016,1211945
CADSCAN LIMITED,RESEARCH,2017,278556
CADSCAN LIMITED,RESEARCH,2018,451908
CADSCAN LIMITED,RESEARCH,2018,164130
CADSCAN LIMITED,RESEARCH,2017,265376
CADSCAN LIMITED,RESEARCH,2018,150192
CAGEN LIMITED,RESEARCH,2018,104633
CAMBIMUNE LIMITED,RESEARCH,2017,244868
CAMBRIDGE BIO-AUGMENTATION SYSTEMS LTD,RESEARCH,2018,647107
CAMBRIDGE CARBON CAPTURE LIMITED,RESEARCH,2017,455592
CAMBRIDGE COGNITION LIMITED,RESEARCH,2017,294283
CAMBRIDGE COGNITION LIMITED,RESEARCH,2018,118761
CAMBRIDGE CRYSTALLOGRAPHIC DATA CENTRE,RESEARCH,2016,96696
CAMBRIDGE DISPLAY TECHNOLOGY LIMITED,RESEARCH,2018,113521
CAMBRIDGE ENVIRONMENTAL RESEARCH CONSULTANTS LIMITED,RESEARCH,2018,263591
CAMBRIDGE GAN DEVICES LIMITED,RESEARCH,2017,306681
CAMBRIDGE GRAPHENE LTD.,RESEARCH,2017,68233
CAMBRIDGE MICROELECTRONICS LTD,RESEARCH,2017,711764
CAMBRIDGE QUANTUM COMPUTING LIMITED,RESEARCH,2018,237138
CAMBRIDGE RESPIRATORY INNOVATIONS LIMITED,RESEARCH,2018,295795
CAMBRIDGE SPARK LIMITED,RESEARCH,2018,416620
CAMENA BIOSCIENCE LIMITED,RESEARCH,2018,1247100
CAMFRIDGE LIMITED,RESEARCH,2016,690323
CAMMELL LAIRD SHIPREPAIRERS & SHIPBUILDERS LIMITED,RESEARCH,2018,1536585
CAMSTECH LIMITED,RESEARCH,2018,100850
CAMSTENT LIMITED,RESEARCH,2018,74448
CAMVERTEC  LIMITED,RESEARCH,2018,68952
CANTERBURY CHRIST CHURCH UNIVERSITY,RESEARCH,2017,202084
CAPACITY BUILDING SUPPORT LIMITED,RESEARCH,2017,961440
CARBONCHAIN.IO LIMITED,RESEARCH,2018,70000
CARDIFF METROPOLITAN UNIVERSITY,RESEARCH,2018,95548
CARDIFF METROPOLITAN UNIVERSITY,EDUCATION,2017,160908
CARDIFF METROPOLITAN UNIVERSITY,BUSINESS,2017,177741
CARDIFF METROPOLITAN UNIVERSITY,RESEARCH,2017,59000
CARDIFF UNIVERSITY,RESEARCH,2018,122251
CARDIFF UNIVERSITY,EDUCATION,2013,909623
CARDIFF UNIVERSITY,EDUCATION,2015,1872895
CARDIFF UNIVERSITY,EDUCATION,2016,1716194
CARDIFF UNIVERSITY,EDUCATION,2017,3220254
CARDIFF UNIVERSITY,EDUCATION,2018,3716849
CARDIFF UNIVERSITY,BUSINESS,2016,507299
CARDIFF UNIVERSITY,BUSINESS,2017,203539
CARDIFF UNIVERSITY,BUSINESS,2018,485135
CARDIFF UNIVERSITY,OTHER GRANT,2016,270340
CARDIFF UNIVERSITY,RESEARCH,2013,7995733
