LeadROName,ProjectCategory,year,AwardPounds
CAREWHERE LIMITED,RESEARCH,2017,421548
CARGILL PLC,RESEARCH,2016,307358
CARNAUDMETALBOX ENGINEERING LIMITED,RESEARCH,2018,1828390
CARR REINFORCEMENTS LIMITED,EDUCATION,2017,332622
CASCADE TECHNOLOGIES LIMITED,RESEARCH,2017,324490
CASCADE TECHNOLOGIES LIMITED,RESEARCH,2017,258347
CASTALUM LIMITED,RESEARCH,2018,832335
CAUSEWAY THERAPEUTICS LIMITED,RESEARCH,2018,1442299
CAV ADVANCED TECHNOLOGIES LIMITED,RESEARCH,2016,1158272
CAV ADVANCED TECHNOLOGIES LIMITED,RESEARCH,2017,817403
CAVENDISH NUCLEAR LIMITED,BUSINESS,2018,1398328
CCM RESEARCH LIMITED,RESEARCH,2017,452946
CCM RESEARCH LIMITED,RESEARCH,2017,576024
CDO2 LIMITED,RESEARCH,2018,382845
CELL AND GENE THERAPY CATAPULT,RESEARCH,2017,12000000
CELL AND GENE THERAPY CATAPULT,RESEARCH,2018,2999198
CELL GUIDANCE SYSTEMS LIMITED,RESEARCH,2017,213622
CELL GUIDANCE SYSTEMS LIMITED,EDUCATION,2017,177436
CELL MEDICA LIMITED,RESEARCH,2017,1999652
CELL THERAPY CATAPULT LIMITED,RESEARCH,2018,74700000
CELLESCE LIMITED,RESEARCH,2018,413965
CELLUCOMP LIMITED,RESEARCH,2016,655621
CELLULAR SYSTEMS (GRANTHAM) LIMITED,RESEARCH,2018,75993
CELLULAR THERAPEUTICS LTD,RESEARCH,2017,817769
CELLULAR THERAPEUTICS LTD,RESEARCH,2017,188783
CELLULAR THERAPEUTICS LTD,RESEARCH,2018,67034
CEMEX UK OPERATIONS LIMITED,RESEARCH,2017,290075
CENERGIST LIMITED,RESEARCH,2017,314142
CENSO BIOTECHNOLOGIES LTD,RESEARCH,2017,834609
CENSO BIOTECHNOLOGIES LTD,RESEARCH,2018,69242
CENTAURI THERAPEUTICS LIMITED,RESEARCH,2017,945039
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,RESEARCH,2013,1171890
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,RESEARCH,2014,581489
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,RESEARCH,2017,203259
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,RESEARCH,2018,274343
CENTRE FOR INNOVATION EXCELLENCE IN LIVESTOCK,RESEARCH,2017,610000
CENTRE FOR PROCESS INNOVATION LIMITED,RESEARCH,2018,13000000
CENTRE FOR PROCESS INNOVATION LIMITED,RESEARCH,2015,1053790
CENTRE FOR PROCESS INNOVATION LIMITED,RESEARCH,2016,427977
CENTRE FOR PROCESS INNOVATION LIMITED,RESEARCH,2017,817242
CERES POWER LIMITED,RESEARCH,2016,772292
CERES POWER LIMITED,RESEARCH,2017,816950
CERYX MEDICAL LIMITED,RESEARCH,2018,104160
CFMS SERVICES LIMITED,RESEARCH,2016,2110008
CGA SIMULATION LIMITED,RESEARCH,2018,746318
CHAIN BIOTECHNOLOGY LIMITED,RESEARCH,2017,553921
CHAIN BIOTECHNOLOGY LIMITED,RESEARCH,2018,69976
CHAPMAN VENTILATION LIMITED,EDUCATION,2017,117620
CHELSEA TECHNOLOGIES GROUP LTD,RESEARCH,2018,74043
CHERRY VALLEY FARMS LIMITED,RESEARCH,2018,658743
CHIARO TECHNOLOGY LIMITED,RESEARCH,2017,419682
CHROMACITY LIMITED,RESEARCH,2018,213421
CHROMITION LIMITED,RESEARCH,2017,378650
CHROMOSOL LIMITED,RESEARCH,2018,104674
CHRONOS TECHNOLOGY LIMITED,RESEARCH,2017,366370
CHRONOS TECHNOLOGY LIMITED,RESEARCH,2018,194829
CHRONOS TECHNOLOGY LIMITED,RESEARCH,2017,339789
CHRONOS THERAPEUTICS LIMITED,RESEARCH,2016,599596
CIELIVESTOCK LIMITED,RESEARCH,2016,29126876
CIELIVESTOCK LIMITED,RESEARCH,2017,276587
CIEVERT LTD,RESEARCH,2018,52016
CIP TECHNOLOGY LTD,RESEARCH,2018,244061
CIPHER SURGICAL LIMITED,RESEARCH,2017,244344
CIRAD,RESEARCH,2015,151872
CISCO INTERNATIONAL LIMITED,RESEARCH,2017,983921
CISCO INTERNATIONAL LIMITED,RESEARCH,2018,4675582
CITI LOGIK LIMITED,RESEARCH,2017,451589
CITY SCIENCE CORPORATION LIMITED,RESEARCH,2018,700866
CITY SCIENCE CORPORATION LIMITED,RESEARCH,2018,596442
CITY UNIVERSITY LONDON,RESEARCH,2017,849396
CITY UNIVERSITY LONDON,RESEARCH,2018,594523
CITY UNIVERSITY LONDON,RESEARCH,2015,416390
CITY UNIVERSITY LONDON,RESEARCH,2016,2326341
CITY UNIVERSITY LONDON,RESEARCH,2017,3065037
CITY UNIVERSITY LONDON,RESEARCH,2018,500336
CITY UNIVERSITY LONDON,RESEARCH,2011,85141
CITY UNIVERSITY LONDON,RESEARCH,2015,75418
CITY UNIVERSITY LONDON,RESEARCH,2018,641985
CIVIL AVIATION AUTHORITY,RESEARCH,2018,984007
CJR PROPULSION LIMITED,RESEARCH,2014,294510
CLARITY BIOSOLUTIONS LIMITED,RESEARCH,2018,406267
CLARITY BIOSOLUTIONS LIMITED,RESEARCH,2017,84437
CLARITY BIOSOLUTIONS LIMITED,RESEARCH,2018,294544
CLEVER SWEETS LIMITED,RESEARCH,2018,69467
CLINICAGENO LIMITED,EDUCATION,2015,287068
CLOUD MADE LIMITED,RESEARCH,2018,167358
CLOUDNC LTD,RESEARCH,2018,488148
CN BIO INNOVATIONS LIMITED,RESEARCH,2017,341988
CNG FUELS LTD,RESEARCH,2017,1959841
CNH INDUSTRIAL N.V.,RESEARCH,2017,9090066
CNR SERVICES INTERNATIONAL LIMITED,RESEARCH,2018,69038
CNRS - DELEGATION MIDI-PYRENEES,RESEARCH,2015,172282
CO2I LTD,RESEARCH,2017,271718
COBRA BIOLOGICS LIMITED,RESEARCH,2016,1403616
COBRA BIOLOGICS LIMITED,RESEARCH,2017,1906751
COBRA BIOLOGICS LIMITED,RESEARCH,2018,59849
COCONTROL LTD,RESEARCH,2018,68521
COG-NEURO SPEECH THERAPY LIMITED,RESEARCH,2018,55535
COGNITIV+ LTD,RESEARCH,2018,404395
COGNIZANT BUSINESS SERVICES UK LIMITED,RESEARCH,2018,125009
COHESION MEDICAL LTD.,RESEARCH,2018,139743
COLDQUANTA UK LIMITED,RESEARCH,2018,180382
COLIN MEAR ENGINEERING LIMITED,RESEARCH,2017,106460
COMPACT CRYOGENICS,RESEARCH,2018,91908
COMPASS OPTICS LIMITED,BUSINESS,2017,39125
COMPOSITES EVOLUTION LIMITED,RESEARCH,2018,373108
COMPOSITES EVOLUTION LIMITED,RESEARCH,2018,150088
COMPOUND SEMICONDUCTOR CENTRE LIMITED,RESEARCH,2017,1139343
COMPOUND SEMICONDUCTOR TECHNOLOGIES GLOBAL LIMITED,RESEARCH,2017,1002782
COMPOUND SEMICONDUCTOR TECHNOLOGIES GLOBAL LIMITED,RESEARCH,2018,732893
COMPOUND SEMICONDUCTOR TECHNOLOGIES GLOBAL LIMITED,EDUCATION,2017,272558
COMPOUND SEMICONDUCTOR TECHNOLOGIES GLOBAL LIMITED,RESEARCH,2017,387897
CONGENICA LTD,RESEARCH,2018,407013
CONNECTED DIGITAL ECONOMY CATAPULT,RESEARCH,2018,910755
CONSTELLIUM UK LIMITED,RESEARCH,2018,1928201
CONTAMAC LIMITED,RESEARCH,2016,389640
CORPORATE RISK ASSOCIATES LIMITED,RESEARCH,2018,69858
CORPORATION POP LTD,RESEARCH,2018,467359
CORROSION RADAR LIMITED,RESEARCH,2018,252522
CORROSION RADAR LIMITED,RESEARCH,2018,180788
CORTEXICA VISION SYSTEMS LIMITED,RESEARCH,2018,679251
CORTIRIO LIMITED,RESEARCH,2018,147164
COSTAIN LIMITED,RESEARCH,2017,389039
COSWORTH LIMITED,RESEARCH,2017,461632
COUNCIL FOR SCI AND INDUSTRIAL RES,RESEARCH,2015,224491
COVENTRY CITY COUNCIL,RESEARCH,2017,79200000
COVENTRY UNIVERSITY,RESEARCH,2018,305554
COVENTRY UNIVERSITY,RESEARCH,2018,176264
COVENTRY UNIVERSITY,EDUCATION,2015,6953160
COVENTRY UNIVERSITY,BUSINESS,2017,209514
COVENTRY UNIVERSITY,BUSINESS,2018,529993
COVENTRY UNIVERSITY,RESEARCH,2013,669208
COVENTRY UNIVERSITY,RESEARCH,2016,257772
COVENTRY UNIVERSITY,RESEARCH,2017,1744173
COVENTRY UNIVERSITY,RESEARCH,2018,1024419
COVERIS FLEXIBLES (GAINSBOROUGH) UK LIMITED,RESEARCH,2018,594895
CRAFT PROSPECT LTD,RESEARCH,2018,52372
CRAFTSMAN TOOLS LIMITED,RESEARCH,2017,78479
CRANFIELD UNIVERSITY,BUSINESS,2015,136069
CRANFIELD UNIVERSITY,BUSINESS,2016,327394
CRANFIELD UNIVERSITY,BUSINESS,2017,68235
CRANFIELD UNIVERSITY,BUSINESS,2018,352264
CRANFIELD UNIVERSITY,RESEARCH,2013,347041
CRANFIELD UNIVERSITY,RESEARCH,2014,631014
CRANFIELD UNIVERSITY,RESEARCH,2015,6014064
CRANFIELD UNIVERSITY,RESEARCH,2016,3094369
CRANFIELD UNIVERSITY,RESEARCH,2017,13409916
CRANFIELD UNIVERSITY,RESEARCH,2018,12359623
CRANFIELD UNIVERSITY,RESEARCH,2014,8371588
CRANFIELD UNIVERSITY,RESEARCH,2015,322680
CRANFIELD UNIVERSITY,RESEARCH,2016,1663570
CRANFIELD UNIVERSITY,RESEARCH,2017,845684
CRANFIELD UNIVERSITY,RESEARCH,2018,1584779
CREATE TECHNOLOGIES LIMITED,RESEARCH,2018,69186
CREATE TECHNOLOGIES LIMITED,BUSINESS,2018,1500000
CREDIT DATA RESEARCH LIMITED,RESEARCH,2017,82038
CREDIT VISION LIMITED,RESEARCH,2016,247230
CRODA EUROPE LIMITED,RESEARCH,2017,350179
CRODA EUROPE LIMITED,EDUCATION,2016,65217
CROFT ADDITIVE MANUFACTURING LTD,RESEARCH,2017,115188
CROP HEALTH AND PROTECTION LIMITED,RESEARCH,2016,17987605
CROP INNOVATIONS,RESEARCH,2017,323090
CROP INTELLECT LTD,RESEARCH,2017,67270
CROP-INNOVATIONS,RESEARCH,2017,269598
CROWD DYNAMICS INTERNATIONAL LIMITED,RESEARCH,2018,123247
CROWN PACKAGING MANUFACTURING UK LIMITED,RESEARCH,2015,701608
CROWN PACKAGING MANUFACTURING UK LIMITED,RESEARCH,2017,561322
CROWN PACKAGING MANUFACTURING UK LIMITED,RESEARCH,2017,250598
CRYOGATT SYSTEMS LIMITED,RESEARCH,2018,1098923
CRYPTA LABS LIMITED,RESEARCH,2018,113913
CRYSTEC LIMITED,RESEARCH,2017,723588
CSCOUT LTD,RESEARCH,2017,391603
CT ENGINEERING GROUP UK LTD,RESEARCH,2018,192944
CUBIC TRANSPORTATION SYSTEMS LIMITED,RESEARCH,2017,280413
CUMMINS LTD.,RESEARCH,2018,1860090
CURATIO INTERNATIONAL FOUNDATION,RESEARCH,2017,684401
CURTIS ANALYTICS LIMITED,RESEARCH,2018,365499
CUSH HEALTH LTD,RESEARCH,2018,38079
CUSTOMEM LTD,RESEARCH,2017,69800
CUTE CIRCUIT LTD,RESEARCH,2018,41759
CYANETICS LTD.,RESEARCH,2018,217328
CYBER-WELD LIMITED,RESEARCH,2018,645496
CYBORN  LIMITED,RESEARCH,2018,177212
CYBULA LIMITED,RESEARCH,2017,578966
CYBULA LIMITED,RESEARCH,2018,69860
CYNATION LIMITED,RESEARCH,2017,172156
CYTECOM LTD,EDUCATION,2018,229003
CYTOSEEK LIMITED,RESEARCH,2018,96344
CYTOX LIMITED,RESEARCH,2018,804810
D.W. WINDSOR LIMITED,RESEARCH,2018,660057
DASHBOARD LIMITED,RESEARCH,2018,678703
DASIC INTERNATIONAL LIMITED,RESEARCH,2018,75000
DATASAT COMMUNICATIONS LIMITED,RESEARCH,2018,1251250
DAVYMARKHAM LIMITED,RESEARCH,2017,671751
DAYSIX LTD,RESEARCH,2018,359674
DE MONTFORT UNIVERSITY,RESEARCH,2018,69730
DE MONTFORT UNIVERSITY,BUSINESS,2015,106504
DE MONTFORT UNIVERSITY,BUSINESS,2018,166333
DE MONTFORT UNIVERSITY,RESEARCH,2016,44044
DE MONTFORT UNIVERSITY,RESEARCH,2017,1051526
DE MONTFORT UNIVERSITY,RESEARCH,2018,795538
DEARMAN ENGINE COMPANY LIMITED,RESEARCH,2016,6311534
DEARMAN ENGINE COMPANY LIMITED,RESEARCH,2018,1047373
DELFT UNIVERSITY OF TECHNOLOGY,RESEARCH,2018,40802
DELTA DIAGNOSTICS (UK) LTD,EDUCATION,2016,211754
DELTA MOTORSPORT LIMITED,RESEARCH,2018,10775187
DEM DX LIMITED,RESEARCH,2018,457758
DEMURIS LIMITED,RESEARCH,2018,204398
DEOS CONSULTANCY LIMITED,RESEARCH,2017,201616
DEREGALLERA LTD,RESEARCH,2018,323507
DESIGN BURO  LIMITED,RESEARCH,2015,549277
DESIGN LED PRODUCTS LIMITED,RESEARCH,2018,187232
DESIGN LED PRODUCTS LIMITED,RESEARCH,2018,189610
DEVRO PLC,RESEARCH,2016,674275
DIAGNOSTICS FOR THE REAL WORLD (EUROPE) LIMITED,RESEARCH,2017,948115
DIAGNOSTIG LTD,RESEARCH,2018,83896
DIAMOND LIGHT SOURCE,RESEARCH,2014,195092
DIAMOND LIGHT SOURCE,RESEARCH,2015,607261
DIAMOND LIGHT SOURCE,RESEARCH,2016,465599
DIAMOND LIGHT SOURCE,RESEARCH,2017,4154803
DIAMOND PHOTOFOIL LTD,RESEARCH,2018,69618
DICE INDUSTRIES LIMITED,RESEARCH,2017,775721
DIETARY ASSESSMENT LTD,RESEARCH,2018,57016
DIGITAL CATAPULT,RESEARCH,2015,400000
DIGITAL CATAPULT,RESEARCH,2018,59751580
DIMENSIONAL IMAGING LIMITED,RESEARCH,2017,134281
DIREK LTD,RESEARCH,2018,570148
DISCUVA LIMITED,RESEARCH,2017,1050000
DISULFICAN LIMITED,RESEARCH,2018,237082
DITHEN LIMITED,RESEARCH,2017,307997
DJS ANTIBODIES LTD,RESEARCH,2017,682149
DMG MORI UK LIMITED,RESEARCH,2018,1486438
DOCTOR FLINT LIMITED,RESEARCH,2018,52500
DOMAINEX LIMITED,RESEARCH,2018,118317
DONCASTERS LIMITED,RESEARCH,2018,704454
DOOSAN BABCOCK LIMITED,RESEARCH,2016,637769
DOYE MOSSE PRODUCTIONS  LTD,RESEARCH,2018,43568
DRISCOLL'S GENETICS LIMITED,RESEARCH,2017,596051
DUCKDUCK LTD,RESEARCH,2018,143928
DUKE KUNSHAN UNIVERSITY,RESEARCH,2016,505839
DUNBIA (NORTHERN IRELAND),RESEARCH,2017,810912
DUNBIA (WALES),RESEARCH,2015,564838
DURHAM UNIVERSITY,EDUCATION,2013,406340
DURHAM UNIVERSITY,EDUCATION,2014,1047711
DURHAM UNIVERSITY,EDUCATION,2016,918657
DURHAM UNIVERSITY,EDUCATION,2017,852126
DURHAM UNIVERSITY,EDUCATION,2018,2266746
DURHAM UNIVERSITY,BUSINESS,2016,256199
DURHAM UNIVERSITY,BUSINESS,2017,440011
DURHAM UNIVERSITY,RESEARCH,2012,1952719
DURHAM UNIVERSITY,RESEARCH,2013,4559316
DURHAM UNIVERSITY,RESEARCH,2014,4654351
DURHAM UNIVERSITY,RESEARCH,2015,6383246
DURHAM UNIVERSITY,RESEARCH,2016,18684952
DURHAM UNIVERSITY,RESEARCH,2017,36856905
DURHAM UNIVERSITY,RESEARCH,2018,17339309
DURHAM UNIVERSITY,RESEARCH,2011,11660450
DURHAM UNIVERSITY,RESEARCH,2013,617832
DURHAM UNIVERSITY,RESEARCH,2014,12534318
DURHAM UNIVERSITY,RESEARCH,2015,3747266
DURHAM UNIVERSITY,RESEARCH,2016,2193927
DURHAM UNIVERSITY,RESEARCH,2017,6245949
DURHAM UNIVERSITY,RESEARCH,2018,3792666
DYCOTEC MATERIALS LTD,EDUCATION,2018,258938
DYNAMIC VISION SYSTEMS LIMITED,RESEARCH,2018,104244
DYNEX SEMICONDUCTOR LIMITED,RESEARCH,2018,518662
DYNEX SEMICONDUCTOR LIMITED,RESEARCH,2017,577001
DYNISMO LTD,RESEARCH,2018,67125
DYNNIQ UK LIMITED,RESEARCH,2017,916894
DZP TECHNOLOGIES LIMITED,RESEARCH,2017,178412
E-BREATHE LTD.,RESEARCH,2018,139719
E-CAR CLUB LTD,RESEARCH,2016,568410
E-CAR CLUB LTD,RESEARCH,2018,86626
E2V TECHNOLOGIES PLC,RESEARCH,2018,181041
EAGLE GENOMICS LIMITED,RESEARCH,2018,1668588
EAGLE GENOMICS LIMITED,RESEARCH,2017,577080
EARLHAM INSTITUTE,RESEARCH,2016,1826872
EARLHAM INSTITUTE,RESEARCH,2017,6628378
EARLHAM INSTITUTE,RESEARCH,2018,775367
EARLHAM INSTITUTE,RESEARCH,2015,95042
EARLHAM INSTITUTE,RESEARCH,2018,198068
EARTEX LTD,RESEARCH,2018,321500
EARTH-I LTD,RESEARCH,2018,612859
EAST MALLING SERVICES LTD.,RESEARCH,2015,294377
EASTERN WASTE DISPOSAL LIMITED,RESEARCH,2017,501938
ECHION TECHNOLOGIES LTD,RESEARCH,2018,1004522
ECONOTHERM (UK) LIMITED,RESEARCH,2016,258110
ECOSPRAY LIMITED,RESEARCH,2015,253781
EDCTP,RESEARCH,2016,2163637
EDF ENERGY R&D UK CENTRE LIMITED,RESEARCH,2018,3046785
EDGE HILL UNIVERSITY,RESEARCH,2018,381023
EDINBURGH BIOSCIENCES LTD.,RESEARCH,2018,325813
EDINBURGH NAPIER UNIVERSITY,BUSINESS,2017,157280
EDINBURGH NAPIER UNIVERSITY,BUSINESS,2018,100310
EDINBURGH NAPIER UNIVERSITY,RESEARCH,2015,216274
EDINBURGH NAPIER UNIVERSITY,RESEARCH,2017,636510
EDINBURGH NAPIER UNIVERSITY,RESEARCH,2018,1520390
EDUCAKE LTD,RESEARCH,2018,124136
EFFECT PHOTONICS LTD,RESEARCH,2018,1459549
EIGHT19 LIMITED,RESEARCH,2017,601670
EIGHT19 LIMITED,RESEARCH,2018,247644
EIGHT19 LIMITED,RESEARCH,2017,232297
EIGHT19 LIMITED,RESEARCH,2018,158100
EKSAGON GROUP LTD,RESEARCH,2017,207008
ELASMOGEN LIMITED,RESEARCH,2017,685575
ELECTRO MECHANICAL DEVELOPMENTS LIMITED,RESEARCH,2017,370366
ELEMENT ENERGY LIMITED,RESEARCH,2017,196417
ELEMENT ENERGY LIMITED,RESEARCH,2018,151084
ELEMENT SIX (UK) LIMITED.,RESEARCH,2017,286604
ELPIS BIOMED LTD,RESEARCH,2017,69822
ELSON SPACE ENGINEERING ESE LIMITED,EDUCATION,2015,260557
EMBL - EUROPEAN BIOINFORMATICS INSTITUTE,RESEARCH,2015,413909
EMBL - EUROPEAN BIOINFORMATICS INSTITUTE,RESEARCH,2016,1239537
EMBL - EUROPEAN BIOINFORMATICS INSTITUTE,RESEARCH,2017,8172011
EMBL - EUROPEAN BIOINFORMATICS INSTITUTE,RESEARCH,2018,2196588
EMBLATION LIMITED,RESEARCH,2017,282632
EMBLATION LIMITED,RESEARCH,2017,162068
EMBODY ORTHOPAEDIC LIMITED,RESEARCH,2017,104332
EMERGEX VACCINES HOLDING LIMITED,RESEARCH,2018,970402
EMISSION SOLUTIONS LIMITED,RESEARCH,2018,67471
EMTEQ LIMITED,RESEARCH,2017,135776
EMTEQ LIMITED,RESEARCH,2018,31097
EMU ANALYTICS LIMITED,RESEARCH,2018,326495
ENABLE INTERNATIONAL LIMITED,RESEARCH,2017,657038
ENABLE INTERNATIONAL LIMITED,BUSINESS,2018,330995
ENERGY SRS LTD,RESEARCH,2018,720273
ENERGY SYSTEMS CATAPULT LIMITED,RESEARCH,2018,58150000
ENERTECHNOS LIMITED,RESEARCH,2017,1094152
ENGAS (UK) LTD,RESEARCH,2018,69646
ENIAN LTD.,RESEARCH,2018,170605
ENLIGHTEN ENERGY LTD,RESEARCH,2018,64810
ENOCELL LIMITED,EDUCATION,2017,303201
ENTIA LTD,RESEARCH,2017,741654
ENTOCYCLE LTD,RESEARCH,2018,69605
ENTOMICS BIOSYSTEMS LIMITED,RESEARCH,2018,1260723
ENTRUST MICROGRID LLP,RESEARCH,2017,68000
ENV-AQUA SOLUTIONS LTD,RESEARCH,2017,504230
ENVIRONMENTAL MONITORING SOLUTIONS LIMITED,RESEARCH,2018,68343
ENVIRONMENTAL PROCESS SYSTEMS LTD.,RESEARCH,2018,394191
EPIPHANY IDEAS LIMITED,RESEARCH,2018,27303
EQUIPMAKE LIMITED,RESEARCH,2017,1792290
ERLANG SOLUTIONS LTD,EDUCATION,2016,283539
ESCUBED LIMITED,RESEARCH,2017,927075
ESI UK LIMITED,RESEARCH,2017,1353818
ESOTERIX SYSTEMS LIMITED,RESEARCH,2016,1295008
ESP TECHNOLOGY LIMITED,RESEARCH,2017,366369
ETHER NDE LIMITED,RESEARCH,2018,1228557
EURATOM/CCFE,RESEARCH,2016,5000000
EURISCUS LIMITED,RESEARCH,2017,566007
EUROPEAN TECHNOLOGY FOR BUSINESS HOLDINGS LIMITED,RESEARCH,2018,76474
EUROPEAN THERMODYNAMICS LIMITED,RESEARCH,2017,2138502
EUROPEAN THERMODYNAMICS LIMITED,EDUCATION,2018,586554
EV TECHNOLOGY LIMITED,RESEARCH,2018,69927
EVIDENTIAL LTD.,RESEARCH,2018,799029
EVINCE TECHNOLOGY LIMITED,EDUCATION,2018,320266
EVOLUTION ARTIFICIAL INTELLIGENCE LTD,RESEARCH,2018,664267
EVOLVE GROWING SOLUTIONS LTD,RESEARCH,2018,69981
EVONETIX LTD,RESEARCH,2018,990841
EXCIVION LIMITED,BUSINESS,2018,2000000
EXEMPLAS HOLDINGS LIMITED,RESEARCH,2018,115565
EXERGY LTD,EDUCATION,2017,119179
EXPERIOR MICRO TECHNOLOGIES LTD,EDUCATION,2018,55595
EXPERT TOOLING & AUTOMATION LIMITED,RESEARCH,2016,1296159
EXPLORISTICS LTD,RESEARCH,2017,450816
EXUS SOFTWARE LTD,RESEARCH,2015,664856
F2G LTD,RESEARCH,2017,709876
FABRX LIMITED,RESEARCH,2018,658001
FAIR AIR LIMITED,RESEARCH,2018,61172
FALMOUTH UNIVERSITY,RESEARCH,2017,56268
FAR UK LTD,RESEARCH,2017,1409129
FAR UK LTD,RESEARCH,2018,1101822
FAR UK LTD,RESEARCH,2018,212357
FARADION LIMITED,RESEARCH,2015,329222
FARADION LIMITED,RESEARCH,2016,1334563
FARADION LIMITED,RESEARCH,2017,875214
FARADION LIMITED,RESEARCH,2018,1506223
FARM ENERGY AND CONTROL SERVICES LIMITED,RESEARCH,2016,288477
FARMING ONLINE LTD,RESEARCH,2018,395770
FASTR PROPERTY LIMITED,RESEARCH,2018,331028
FEED ALGAE LIMITED,RESEARCH,2017,433243
FEONIC TECHNOLOGY LIMITED,RESEARCH,2018,109011
FERGUSON MARINE ENGINEERING LIMITED,RESEARCH,2018,430332
FERGUSSON'S ADVANCED COMPOSITE TECHNOLOGY LIMITED,RESEARCH,2017,278087
FERGUSSON'S ADVANCED COMPOSITE TECHNOLOGY LIMITED,RESEARCH,2018,301521
FERNHAY PARTNERS LIMITED,RESEARCH,2016,560760
FETU LIMITED,RESEARCH,2018,174242
FGV CAMBRIDGE NANOSYSTEMS LIMITED,RESEARCH,2017,361426
FIBERIGHT LIMITED,RESEARCH,2018,1561642
FIBERIGHT LIMITED,RESEARCH,2017,193391
FIBRE TECHNOLOGY LTD,RESEARCH,2017,533164
FIELDWORK ROBOTICS LIMITED,RESEARCH,2018,507309
FILDA,RESEARCH,2018,8978
FILIGREE TECHNOLOGIES LIMITED,RESEARCH,2018,591386
FILTRONIC BROADBAND LIMITED,RESEARCH,2017,81997
FINSEN TECHNOLOGIES LIMITED,RESEARCH,2018,190144
FIRESOULS LIMITED,RESEARCH,2017,49048
FIRMA ENGINEERING LIMITED,RESEARCH,2017,79000
FIRST OPTION SOFTWARE LIMITED,RESEARCH,2018,830294
FIRSTGROUP HOLDINGS LIMITED,RESEARCH,2018,2480654
FITNESSGENES LTD,RESEARCH,2018,49097
FIVE AI LIMITED,RESEARCH,2017,12775793
FLEET RENEWABLES LTD.,RESEARCH,2017,221919
FLEXCITON LIMITED,RESEARCH,2018,69062
FLEXENABLE LIMITED,RESEARCH,2018,246960
FLEXENABLE LIMITED,EDUCATION,2017,221206
FLEXIBLE POWER SYSTEMS LTD,RESEARCH,2018,301481
FLEXISOLAR LIMITED,RESEARCH,2018,1362001
FLEXISOLAR LIMITED,RESEARCH,2018,764640
FLEXOTRONIX LIMITED,RESEARCH,2018,918313
FLINDERS UNIVERSITY,RESEARCH,2015,106145
FLUID PHARMA LTD,RESEARCH,2018,104541
FLUIDLY LIMITED,RESEARCH,2018,69829
FLUORETIQ LIMITED,RESEARCH,2018,100521
FLUVIAL BOUNTY C.I.C.,RESEARCH,2017,274199
FOAMTECH SYSTEMS LTD,RESEARCH,2018,67510
FOCAL INTERNATIONAL LTD.,RESEARCH,2018,286054
FOLIUM FOOD SCIENCE LIMITED,RESEARCH,2018,1045297
FOLIUM FOOD SCIENCE LIMITED,RESEARCH,2018,176436
FOOD FORWARD LTD,RESEARCH,2018,59979
FORD MOTOR COMPANY LIMITED,RESEARCH,2017,12087584
FORD MOTOR COMPANY LIMITED,RESEARCH,2018,14505815
FORENSIC PATHWAYS LIMITED,RESEARCH,2017,440047
FOREST RESEARCH,RESEARCH,2016,1002046
FORTH ENGINEERING (CUMBRIA) LIMITED,RESEARCH,2018,1472223
FOURTH STATE MEDICINE LTD,RESEARCH,2018,78897
FRAMESTORE LIMITED(THE),RESEARCH,2017,395830
FREE RUNNING BUILDINGS LIMITED,RESEARCH,2017,87632
FREEFORM FABRICATION INDUSTRIES LIMITED,RESEARCH,2017,861347
FREELINE THERAPEUTICS LIMITED,RESEARCH,2017,1579898
FREELINE THERAPEUTICS LIMITED,RESEARCH,2018,949549
FREEMAN AUTOMOTIVE (UK) LTD,RESEARCH,2018,981258
FREEMAN AUTOMOTIVE (UK) LTD,RESEARCH,2017,175869
FROGBIKES LIMITED,RESEARCH,2017,650429
FROGBIKES LIMITED,RESEARCH,2018,69373
FRONTM LIMITED,RESEARCH,2018,67321
FULLY DISTRIBUTED SYSTEMS LTD,RESEARCH,2018,609398
FURTHERFIELD.ORG,RESEARCH,2018,41996
FUSION ANTIBODIES LTD,EDUCATION,2016,230265
FUTURE CITIES CATAPULT,RESEARCH,2018,45000
FUTURE CITIES CATAPULT LIMITED,RESEARCH,2015,64680001
FUTURE CITIES CATAPULT LIMITED,RESEARCH,2016,350000
FUTURE CITIES CATAPULT LIMITED,RESEARCH,2018,18360000
FUTURE INTELLIGENCE LTD,RESEARCH,2017,244621
FUTURE JOINERY SYSTEMS LTD,RESEARCH,2017,67866
FUTURE TECHNOLOGY RESOURCES LTD,RESEARCH,2018,329719
FUTURE TRANSPORT SYSTEMS LTD,RESEARCH,2017,890384
FUTUREPHARM HC LTD,RESEARCH,2018,51215
FVG LIMITED,EDUCATION,2015,77040
FVRVS  LIMITED,RESEARCH,2018,402141
G'S FRESH LIMITED,RESEARCH,2018,63348
G-VOLUTION PLC,RESEARCH,2017,769180
G.H. DEAN & CO. LIMITED,RESEARCH,2015,387114
G2O WATER TECHNOLOGIES LIMITED,RESEARCH,2018,725326
GALLOMANOR COMMUNICATIONS LTD,RESEARCH,2018,49663
GASFILL LIMITED,RESEARCH,2018,115054
GATI AUTOMATA LIMITED,RESEARCH,2018,69989
