,Value,Year,ProviderType,Purpose
134,298466.0,2012,COMPANY,EDUCATION
135,1105109.0,2012,COMPANY,EDUCATION
136,166352.0,2012,COMPANY,EDUCATION
137,887458.0,2012,COMPANY,EDUCATION
138,21081.0,2012,COLLEGE,EDUCATION
139,482630.0,2012,COLLEGE,EDUCATION
140,1323244.0,2012,COLLEGE,EDUCATION
141,324060.0,2012,COLLEGE,EDUCATION
142,5405211.0,2012,COMPANY,EDUCATION
143,6625055.0,2012,COMPANY,EDUCATION
144,180643.0,2012,UNIVERSITY,EDUCATION
145,91143.0,2012,COMPANY,EDUCATION
146,359082.0,2012,COMPANY,EDUCATION
147,247546.0,2012,COLLEGE,EDUCATION
148,4377079.0,2012,COLLEGE,EDUCATION
149,30251885.0,2012,COLLEGE,EDUCATION
150,156578.0,2012,COLLEGE,EDUCATION
151,459434.0,2012,COLLEGE,EDUCATION
152,5587083.0,2012,COLLEGE,EDUCATION
153,9219.0,2012,COLLEGE,EDUCATION
154,549480.0,2012,COLLEGE,EDUCATION
155,1969667.0,2012,COLLEGE,EDUCATION
156,506261.0,2012,COMPANY,EDUCATION
157,1313710.0,2012,COMPANY,EDUCATION
158,1169014.0,2012,COMPANY,EDUCATION
159,8446990.0,2012,COMPANY,EDUCATION
160,1304824.0,2012,COLLEGE,EDUCATION
161,7656113.0,2012,COLLEGE,EDUCATION
162,119716.0,2012,COMPANY,EDUCATION
163,805979.0,2012,COMPANY,EDUCATION
164,41856.0,2012,COLLEGE,EDUCATION
165,1274983.0,2012,COLLEGE,EDUCATION
166,8886637.0,2012,COLLEGE,EDUCATION
167,38432.0,2012,COMPANY,EDUCATION
168,566754.0,2012,COMPANY,EDUCATION
169,269387.0,2012,COMPANY,EDUCATION
170,1630904.0,2012,COMPANY,EDUCATION
171,295489.0,2012,COLLEGE,EDUCATION
172,1025930.0,2012,COLLEGE,EDUCATION
173,7280777.0,2012,COLLEGE,EDUCATION
174,163464.0,2012,COMPANY,EDUCATION
175,2079667.0,2012,COMPANY,EDUCATION
176,46372.0,2012,COMPANY,EDUCATION
177,255360.0,2012,COMPANY,EDUCATION
178,173021.0,2012,COMPANY,EDUCATION
179,340445.0,2012,COMPANY,EDUCATION
180,102190.0,2012,COLLEGE,EDUCATION
181,719548.0,2012,COLLEGE,EDUCATION
182,4845168.0,2012,COLLEGE,EDUCATION
183,172398.0,2012,COLLEGE,EDUCATION
184,1213408.0,2012,COLLEGE,EDUCATION
185,11585150.0,2012,COLLEGE,EDUCATION
186,703326.0,2012,COLLEGE,EDUCATION
187,270889.0,2012,COMPANY,EDUCATION
188,784070.0,2012,COMPANY,EDUCATION
