LeadROName,ProjectCategory,year,AwardPounds,ProviderType
GLASGOW SCHOOL OF ART,RESEARCH,2017,582192,COMPANY
GLASGOW SCHOOL OF ART,RESEARCH,2018,197398,COMPANY
GLASS TECHNOLOGY SERVICES LTD,RESEARCH,2017,1318985,COMPANY
GLASS TECHNOLOGY SERVICES LTD,RESEARCH,2018,494382,COMPANY
GLASS TECHNOLOGY SERVICES LTD,RESEARCH,2017,235096,COMPANY
GLAXOSMITHKLINE PLC,RESEARCH,2018,191964,COMPANY
GLAXOSMITHKLINE RESEARCH & DEVELOPMENT LIMITED,RESEARCH,2016,634526,COMPANY
GLIALIGN LIMITED,RESEARCH,2018,100001,COMPANY
GLYCOSELECT (UK) LIMITED,RESEARCH,2017,293620,COMPANY
GLYTHERA LIMITED,RESEARCH,2017,756165,COMPANY
GNEWT CARGO LIMITED,RESEARCH,2017,1104701,COMPANY
GNOSYS GLOBAL LTD,RESEARCH,2018,498009,COMPANY
GNOSYS GLOBAL LTD,EDUCATION,2016,262755,COMPANY
GO JAUNTLY LTD,RESEARCH,2018,41623,COMPANY
GOLD STANDARD PHANTOMS LIMITED,RESEARCH,2018,69737,COMPANY
GOLDSMITHS COLLEGE,EDUCATION,2017,566774,COLLEGE
GOLDSMITHS COLLEGE,EDUCATION,2018,288399,COLLEGE
GOLDSMITHS COLLEGE,RESEARCH,2015,27011,COLLEGE
GOLDSMITHS COLLEGE,RESEARCH,2017,4602276,COLLEGE
GOLDSMITHS COLLEGE,RESEARCH,2018,2785038,COLLEGE
GOODRICH ACTUATION SYSTEMS LIMITED,BUSINESS,2016,2889587,COMPANY
GOODRICH ACTUATION SYSTEMS LIMITED,BUSINESS,2018,3277266,COMPANY
GORDON MURRAY DESIGN LIMITED,RESEARCH,2016,1857490,COMPANY
GORDON MURRAY DESIGN LIMITED,RESEARCH,2018,2486067,COMPANY
GR8 ENGINEERING LIMITED,RESEARCH,2018,69324,COMPANY
GRANTA DESIGN LIMITED,RESEARCH,2018,958893,COMPANY
GRANTA DESIGN LIMITED,RESEARCH,2018,259616,COMPANY
GRAVITRICITY LIMITED,RESEARCH,2018,639327,COMPANY
GRAVITY SKETCH LIMITED,RESEARCH,2017,69732,COMPANY
GREAT BRITISH SPORTS CARS LIMITED,RESEARCH,2018,2096890,COMPANY
GREATER LONDON AUTHORITY,RESEARCH,2018,185282,COMPANY
GREATER MANCHESTER STRATEGIC CLINICAL NETWORKS,RESEARCH,2018,975572,COMPANY
GREEN BIOLOGICS LIMITED,RESEARCH,2017,320304,COMPANY
GREEN BIOLOGICS LIMITED,RESEARCH,2018,333036,COMPANY
GREEN BIOLOGICS LIMITED,RESEARCH,2017,758612,COMPANY
GREEN BIOLOGICS LIMITED,RESEARCH,2018,280744,COMPANY
GREEN FUELS RESEARCH LTD,RESEARCH,2017,1008893,COMPANY
GREEN RUNNING LIMITED,RESEARCH,2018,191077,COMPANY
GREENBANK TEROTECH LIMITED,RESEARCH,2016,356709,COMPANY
GREENCORE FOOD TO GO LIMITED,RESEARCH,2015,308024,COMPANY
GREENCORE PREPARED MEALS LIMITED,RESEARCH,2016,575382,COMPANY
GREENGAGE LIGHTING LTD,RESEARCH,2015,171141,COMPANY
GREENSKILL LIMITED,RESEARCH,2017,69999,COMPANY
GREENSPUR RENEWABLES LIMITED,RESEARCH,2017,1259058,COMPANY
GRID SMARTER CITIES LTD,RESEARCH,2017,449288,COMPANY
GRID SMARTER CITIES LTD,RESEARCH,2018,227401,COMPANY
GRIPABLE LIMITED,RESEARCH,2017,448607,COMPANY
GROUP-MUV! LIMITED,RESEARCH,2018,69729,COMPANY
GROWN URBAN LIMITED,RESEARCH,2018,8414,COMPANY
GRWP LLANDRILLO MENAI,BUSINESS,2017,48400,COMPANY
GUIDE DOGS FOR THE BLIND ASSOCIATION(THE),BUSINESS,2018,350000,COMPANY
GUILDHALL SCHOOL OF MUSIC AND DRAMA,RESEARCH,2015,36104,COMPANY
GUILDHALL SCHOOL OF MUSIC AND DRAMA,RESEARCH,2016,192023,COMPANY
GWE BUSINESS WEST LTD,RESEARCH,2018,194114,COMPANY
GYROGEAR,RESEARCH,2017,479023,COMPANY
GYROSCOPE THERAPEUTICS LIMITED,RESEARCH,2018,1124364,COMPANY
H R WALLINGFORD LTD,RESEARCH,2014,157680,COMPANY
H R WALLINGFORD LTD,RESEARCH,2015,152914,COMPANY
H R WALLINGFORD LTD,RESEARCH,2016,120437,COMPANY
H.L. HUTCHINSON LIMITED,RESEARCH,2015,149174,COMPANY
H.L. HUTCHINSON LIMITED,RESEARCH,2016,143780,COMPANY
H2GO POWER LTD,RESEARCH,2018,286827,COMPANY
HADEAN SUPERCOMPUTING LTD,RESEARCH,2018,70000,COMPANY
HAL ROBOTICS LTD,RESEARCH,2018,601822,COMPANY
HALALIVERY LTD.,RESEARCH,2018,8414,COMPANY
HANGER19 LTD,RESEARCH,2018,63078,COMPANY
HANNAH O AKINBODE,RESEARCH,2018,8978,COMPANY
HARDIDE PLC,RESEARCH,2018,67962,COMPANY
HARPER ADAMS UNIVERSITY,EDUCATION,2018,295406,UNIVERSITY
HARPER ADAMS UNIVERSITY,BUSINESS,2018,143919,UNIVERSITY
HARPER ADAMS UNIVERSITY,RESEARCH,2014,527421,UNIVERSITY
HARPER ADAMS UNIVERSITY,RESEARCH,2015,224286,UNIVERSITY
HARPER ADAMS UNIVERSITY,RESEARCH,2018,85851,UNIVERSITY
HARPER ADAMS UNIVERSITY,RESEARCH,2015,190084,UNIVERSITY
HARPER ADAMS UNIVERSITY,RESEARCH,2017,30930,UNIVERSITY
HARVARD UNIVERSITY,RESEARCH,2016,460928,UNIVERSITY
HARVARD UNIVERSITY,RESEARCH,2017,303246,UNIVERSITY
HAYBEESEE LIMITED,RESEARCH,2018,470490,COMPANY
HAYDALE COMPOSITE SOLUTIONS LIMITED,RESEARCH,2017,623049,COMPANY
HAYDALE COMPOSITE SOLUTIONS LIMITED,RESEARCH,2018,67939,COMPANY
HAYDALE COMPOSITE SOLUTIONS LIMITED,RESEARCH,2018,287743,COMPANY
HAYDALE LIMITED,RESEARCH,2016,557153,COMPANY
HEALTH DATA RESEARCH UK,RESEARCH,2018,3943222,COMPANY
HEALTH PATHWAYS LIMITED,RESEARCH,2018,49784,COMPANY
HEALTHERA LTD,RESEARCH,2017,665942,COMPANY
HEATH SCIENTIFIC COMPANY LTD,RESEARCH,2018,249031,COMPANY
HEATHY HAIR GYM LTD,RESEARCH,2018,8978,COMPANY
HEL LIMITED,RESEARCH,2017,202098,COMPANY
HELIA PHOTONICS LIMITED,RESEARCH,2018,387029,COMPANY
HELIA PHOTONICS LIMITED,EDUCATION,2018,506060,COMPANY
HELIAQ UK LTD,RESEARCH,2018,308456,COMPANY
HERAEUS NOBLELIGHT LIMITED,RESEARCH,2017,397972,COMPANY
HERIOT-WATT UNIVERSITY,RESEARCH,2018,177942,UNIVERSITY
HERIOT-WATT UNIVERSITY,EDUCATION,2015,2655968,UNIVERSITY
HERIOT-WATT UNIVERSITY,EDUCATION,2016,2195447,UNIVERSITY
HERIOT-WATT UNIVERSITY,EDUCATION,2017,94440,UNIVERSITY
HERIOT-WATT UNIVERSITY,EDUCATION,2018,1388738,UNIVERSITY
HERIOT-WATT UNIVERSITY,BUSINESS,2016,226989,UNIVERSITY
HERIOT-WATT UNIVERSITY,BUSINESS,2017,555395,UNIVERSITY
HERIOT-WATT UNIVERSITY,BUSINESS,2018,529578,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2011,7054458,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2013,8606320,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2014,130482,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2015,5509459,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2016,11457366,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2017,19374220,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2018,13895349,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2013,68648,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2014,10273616,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2015,1609653,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2016,2130564,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2017,1069044,UNIVERSITY
HERIOT-WATT UNIVERSITY,RESEARCH,2018,3231579,UNIVERSITY
HEVASURE LTD,RESEARCH,2017,71820,COMPANY
HEXCEL COMPOSITES LIMITED,RESEARCH,2017,3764000,COMPANY
HEXIGONE INHIBITORS LIMITED,RESEARCH,2017,104974,COMPANY
HIDDEN NARRATIVES LTD,RESEARCH,2018,38130,COMPANY
HIETA TECHNOLOGIES LTD,RESEARCH,2016,2642494,COMPANY
HIETA TECHNOLOGIES LTD,RESEARCH,2017,1749609,COMPANY
HIGH VALUE MANUFACTURING CATAPULT,RESEARCH,2013,18190000,COMPANY
HIGH VALUE MANUFACTURING CATAPULT,RESEARCH,2014,42000000,COMPANY
HIGH VALUE MANUFACTURING CATAPULT,RESEARCH,2016,264864515,COMPANY
HIGHLAND BIOSCIENCES LTD,RESEARCH,2017,1352963,COMPANY
HIGHVIEW ENTERPRISES LIMITED,RESEARCH,2018,205628,COMPANY
HIGHWAY SURVEYORS LIMITED,RESEARCH,2017,370980,COMPANY
HILIGHT SEMICONDUCTOR LIMITED,RESEARCH,2018,684758,COMPANY
HISTORIC ENVIRONMENT SCOTLAND,RESEARCH,2016,381856,COMPANY
HISTORIC ENVIRONMENT SCOTLAND,RESEARCH,2017,806941,COMPANY
HISTORIC ROYAL PALACES,EDUCATION,2017,164976,COMPANY
HISTORIC ROYAL PALACES,EDUCATION,2018,201080,COMPANY
HISTORIC ROYAL PALACES,RESEARCH,2018,36110,COMPANY
HOBS STUDIO LIMITED,RESEARCH,2018,66835,COMPANY
HOCKLEY INTERNATIONAL LIMITED,RESEARCH,2014,384004,COMPANY
HOFER POWERTRAIN UK LIMITED,RESEARCH,2015,14993569,COMPANY
HOFER POWERTRAIN UK LIMITED,RESEARCH,2018,16012586,COMPANY
HOLY CROSS COLLEGE,RESEARCH,2016,8800,COLLEGE
HOMEODYNAMIC AUTONOMY LIMITED,RESEARCH,2017,637262,COMPANY
HONEYWELL UK LTD,BUSINESS,2017,2195605,COMPANY
HORIBA MIRA LIMITED,RESEARCH,2017,819662,COMPANY
HORIBA MIRA LIMITED,RESEARCH,2018,13000571,COMPANY
HORIBA MIRA LIMITED,RESEARCH,2018,174972,COMPANY
HORIZON DISCOVERY LIMITED,RESEARCH,2015,1227835,COMPANY
HORIZON DISCOVERY LIMITED,RESEARCH,2017,764310,COMPANY
HORIZON DISCOVERY LIMITED,RESEARCH,2018,305249,COMPANY
HORSEBRIDGE NETWORK SYSTEMS LIMITED,RESEARCH,2017,2921893,COMPANY
HOWDEN JOINERY LIMITED,RESEARCH,2017,1492729,COMPANY
HOX THERAPEUTICS LIMITED,RESEARCH,2018,392949,COMPANY
HSSMI LIMITED,RESEARCH,2018,2064543,COMPANY
HUMAN SCIENCES RESEARCH COUNCIL,RESEARCH,2016,151527,COMPANY
HUMMINGBIRD TECHNOLOGIES LIMITED,RESEARCH,2018,520386,COMPANY
HYBIRD LTD,RESEARCH,2018,240257,COMPANY
HYBRID INSTRUMENTS LIMITED,RESEARCH,2018,78823,COMPANY
HYPHA DISCOVERY LIMITED,RESEARCH,2017,568807,COMPANY
I-RENEWABLE ENERGY LTD,RESEARCH,2018,167440,COMPANY
I3D ROBOTICS LTD,RESEARCH,2017,501710,COMPANY
ICAX LIMITED,RESEARCH,2016,2908718,COMPANY
ICDDRB,RESEARCH,2015,148908,COMPANY
ICE CREATES LIMITED,EDUCATION,2015,175962,COMPANY
ICEOTOPE TECHNOLOGIES LIMITED,RESEARCH,2017,792093,COMPANY
ICEOXFORD LIMITED,RESEARCH,2017,51267,COMPANY
ICEROBOTICS LTD,RESEARCH,2018,71125,COMPANY
ICHROME LTD,RESEARCH,2017,327245,COMPANY
ICLEI - LOCAL GOVTS FOR SUSTAINABILITY,RESEARCH,2015,198931,COMPANY
ICONICHEM WIDNES LIMITED,RESEARCH,2018,2461238,COMPANY
ID QUANTIQUE LTD,RESEARCH,2018,811055,COMPANY
IDEA IS EVERYTHING LIMITED,EDUCATION,2017,260863,COMPANY
IDEAL FIRST CAR,RESEARCH,2018,8414,COMPANY
IDIADA AUTOMOTIVE TECHNOLOGY UK LTD.,RESEARCH,2017,3054563,COMPANY
IESO DIGITAL HEALTH LIMITED,RESEARCH,2018,612632,COMPANY
IGEM THERAPEUTICS LIMITED,RESEARCH,2018,1018198,COMPANY
IGEOLISE LIMITED,RESEARCH,2018,69164,COMPANY
IGNITE FUTURES LTD,RESEARCH,2018,14250,COMPANY
IKNAIA LIMITED,RESEARCH,2017,64109,COMPANY
ILIKA TECHNOLOGIES LTD,RESEARCH,2015,1072971,COMPANY
ILIKA TECHNOLOGIES LTD,RESEARCH,2017,1202831,COMPANY
ILIKA TECHNOLOGIES LTD,RESEARCH,2018,5354171,COMPANY
IMAGE ANALYSIS LIMITED,RESEARCH,2017,456488,COMPANY
IMAGE ANALYSIS LIMITED,EDUCATION,2018,318696,COMPANY
IMAGEN THERAPEUTICS LIMITED,RESEARCH,2017,59531,COMPANY
IMHOTEP DIAGNOSTICS & THERAPEUTICS LIMITED,RESEARCH,2018,101151,COMPANY
IMMATERIAL LABS LTD,RESEARCH,2018,1515926,COMPANY
IMMUNOSYS LTD,EDUCATION,2017,164558,COMPANY
IMPACT LABORATORIES LIMITED,RESEARCH,2018,69963,COMPANY
IMPERAL LONDON COLLEGE,RESEARCH,2018,2127124,COLLEGE
IMPERAL LONDON COLLEGE,BUSINESS,2018,153283,COLLEGE
IMPERIAL CHEMICAL INDUSTRIES LIMITED,RESEARCH,2016,116587,COMPANY
IMPERIAL CHEMICAL INDUSTRIES LIMITED,RESEARCH,2018,534790,COMPANY
IMPERIAL COLLEGE LONDON,EDUCATION,2013,5917215,COLLEGE
IMPERIAL COLLEGE LONDON,EDUCATION,2014,8408281,COLLEGE
IMPERIAL COLLEGE LONDON,EDUCATION,2015,8408599,COLLEGE
IMPERIAL COLLEGE LONDON,EDUCATION,2016,7965211,COLLEGE
IMPERIAL COLLEGE LONDON,EDUCATION,2017,9270456,COLLEGE
IMPERIAL COLLEGE LONDON,EDUCATION,2018,16969421,COLLEGE
IMPERIAL COLLEGE LONDON,OTHER GRANT,2016,331196,COLLEGE
IMPERIAL COLLEGE LONDON,OTHER GRANT,2017,613053,COLLEGE
IMPERIAL COLLEGE LONDON,OTHER GRANT,2018,155806,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2011,15534654,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2012,26931057,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2013,40215915,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2014,65128544,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2015,44338316,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2016,87796710,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2017,84636542,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2018,84388474,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2011,2200000,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2013,1372960,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2014,65357613,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2015,24208746,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2016,24049877,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2017,9474867,COLLEGE
IMPERIAL COLLEGE LONDON,RESEARCH,2018,21291349,COLLEGE
IMPRESSION TECHNOLOGIES LIMITED,RESEARCH,2017,5636249,COMPANY
IMPRESSION TECHNOLOGIES LIMITED,EDUCATION,2017,187157,COMPANY
IMUTEX LIMITED,BUSINESS,2017,3600000,COMPANY
IN TOUCH LIMITED,RESEARCH,2017,636078,COMPANY
IN-CYCLE LTD,RESEARCH,2018,181508,COMPANY
IN2SCIENCEUK.ORG,RESEARCH,2018,14750,COMPANY
INAVYA VENTURES LTD,RESEARCH,2018,392441,COMPANY
INCLUSIVE DESIGNS LTD,RESEARCH,2017,69656,COMPANY
INCREMENTAL SOLUTIONS LTD,RESEARCH,2017,212134,COMPANY
INCUS PERFORMANCE LTD.,RESEARCH,2017,299186,COMPANY
INDESTRUCTIBLE PAINT LIMITED,RESEARCH,2017,304784,COMPANY
INDUSTRIAL LIGHT & MAGIC (UK) LTD.,RESEARCH,2018,484516,COMPANY
INDUSTRIAL PHYCOLOGY LIMITED,RESEARCH,2018,114329,COMPANY
INDUSTRIAL TECHNOLOGY SYSTEMS LIMITED,RESEARCH,2018,1326681,COMPANY
INEX MICROTECHNOLOGY LIMITED,RESEARCH,2018,300392,COMPANY
INFORMATION COMMISSIONERS OFFICE,RESEARCH,2018,536127,COMPANY
INGENICA SOLUTIONS LIMITED,EDUCATION,2017,307694,COMPANY
INGENZA LIMITED,RESEARCH,2016,396540,COMPANY
INGENZA LIMITED,RESEARCH,2017,932701,COMPANY
INHERITING EARTH LIMITED,RESEARCH,2018,8414,COMPANY
INNOVA INTEGRA LIMITED,RESEARCH,2018,387886,COMPANY
INNOVATE UK,RESEARCH,2016,813139,COMPANY
INNOVATE UK,EDUCATION,2017,6457680,COMPANY
INNOVATIONS FOR POVERTY ACTION,RESEARCH,2018,559495,COMPANY
INNOVATIVE PHYSICS LIMITED,EDUCATION,2017,307672,COMPANY
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2016,368472,COMPANY
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2017,2219479,COMPANY
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2018,2145376,COMPANY
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2017,252018,COMPANY
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2018,787309,COMPANY
INNOVENT TECHNOLOGY LIMITED,RESEARCH,2018,676235,COMPANY
INNOVIFY UK LTD,EDUCATION,2018,318800,COMPANY
INNVOTEK LTD,RESEARCH,2018,393443,COMPANY
INOCARDIA LIMITED,RESEARCH,2016,696342,COMPANY
INOCARDIA LIMITED,RESEARCH,2017,68688,COMPANY
INOVA DESIGN SOLUTIONS LTD,RESEARCH,2017,69836,COMPANY
INOVO ROBOTICS LTD,RESEARCH,2017,154220,COMPANY
INSPRO LTD,RESEARCH,2018,142073,COMPANY
INSTITUTE FOR FINANCIAL MANAGEMENT & RES,RESEARCH,2014,308975,COMPANY
INSTITUTE FOR FINANCIAL MANAGEMENT & RES,RESEARCH,2016,565728,COMPANY
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2014,1337020,COMPANY
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2015,7356959,COMPANY
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2016,614115,COMPANY
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2017,3368796,COMPANY
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2018,196957,COMPANY
INSTITUTE FOR GOVERNMENT,RESEARCH,2017,143565,COMPANY
INSTITUTE FOR PEACE AND SECURITY STUDIES,RESEARCH,2017,250513,COMPANY
INSTITUTE FOR RESEARCH IN SCHOOLS,RESEARCH,2017,11500,COMPANY
INSTITUTE OF CANCER RESEARCH,EDUCATION,2015,243836,COMPANY
INSTITUTE OF CANCER RESEARCH,EDUCATION,2016,583873,COMPANY
INSTITUTE OF CANCER RESEARCH,OTHER GRANT,2015,338454,COMPANY
INSTITUTE OF CANCER RESEARCH,RESEARCH,2015,621519,COMPANY
INSTITUTE OF CANCER RESEARCH,RESEARCH,2016,2461592,COMPANY
INSTITUTE OF CANCER RESEARCH,RESEARCH,2015,95042,COMPANY
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2015,560433,COMPANY
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2016,459463,COMPANY
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2017,638206,COMPANY
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2018,1933251,COMPANY
INSTITUTE OF FOOD RESEARCH,RESEARCH,2015,415769,COMPANY
INSTITUTE OF FOOD RESEARCH,RESEARCH,2016,1401781,COMPANY
INSTITUTE OF FOOD RESEARCH,RESEARCH,2017,1566860,COMPANY
INSTITUTE OF FOOD RESEARCH,RESEARCH,2018,1402756,COMPANY
INSTITUTE OF FOOD RESEARCH,RESEARCH,2014,94126,COMPANY
INSTITUTE OF FOOD RESEARCH,RESEARCH,2018,98212,COMPANY
INSTITUTE OF OCCUPATIONAL MEDICINE,RESEARCH,2016,495171,COMPANY
INSTITUTE OF RESEARCH FOR DEVELOPMENT,RESEARCH,2015,830568,COMPANY
INTEGRATED COMPOUND SEMICONDUCTORS LIMITED,RESEARCH,2018,181071,COMPANY
INTEGRATED ENVIRONMENTAL SOLUTIONS LIMITED,RESEARCH,2017,543688,COMPANY
INTELCOMM (UK) LIMITED,RESEARCH,2018,193767,COMPANY
INTELLECTUAL PROPERTY OFFICE,RESEARCH,2018,452047,COMPANY
INTELLIGENT ENERGY LIMITED,RESEARCH,2015,6315719,COMPANY
INTELLIGENT ENERGY LIMITED,RESEARCH,2018,404767,COMPANY
INTELLIGENT FRUIT VISION LIMITED,EDUCATION,2017,303988,COMPANY
INTELLIGENT MAINTENANCE SYSTEMS LIMITED,RESEARCH,2016,3541747,COMPANY
INTELLIGENT ROBOTS LIMITED,RESEARCH,2018,65016,COMPANY
INTENSICHEM LIMITED,RESEARCH,2018,88281,COMPANY
INTERCAL(UK) LIMITED,RESEARCH,2018,228190,COMPANY
INTERFACE POLYMERS LTD,RESEARCH,2017,542829,COMPANY
INTERNATIONAL CENTRE FOR LIFE TRUST,RESEARCH,2018,105955,COMPANY
INTERNATIONAL CONTROLLED ATMOSPHERE LTD.,RESEARCH,2015,186079,COMPANY
INTERNATIONAL INSTITUTE FOR ENV AND DEV,RESEARCH,2015,833758,COMPANY
INTERNATIONAL INSTITUTE FOR ENV AND DEV,RESEARCH,2017,5903502,COMPANY
INTERNATIONAL PAINT LIMITED,RESEARCH,2018,618614,COMPANY
INTERNATIONAL START SECRETARIAT,RESEARCH,2015,256405,COMPANY
INTOGRAL LIMITED,RESEARCH,2018,140735,COMPANY
INTRACT PHARMA LIMITED,RESEARCH,2018,1120008,COMPANY
INTRAY LTD,RESEARCH,2018,425393,COMPANY
INVENIO SYSTEMS LIMITED,RESEARCH,2018,161355,COMPANY
INVENTOR-E LIMITED,RESEARCH,2018,272364,COMPANY
INVITRON LIMITED,RESEARCH,2017,443550,COMPANY
IONTAS LIMITED,EDUCATION,2016,174595,COMPANY
IONTAS LIMITED,RESEARCH,2018,543363,COMPANY
IOTECH SYSTEMS LIMITED,RESEARCH,2018,342307,COMPANY
IOTICS LTD,RESEARCH,2018,383092,COMPANY
IPROOV LIMITED,RESEARCH,2018,189460,COMPANY
IPSEN BIOPHARM LIMITED,RESEARCH,2018,864606,COMPANY
IQE PLC,RESEARCH,2017,300885,COMPANY
IQE PLC,RESEARCH,2018,267549,COMPANY
IQE PLC,EDUCATION,2016,190840,COMPANY
IQE PLC,EDUCATION,2017,215474,COMPANY
IRRESISTIBLE MATERIALS LTD,RESEARCH,2017,460389,COMPANY
IS-INSTRUMENTS LIMITED,RESEARCH,2017,471905,COMPANY
IS-INSTRUMENTS LIMITED,RESEARCH,2018,417831,COMPANY
ISLAND GAS LIMITED,RESEARCH,2016,191963,COMPANY
ISOTROPIC SYSTEMS LTD,RESEARCH,2018,1047565,COMPANY
IT POWER CONSULTING LIMITED,RESEARCH,2012,1514326,COMPANY
ITERATE DESIGN AND INNOVATION LTD,RESEARCH,2017,887415,COMPANY
ITM POWER (TRADING) LIMITED,RESEARCH,2017,996162,COMPANY
ITM POWER (TRADING) LIMITED,RESEARCH,2018,327692,COMPANY
ITO WORLD LTD,EDUCATION,2018,167293,COMPANY
ITPE LTD,RESEARCH,2017,988220,COMPANY
IZANA BIOSCIENCE LIMITED,RESEARCH,2017,1346577,COMPANY
J SAINSBURY PLC,RESEARCH,2015,210892,COMPANY
JAGUAR LAND ROVER LIMITED,RESEARCH,2015,1295889,COMPANY
JAGUAR LAND ROVER LIMITED,RESEARCH,2016,18148840,COMPANY
JAGUAR LAND ROVER LIMITED,RESEARCH,2017,17075531,COMPANY
JAGUAR LAND ROVER LIMITED,RESEARCH,2018,10418624,COMPANY
JAGUAR LAND ROVER LIMITED,RESEARCH,2018,18700515,COMPANY
JAGUAR LAND ROVER LIMITED,RESEARCH,2017,398877,COMPANY
JAMES FINLAY LTD,RESEARCH,2016,688321,COMPANY
JAMES FISHER TESTING SERVICES LIMITED,RESEARCH,2017,1482837,COMPANY
JAMES HUTTON LIMITED,RESEARCH,2015,630768,COMPANY
JAMES HUTTON LIMITED,RESEARCH,2015,892155,COMPANY
JAMES HUTTON LIMITED,RESEARCH,2018,89736,COMPANY
JELLAGEN PTY LTD,RESEARCH,2017,329088,COMPANY
JELLY PRODUCTS LIMITED,RESEARCH,2017,239813,COMPANY
JESMOND ENGINEERING LIMITED,RESEARCH,2018,1059665,COMPANY
JINGO JUICE LTD T/A MARSHMALLOW LASER FEAST,RESEARCH,2017,432414,COMPANY
JJ BIOENERGY LIMITED,RESEARCH,2018,190878,COMPANY
JOHN CAUNT SCIENTIFIC LIMITED,RESEARCH,2015,567864,COMPANY
JOHN INNES CENTRE,EDUCATION,2014,2247588,COMPANY
JOHN INNES CENTRE,EDUCATION,2017,1012044,COMPANY
JOHN INNES CENTRE,EDUCATION,2018,304886,COMPANY
JOHN INNES CENTRE,RESEARCH,2013,806167,COMPANY
JOHN INNES CENTRE,RESEARCH,2014,1863141,COMPANY
JOHN INNES CENTRE,RESEARCH,2015,1783937,COMPANY
JOHN INNES CENTRE,RESEARCH,2016,7681362,COMPANY
JOHN INNES CENTRE,RESEARCH,2017,8135133,COMPANY
JOHN INNES CENTRE,RESEARCH,2018,5998665,COMPANY
JOHN INNES CENTRE,RESEARCH,2014,93520,COMPANY
JOHN INNES CENTRE,RESEARCH,2015,12726143,COMPANY
JOHN INNES CENTRE,RESEARCH,2016,96696,COMPANY
JOHN INNES CENTRE,RESEARCH,2017,356017,COMPANY
JOHN INNES CENTRE,RESEARCH,2018,289034,COMPANY
JOHNS HOPKINS UNIVERSITY,RESEARCH,2015,865561,UNIVERSITY
JOHNSON MATTHEY PLC,RESEARCH,2016,3241285,COMPANY
JOHNSON MATTHEY PLC,RESEARCH,2017,536931,COMPANY
JOHNSON MATTHEY PLC,RESEARCH,2018,2205169,COMPANY
JOHNSON MATTHEY PLC,EDUCATION,2018,156376,COMPANY
JOHNSON MATTHEY PLC,RESEARCH,2017,507003,COMPANY
JOINTMEDICA LIMITED,RESEARCH,2018,906391,COMPANY
JR DYNAMICS LIMITED,RESEARCH,2017,556082,COMPANY
JR DYNAMICS LIMITED,RESEARCH,2018,255429,COMPANY
JRI ORTHOPAEDICS LIMITED,RESEARCH,2017,1152256,COMPANY
JRI ORTHOPAEDICS LIMITED,RESEARCH,2018,721412,COMPANY
JUMP STAFF LTD,RESEARCH,2018,342401,COMPANY
JUST CHECKING LTD,RESEARCH,2018,52418,COMPANY
KAGENOVA LIMITED,RESEARCH,2018,69972,COMPANY
KAIAM EUROPE LIMITED,RESEARCH,2017,647405,COMPANY
