LeadROName,ProjectCategory,year,AwardPounds,ProviderType
AIRBUS GROUP LIMITED,RESEARCH,2018,646445,COMPANY
AIRBUS HELICOPTERS UK LIMITED,RESEARCH,2015,1012001,COMPANY
AIRBUS OPERATIONS LIMITED,BUSINESS,2014,19959021,COMPANY
AIRBUS OPERATIONS LIMITED,BUSINESS,2015,19055757,COMPANY
AIRBUS OPERATIONS LIMITED,BUSINESS,2016,18412442,COMPANY
AIRBUS OPERATIONS LIMITED,BUSINESS,2017,67723610,COMPANY
AIRBUS OPERATIONS LIMITED,BUSINESS,2018,32172428,COMPANY
AIXTRON LIMITED,RESEARCH,2018,200796,COMPANY
AJA.LA STUDIOS LTD,RESEARCH,2018,250200,COMPANY
AKA MEDIA  LIMITED,RESEARCH,2018,41895,COMPANY
ALBATERN LIMITED,RESEARCH,2017,1176264,COMPANY
ALBERT-LUDWIGS UNIVERSITY FREIBURG,RESEARCH,2016,89180,UNIVERSITY
ALCOVE LIMITED,RESEARCH,2018,68927,COMPANY
ALCYOMICS LIMITED,RESEARCH,2017,203944,COMPANY
ALCYOMICS LTD,OTHER GRANT,2017,333332,COMPANY
ALICE SI LTD,RESEARCH,2017,223535,COMPANY
ALL ABOUT THE PRODUCT LTD,RESEARCH,2018,121612,COMPANY
ALL STREET RESEARCH LIMITED,RESEARCH,2018,655886,COMPANY
ALLNEX RESINS UK LIMITED,RESEARCH,2017,108644,COMPANY
ALLOTROPE ENERGY LTD,RESEARCH,2016,118761,COMPANY
ALMAC DIAGNOSTICS LIMITED,RESEARCH,2018,500000,COMPANY
ALMAC DIAGNOSTICS LIMITED,BUSINESS,2013,2267635,COMPANY
ALMAC DISCOVERY LIMITED,RESEARCH,2018,1101254,COMPANY
ALP TECHNOLOGIES LTD,RESEARCH,2018,139503,COMPANY
ALP TECHNOLOGIES LTD,RESEARCH,2018,69309,COMPANY
ALSTOM POWER LTD,RESEARCH,2017,670360,COMPANY
ALTAIR MEDICAL  LTD,RESEARCH,2018,125115,COMPANY
ALTENERGIS PLC,RESEARCH,2017,169761,COMPANY
ALVANT LIMITED,RESEARCH,2017,930120,COMPANY
AMBIENTAL TECHNICAL SOLUTIONS LIMITED,RESEARCH,2017,109637,COMPANY
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,RESEARCH,2018,283984,COMPANY
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,BUSINESS,2018,1497239,COMPANY
AMERICAN UNIVERSITY OF BEIRUT,RESEARCH,2016,389398,UNIVERSITY
AMEY GROUP INFORMATION SERVICES LIMITED,RESEARCH,2017,182854,COMPANY
AMEY OWR LIMITED,RESEARCH,2017,644847,COMPANY
AMPETRONIC LIMITED,RESEARCH,2017,683033,COMPANY
AMS SENSORS UK LIMITED,RESEARCH,2017,316702,COMPANY
ANACAIL LIMITED,RESEARCH,2018,336396,COMPANY
ANACAIL LIMITED,RESEARCH,2017,118316,COMPANY
ANACAIL LIMITED,RESEARCH,2018,163278,COMPANY
ANALOX SENSOR TECHNOLOGY LIMITED,RESEARCH,2015,449177,COMPANY
ANB SENSORS LTD,RESEARCH,2018,116193,COMPANY
ANDREW LUCAS LIMITED,RESEARCH,2017,271044,COMPANY
ANDROMEDA DIGITAL LIMTED,EDUCATION,2016,275721,COMPANY
ANGLIA RUSKIN UNIVERSITY,BUSINESS,2017,113481,UNIVERSITY
ANGLIA RUSKIN UNIVERSITY,BUSINESS,2018,87188,UNIVERSITY
ANGLO BIOPHARMA LIMITED,RESEARCH,2018,78011,COMPANY
ANTICH & SONS (HUDDERSFIELD) LIMITED,RESEARCH,2017,2150543,COMPANY
ANTITOPE LIMITED,EDUCATION,2016,144966,COMPANY
ANTIVERSE LTD,RESEARCH,2018,69750,COMPANY
APARITO LIMITED,RESEARCH,2017,201023,COMPANY
API COGNITION LIMITED,RESEARCH,2018,52499,COMPANY
