LeadROName,ProjectCategory,year,Region,AwardPounds
FULLY DISTRIBUTED SYSTEMS LTD,COLLABORATIVE R&D,2018,EAST MIDLANDS,609398.0
FURTHERFIELD.ORG,CRD,2018,UNKNOWN,41996.0
FUSION ANTIBODIES LTD,EU-FUNDED,2016,NORTHERN IRELAND,230265.0
FUTURE CITIES CATAPULT,CRD,2018,LONDON,45000.0
FUTURE CITIES CATAPULT LIMITED,CENTRES,2015,LONDON,64680001.0
FUTURE CITIES CATAPULT LIMITED,CRD,2016,LONDON,350000.0
FUTURE CITIES CATAPULT LIMITED,CRD,2018,LONDON,18360000.0
FUTURE INTELLIGENCE LTD,COLLABORATIVE R&D,2017,LONDON,244621.0
FUTURE JOINERY SYSTEMS LTD,FEASIBILITY STUDIES,2017,LONDON,67866.0
FUTURE TECHNOLOGY RESOURCES LTD,FEASIBILITY STUDIES,2018,UNKNOWN,329719.0
FUTURE TRANSPORT SYSTEMS LTD,COLLABORATIVE R&D,2017,WEST MIDLANDS,890384.0
FUTUREPHARM HC LTD,FEASIBILITY STUDIES,2018,UNKNOWN,51215.0
FVG LIMITED,EU-FUNDED,2015,SCOTLAND,77040.0
FVRVS  LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,402141.0
G'S FRESH LIMITED,FEASIBILITY STUDIES,2018,EAST OF ENGLAND,63348.0
G-VOLUTION PLC,COLLABORATIVE R&D,2017,WALES,769180.0
G.H. DEAN & CO. LIMITED,FEASIBILITY STUDIES,2015,SOUTH EAST,387114.0
G2O WATER TECHNOLOGIES LIMITED,COLLABORATIVE R&D,2018,NORTH WEST,725326.0
GALLOMANOR COMMUNICATIONS LTD,RESEARCH GRANT,2018,SOUTH WEST,49663.0
GASFILL LIMITED,FEASIBILITY STUDIES,2018,WEST MIDLANDS,115054.0
GATI AUTOMATA LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,69989.0
GE AVIATION SYSTEMS LIMITED,BIS-FUNDED PROGRAMMES,2017,SOUTH WEST,23062670.0
GE ENERGY POWER CONVERSION UK LIMITED,COLLABORATIVE R&D,2016,WEST MIDLANDS,828355.0
GEA PROCESS ENGINEERING LIMITED,COLLABORATIVE R&D,2017,NORTH WEST,800808.0
GEN3D LTD,STUDY,2018,UNKNOWN,128740.0
GENDIUS LIMITED,COLLABORATIVE R&D,2017,NORTH WEST,373860.0
GENEDRIVE PLC,COLLABORATIVE R&D,2017,NORTH WEST,598614.0
GENEDRIVE PLC,COLLABORATIVE R&D,2018,NORTH WEST,1107958.0
GENEFIRST LIMITED,COLLABORATIVE R&D,2018,SOUTH EAST,350000.0
GENEFIRST LIMITED,FEASIBILITY STUDIES,2018,SOUTH EAST,449173.0
GENGAME LTD,COLLABORATIVE R&D,2018,UNKNOWN,279295.0
GENUS PLC,COLLABORATIVE R&D,2015,SOUTH EAST,191994.0
GEOCENTO LIMITED,FEASIBILITY STUDIES,2018,SOUTH EAST,35352.0
GEOGREEN POWER LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,685319.0
GEOMATIC VENTURES LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,173853.0
GEOSPATIAL INSIGHT LIMITED,COLLABORATIVE R&D,2017,LONDON,1084237.0
GERMINAL HOLDINGS LIMITED,COLLABORATIVE R&D,2015,NORTHERN IRELAND,246912.0
GERMINAL HOLDINGS LIMITED,COLLABORATIVE R&D,2016,NORTHERN IRELAND,264816.0
GERMINAL HOLDINGS LIMITED,COLLABORATIVE R&D,2017,NORTHERN IRELAND,522113.0
GETTRIK LTD.,COLLABORATIVE R&D,2018,UNKNOWN,487200.0
GEV WIND POWER LIMITED,FEASIBILITY STUDIES,2017,UNKNOWN,542081.0
GKN AEROSPACE SERVICES LIMITED,BIS-FUNDED PROGRAMMES,2014,SOUTH EAST,7042373.0
GKN AEROSPACE SERVICES LIMITED,BIS-FUNDED PROGRAMMES,2016,SOUTH EAST,4000000.0
GKN AEROSPACE SERVICES LIMITED,BIS-FUNDED PROGRAMMES,2017,SOUTH EAST,4850000.0
GKN AEROSPACE SERVICES LIMITED,BIS-FUNDED PROGRAMMES,2018,SOUTH EAST,15000000.0
GKN AUTOSTRUCTURES LIMITED,COLLABORATIVE R&D,2016,WEST MIDLANDS,3327305.0
GKN HYBRID POWER LIMITED,COLLABORATIVE R&D,2018,WEST MIDLANDS,4001349.0
GKN HYBRID POWER LIMITED,FEASIBILITY STUDIES,2018,WEST MIDLANDS,199636.0
GLASGOW CALEDONIAN UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2017,SCOTLAND,152534.0
GLASGOW CALEDONIAN UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2018,SCOTLAND,92263.0
GLASGOW CALEDONIAN UNIVERSITY,RESEARCH GRANT,2014,SCOTLAND,1927516.0
GLASGOW SCHOOL OF ART,KNOWLEDGE TRANSFER PARTNERSHIP,2017,SCOTLAND,118019.0
GLASGOW SCHOOL OF ART,KNOWLEDGE TRANSFER PARTNERSHIP,2018,SCOTLAND,69531.0
GLASGOW SCHOOL OF ART,RESEARCH GRANT,2017,SCOTLAND,582192.0
GLASGOW SCHOOL OF ART,RESEARCH GRANT,2018,SCOTLAND,197398.0
GLASS TECHNOLOGY SERVICES LTD,COLLABORATIVE R&D,2017,EAST MIDLANDS,1318985.0
GLASS TECHNOLOGY SERVICES LTD,COLLABORATIVE R&D,2018,EAST MIDLANDS,494382.0
GLASS TECHNOLOGY SERVICES LTD,FEASIBILITY STUDIES,2017,EAST MIDLANDS,235096.0
GLAXOSMITHKLINE PLC,COLLABORATIVE R&D,2018,EAST OF ENGLAND,191964.0
GLAXOSMITHKLINE RESEARCH & DEVELOPMENT LIMITED,COLLABORATIVE R&D,2016,SOUTH EAST,634526.0
GLIALIGN LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,100001.0
GLYCOSELECT (UK) LIMITED,COLLABORATIVE R&D,2017,NORTH WEST,293620.0
GLYTHERA LIMITED,COLLABORATIVE R&D,2017,NORTH EAST,756165.0
GNEWT CARGO LIMITED,COLLABORATIVE R&D,2017,LONDON,1104701.0
GNOSYS GLOBAL LTD,COLLABORATIVE R&D,2018,SOUTH EAST,498009.0
GNOSYS GLOBAL LTD,EU-FUNDED,2016,SOUTH EAST,262755.0
GO JAUNTLY LTD,CRD,2018,UNKNOWN,41623.0
GOLD STANDARD PHANTOMS LIMITED,FEASIBILITY STUDIES,2018,LONDON,69737.0
GOLDSMITHS COLLEGE,FELLOWSHIP,2017,LONDON,566774.0
GOLDSMITHS COLLEGE,FELLOWSHIP,2018,LONDON,288399.0
GOLDSMITHS COLLEGE,RESEARCH GRANT,2015,LONDON,27011.0
GOLDSMITHS COLLEGE,RESEARCH GRANT,2017,LONDON,4602276.0
GOLDSMITHS COLLEGE,RESEARCH GRANT,2018,LONDON,2785038.0
GOODRICH ACTUATION SYSTEMS LIMITED,BIS-FUNDED PROGRAMMES,2016,WEST MIDLANDS,2889587.0
GOODRICH ACTUATION SYSTEMS LIMITED,BIS-FUNDED PROGRAMMES,2018,WEST MIDLANDS,3277266.0
GORDON MURRAY DESIGN LIMITED,COLLABORATIVE R&D,2016,SOUTH EAST,1857490.0
GORDON MURRAY DESIGN LIMITED,COLLABORATIVE R&D,2018,SOUTH EAST,2486067.0
GR8 ENGINEERING LIMITED,CRD,2018,SOUTH EAST,69324.0
GRANTA DESIGN LIMITED,COLLABORATIVE R&D,2018,EAST MIDLANDS,958893.0
GRANTA DESIGN LIMITED,FEASIBILITY STUDIES,2018,EAST MIDLANDS,259616.0
GRAVITRICITY LIMITED,FEASIBILITY STUDIES,2018,SOUTH EAST,639327.0
GRAVITY SKETCH LIMITED,FEASIBILITY STUDIES,2017,LONDON,69732.0
GREAT BRITISH SPORTS CARS LIMITED,COLLABORATIVE R&D,2018,EAST MIDLANDS,2096890.0
GREATER LONDON AUTHORITY,CRD,2018,LONDON,185282.0
GREATER MANCHESTER STRATEGIC CLINICAL NETWORKS,CRD,2018,UNKNOWN,975572.0
GREEN BIOLOGICS LIMITED,COLLABORATIVE R&D,2017,SOUTH EAST,320304.0
GREEN BIOLOGICS LIMITED,COLLABORATIVE R&D,2018,SOUTH EAST,333036.0
GREEN BIOLOGICS LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,758612.0
GREEN BIOLOGICS LIMITED,FEASIBILITY STUDIES,2018,SOUTH EAST,280744.0
GREEN FUELS RESEARCH LTD,COLLABORATIVE R&D,2017,SOUTH WEST,1008893.0
GREEN RUNNING LIMITED,FEASIBILITY STUDIES,2018,SOUTH WEST,191077.0
GREENBANK TEROTECH LIMITED,COLLABORATIVE R&D,2016,EAST MIDLANDS,356709.0
GREENCORE FOOD TO GO LIMITED,COLLABORATIVE R&D,2015,EAST MIDLANDS,308024.0
GREENCORE PREPARED MEALS LIMITED,COLLABORATIVE R&D,2016,EAST MIDLANDS,575382.0
GREENGAGE LIGHTING LTD,COLLABORATIVE R&D,2015,UNKNOWN,171141.0
GREENSKILL LIMITED,COLLABORATIVE R&D,2017,WALES,69999.0
GREENSPUR RENEWABLES LIMITED,COLLABORATIVE R&D,2017,LONDON,1259058.0
GRID SMARTER CITIES LTD,COLLABORATIVE R&D,2017,NORTH EAST,449288.0
GRID SMARTER CITIES LTD,FEASIBILITY STUDIES,2018,NORTH EAST,227401.0
GRIPABLE LIMITED,COLLABORATIVE R&D,2017,LONDON,448607.0
GROUP-MUV! LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,69729.0
GROWN URBAN LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,8414.0
GRWP LLANDRILLO MENAI,KNOWLEDGE TRANSFER PARTNERSHIP,2017,WALES,48400.0
GUIDE DOGS FOR THE BLIND ASSOCIATION(THE),SMALL BUSINESS RESEARCH INITIATIVE,2018,UNKNOWN,350000.0
GUILDHALL SCHOOL OF MUSIC AND DRAMA,RESEARCH GRANT,2015,LONDON,36104.0
GUILDHALL SCHOOL OF MUSIC AND DRAMA,RESEARCH GRANT,2016,LONDON,192023.0
GWE BUSINESS WEST LTD,CRD,2018,SOUTH WEST,194114.0
GYROGEAR,COLLABORATIVE R&D,2017,LONDON,479023.0
GYROSCOPE THERAPEUTICS LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,1124364.0
H R WALLINGFORD LTD,RESEARCH GRANT,2014,SOUTH EAST,157680.0
H R WALLINGFORD LTD,RESEARCH GRANT,2015,SOUTH EAST,152914.0
H R WALLINGFORD LTD,RESEARCH GRANT,2016,SOUTH EAST,120437.0
H.L. HUTCHINSON LIMITED,COLLABORATIVE R&D,2015,EAST OF ENGLAND,149174.0
H.L. HUTCHINSON LIMITED,COLLABORATIVE R&D,2016,EAST OF ENGLAND,143780.0
H2GO POWER LTD,COLLABORATIVE R&D,2018,EAST OF ENGLAND,286827.0
HADEAN SUPERCOMPUTING LTD,FEASIBILITY STUDIES,2018,UNKNOWN,70000.0
HAL ROBOTICS LTD,CRD,2018,LONDON,601822.0
HALALIVERY LTD.,COLLABORATIVE R&D,2018,UNKNOWN,8414.0
HANGER19 LTD,FEASIBILITY STUDIES,2018,LONDON,63078.0
HANNAH O AKINBODE,COLLABORATIVE R&D,2018,UNKNOWN,8978.0
HARDIDE PLC,FEASIBILITY STUDIES,2018,UNKNOWN,67962.0
HARPER ADAMS UNIVERSITY,FELLOWSHIP,2018,WEST MIDLANDS,295406.0
HARPER ADAMS UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2018,WEST MIDLANDS,143919.0
HARPER ADAMS UNIVERSITY,RESEARCH GRANT,2014,WEST MIDLANDS,527421.0
HARPER ADAMS UNIVERSITY,RESEARCH GRANT,2015,WEST MIDLANDS,224286.0
HARPER ADAMS UNIVERSITY,RESEARCH GRANT,2018,WEST MIDLANDS,85851.0
HARPER ADAMS UNIVERSITY,TRAINING GRANT,2015,WEST MIDLANDS,190084.0
HARPER ADAMS UNIVERSITY,TRAINING GRANT,2017,WEST MIDLANDS,30930.0
HARVARD UNIVERSITY,RESEARCH GRANT,2016,OUTSIDE UK,460928.0
HARVARD UNIVERSITY,RESEARCH GRANT,2017,OUTSIDE UK,303246.0
HAYBEESEE LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,470490.0
HAYDALE COMPOSITE SOLUTIONS LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,623049.0
HAYDALE COMPOSITE SOLUTIONS LIMITED,CRD,2018,EAST MIDLANDS,67939.0
HAYDALE COMPOSITE SOLUTIONS LIMITED,FEASIBILITY STUDIES,2018,EAST MIDLANDS,287743.0
HAYDALE LIMITED,COLLABORATIVE R&D,2016,WALES,557153.0
HEALTH DATA RESEARCH UK,CRD,2018,UNKNOWN,3943222.0
HEALTH PATHWAYS LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,49784.0
HEALTHERA LTD,COLLABORATIVE R&D,2017,EAST OF ENGLAND,665942.0
HEATH SCIENTIFIC COMPANY LTD,FEASIBILITY STUDIES,2018,UNKNOWN,249031.0
HEATHY HAIR GYM LTD,COLLABORATIVE R&D,2018,UNKNOWN,8978.0
HEL LIMITED,FEASIBILITY STUDIES,2017,WEST MIDLANDS,202098.0
HELIA PHOTONICS LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,387029.0
HELIA PHOTONICS LIMITED,EU-FUNDED,2018,UNKNOWN,506060.0
HELIAQ UK LTD,COLLABORATIVE R&D,2018,UNKNOWN,308456.0
HERAEUS NOBLELIGHT LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,397972.0
HERIOT-WATT UNIVERSITY,CRD,2018,SCOTLAND,177942.0
HERIOT-WATT UNIVERSITY,FELLOWSHIP,2015,SCOTLAND,2655968.0
HERIOT-WATT UNIVERSITY,FELLOWSHIP,2016,SCOTLAND,2195447.0
HERIOT-WATT UNIVERSITY,FELLOWSHIP,2017,SCOTLAND,94440.0
HERIOT-WATT UNIVERSITY,FELLOWSHIP,2018,SCOTLAND,1388738.0
HERIOT-WATT UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2016,SCOTLAND,226989.0
HERIOT-WATT UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2017,SCOTLAND,555395.0
HERIOT-WATT UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2018,SCOTLAND,529578.0
HERIOT-WATT UNIVERSITY,RESEARCH GRANT,2011,SCOTLAND,7054458.0
HERIOT-WATT UNIVERSITY,RESEARCH GRANT,2013,SCOTLAND,8606320.0
HERIOT-WATT UNIVERSITY,RESEARCH GRANT,2014,SCOTLAND,130482.0
HERIOT-WATT UNIVERSITY,RESEARCH GRANT,2015,SCOTLAND,5509459.0
HERIOT-WATT UNIVERSITY,RESEARCH GRANT,2016,SCOTLAND,11457366.0
HERIOT-WATT UNIVERSITY,RESEARCH GRANT,2017,SCOTLAND,19374220.0
HERIOT-WATT UNIVERSITY,RESEARCH GRANT,2018,SCOTLAND,13895349.0
HERIOT-WATT UNIVERSITY,TRAINING GRANT,2013,SCOTLAND,68648.0
HERIOT-WATT UNIVERSITY,TRAINING GRANT,2014,SCOTLAND,10273616.0
HERIOT-WATT UNIVERSITY,TRAINING GRANT,2015,SCOTLAND,1609653.0
HERIOT-WATT UNIVERSITY,TRAINING GRANT,2016,SCOTLAND,2130564.0
HERIOT-WATT UNIVERSITY,TRAINING GRANT,2017,SCOTLAND,1069044.0
HERIOT-WATT UNIVERSITY,TRAINING GRANT,2018,SCOTLAND,3231579.0
HEVASURE LTD,FEASIBILITY STUDIES,2017,EAST MIDLANDS,71820.0
HEXCEL COMPOSITES LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,3764000.0
HEXIGONE INHIBITORS LIMITED,FEASIBILITY STUDIES,2017,WALES,104974.0
HIDDEN NARRATIVES LTD,CRD,2018,UNKNOWN,38130.0
HIETA TECHNOLOGIES LTD,COLLABORATIVE R&D,2016,SOUTH EAST,2642494.0
HIETA TECHNOLOGIES LTD,COLLABORATIVE R&D,2017,SOUTH EAST,1749609.0
HIGH VALUE MANUFACTURING CATAPULT,CENTRES,2013,WEST MIDLANDS,18190000.0
HIGH VALUE MANUFACTURING CATAPULT,CENTRES,2014,WEST MIDLANDS,42000000.0
HIGH VALUE MANUFACTURING CATAPULT,CENTRES,2016,WEST MIDLANDS,264864515.0
HIGHLAND BIOSCIENCES LTD,COLLABORATIVE R&D,2017,SCOTLAND,1352963.0
HIGHVIEW ENTERPRISES LIMITED,FEASIBILITY STUDIES,2018,LONDON,205628.0
HIGHWAY SURVEYORS LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,370980.0
HILIGHT SEMICONDUCTOR LIMITED,COLLABORATIVE R&D,2018,SOUTH EAST,684758.0
HISTORIC ENVIRONMENT SCOTLAND,RESEARCH GRANT,2016,SCOTLAND,381856.0
HISTORIC ENVIRONMENT SCOTLAND,RESEARCH GRANT,2017,SCOTLAND,806941.0
HISTORIC ROYAL PALACES,FELLOWSHIP,2017,LONDON,164976.0
HISTORIC ROYAL PALACES,FELLOWSHIP,2018,LONDON,201080.0
HISTORIC ROYAL PALACES,RESEARCH GRANT,2018,LONDON,36110.0
HOBS STUDIO LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,66835.0
HOCKLEY INTERNATIONAL LIMITED,COLLABORATIVE R&D,2014,NORTH WEST,384004.0
HOFER POWERTRAIN UK LIMITED,COLLABORATIVE R&D,2015,WEST MIDLANDS,14993569.0
HOFER POWERTRAIN UK LIMITED,COLLABORATIVE R&D,2018,WEST MIDLANDS,16012586.0
HOLY CROSS COLLEGE,RESEARCH GRANT,2016,NORTH WEST,8800.0
HOMEODYNAMIC AUTONOMY LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,637262.0
HONEYWELL UK LTD,BIS-FUNDED PROGRAMMES,2017,SOUTH EAST,2195605.0
HORIBA MIRA LIMITED,COLLABORATIVE R&D,2017,WEST MIDLANDS,819662.0
HORIBA MIRA LIMITED,COLLABORATIVE R&D,2018,WEST MIDLANDS,13000571.0
HORIBA MIRA LIMITED,FEASIBILITY STUDIES,2018,WEST MIDLANDS,174972.0
HORIZON DISCOVERY LIMITED,COLLABORATIVE R&D,2015,EAST OF ENGLAND,1227835.0
HORIZON DISCOVERY LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,764310.0
HORIZON DISCOVERY LIMITED,CRD,2018,EAST OF ENGLAND,305249.0
HORSEBRIDGE NETWORK SYSTEMS LIMITED,COLLABORATIVE R&D,2017,SOUTH WEST,2921893.0
HOWDEN JOINERY LIMITED,COLLABORATIVE R&D,2017,LONDON,1492729.0
HOX THERAPEUTICS LIMITED,CRD,2018,UNKNOWN,392949.0
HSSMI LIMITED,COLLABORATIVE R&D,2018,LONDON,2064543.0
HUMAN SCIENCES RESEARCH COUNCIL,RESEARCH GRANT,2016,OUTSIDE UK,151527.0
HUMMINGBIRD TECHNOLOGIES LIMITED,COLLABORATIVE R&D,2018,LONDON,520386.0
HYBIRD LTD,COLLABORATIVE R&D,2018,UNKNOWN,240257.0
HYBRID INSTRUMENTS LIMITED,FEASIBILITY STUDIES,2018,NORTH WEST,78823.0
HYPHA DISCOVERY LIMITED,COLLABORATIVE R&D,2017,SOUTH EAST,568807.0
I-RENEWABLE ENERGY LTD,COLLABORATIVE R&D,2018,UNKNOWN,167440.0
I3D ROBOTICS LTD,COLLABORATIVE R&D,2017,SOUTH EAST,501710.0
ICAX LIMITED,COLLABORATIVE R&D,2016,LONDON,2908718.0
ICDDRB,RESEARCH GRANT,2015,OUTSIDE UK,148908.0
ICE CREATES LIMITED,EU-FUNDED,2015,NORTH WEST,175962.0
ICEOTOPE TECHNOLOGIES LIMITED,COLLABORATIVE R&D,2017,YORKSHIRE AND THE HUMBER,792093.0
ICEOXFORD LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,51267.0
ICEROBOTICS LTD,FEASIBILITY STUDIES,2018,SCOTLAND,71125.0
ICHROME LTD,COLLABORATIVE R&D,2017,SOUTH WEST,327245.0
ICLEI - LOCAL GOVTS FOR SUSTAINABILITY,RESEARCH GRANT,2015,OUTSIDE UK,198931.0
ICONICHEM WIDNES LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,2461238.0
ID QUANTIQUE LTD,COLLABORATIVE R&D,2018,LONDON,811055.0
IDEA IS EVERYTHING LIMITED,EU-FUNDED,2017,LONDON,260863.0
IDEAL FIRST CAR,COLLABORATIVE R&D,2018,UNKNOWN,8414.0
IDIADA AUTOMOTIVE TECHNOLOGY UK LTD.,COLLABORATIVE R&D,2017,WEST MIDLANDS,3054563.0
IESO DIGITAL HEALTH LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,612632.0
IGEM THERAPEUTICS LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,1018198.0
IGEOLISE LIMITED,FEASIBILITY STUDIES,2018,SOUTH EAST,69164.0
IGNITE FUTURES LTD,RESEARCH GRANT,2018,EAST MIDLANDS,14250.0
IKNAIA LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,64109.0
ILIKA TECHNOLOGIES LTD,COLLABORATIVE R&D,2015,SOUTH EAST,1072971.0
ILIKA TECHNOLOGIES LTD,COLLABORATIVE R&D,2017,SOUTH EAST,1202831.0
ILIKA TECHNOLOGIES LTD,COLLABORATIVE R&D,2018,SOUTH EAST,5354171.0
IMAGE ANALYSIS LIMITED,COLLABORATIVE R&D,2017,LONDON,456488.0
IMAGE ANALYSIS LIMITED,EU-FUNDED,2018,LONDON,318696.0
IMAGEN THERAPEUTICS LIMITED,COLLABORATIVE R&D,2017,NORTH WEST,59531.0
IMHOTEP DIAGNOSTICS & THERAPEUTICS LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,101151.0
IMMATERIAL LABS LTD,COLLABORATIVE R&D,2018,EAST OF ENGLAND,1515926.0
IMMUNOSYS LTD,EU-FUNDED,2017,NORTH WEST,164558.0
IMPACT LABORATORIES LIMITED,CRD,2018,SCOTLAND,69963.0
IMPERAL LONDON COLLEGE,CRD,2018,LONDON,2127124.0
IMPERAL LONDON COLLEGE,KNOWLEDGE TRANSFER PARTNERSHIP,2018,LONDON,153283.0
IMPERIAL CHEMICAL INDUSTRIES LIMITED,COLLABORATIVE R&D,2016,LONDON,116587.0
IMPERIAL CHEMICAL INDUSTRIES LIMITED,COLLABORATIVE R&D,2018,LONDON,534790.0
IMPERIAL COLLEGE LONDON,FELLOWSHIP,2013,LONDON,5917215.0
IMPERIAL COLLEGE LONDON,FELLOWSHIP,2014,LONDON,8408281.0
IMPERIAL COLLEGE LONDON,FELLOWSHIP,2015,LONDON,8408599.0
IMPERIAL COLLEGE LONDON,FELLOWSHIP,2016,LONDON,7965211.0
IMPERIAL COLLEGE LONDON,FELLOWSHIP,2017,LONDON,9270456.0
IMPERIAL COLLEGE LONDON,FELLOWSHIP,2018,LONDON,16969421.0
IMPERIAL COLLEGE LONDON,OTHER GRANT,2016,LONDON,331196.0
IMPERIAL COLLEGE LONDON,OTHER GRANT,2017,LONDON,613053.0
IMPERIAL COLLEGE LONDON,OTHER GRANT,2018,LONDON,155806.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2011,LONDON,15534654.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2012,LONDON,26931057.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2013,LONDON,40215915.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2014,LONDON,65128544.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2015,LONDON,44338316.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2016,LONDON,87796710.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2017,LONDON,84636542.0
IMPERIAL COLLEGE LONDON,RESEARCH GRANT,2018,LONDON,84388474.0
IMPERIAL COLLEGE LONDON,TRAINING GRANT,2011,LONDON,2200000.0
IMPERIAL COLLEGE LONDON,TRAINING GRANT,2013,LONDON,1372960.0
IMPERIAL COLLEGE LONDON,TRAINING GRANT,2014,LONDON,65357613.0
IMPERIAL COLLEGE LONDON,TRAINING GRANT,2015,LONDON,24208746.0
IMPERIAL COLLEGE LONDON,TRAINING GRANT,2016,LONDON,24049877.0
IMPERIAL COLLEGE LONDON,TRAINING GRANT,2017,LONDON,9474867.0
IMPERIAL COLLEGE LONDON,TRAINING GRANT,2018,LONDON,21291349.0
IMPRESSION TECHNOLOGIES LIMITED,COLLABORATIVE R&D,2017,LONDON,5636249.0
IMPRESSION TECHNOLOGIES LIMITED,EU-FUNDED,2017,LONDON,187157.0
IMUTEX LIMITED,SMALL BUSINESS RESEARCH INITIATIVE,2017,LONDON,3600000.0
IN TOUCH LIMITED,COLLABORATIVE R&D,2017,NORTH WEST,636078.0
IN-CYCLE LTD,CRD,2018,EAST MIDLANDS,181508.0
IN2SCIENCEUK.ORG,RESEARCH GRANT,2018,UNKNOWN,14750.0
INAVYA VENTURES LTD,COLLABORATIVE R&D,2018,LONDON,392441.0
INCLUSIVE DESIGNS LTD,FEASIBILITY STUDIES,2017,UNKNOWN,69656.0
INCREMENTAL SOLUTIONS LTD,COLLABORATIVE R&D,2017,YORKSHIRE AND THE HUMBER,212134.0
INCUS PERFORMANCE LTD.,FEASIBILITY STUDIES,2017,EAST MIDLANDS,299186.0
INDESTRUCTIBLE PAINT LIMITED,COLLABORATIVE R&D,2017,WEST MIDLANDS,304784.0
INDUSTRIAL LIGHT & MAGIC (UK) LTD.,COLLABORATIVE R&D,2018,LONDON,484516.0
INDUSTRIAL PHYCOLOGY LIMITED,FEASIBILITY STUDIES,2018,SOUTH WEST,114329.0
INDUSTRIAL TECHNOLOGY SYSTEMS LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,1326681.0
INEX MICROTECHNOLOGY LIMITED,COLLABORATIVE R&D,2018,WEST MIDLANDS,300392.0
INFORMATION COMMISSIONERS OFFICE,CRD,2018,UNKNOWN,536127.0
INGENICA SOLUTIONS LIMITED,EU-FUNDED,2017,LONDON,307694.0
INGENZA LIMITED,COLLABORATIVE R&D,2016,SCOTLAND,396540.0
INGENZA LIMITED,FEASIBILITY STUDIES,2017,SCOTLAND,932701.0
INHERITING EARTH LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,8414.0
INNOVA INTEGRA LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,387886.0
INNOVATE UK,COLLABORATIVE R&D,2016,SOUTH WEST,813139.0
INNOVATE UK,EU-FUNDED,2017,SOUTH WEST,6457680.0
INNOVATIONS FOR POVERTY ACTION,RESEARCH GRANT,2018,OUTSIDE UK,559495.0
INNOVATIVE PHYSICS LIMITED,EU-FUNDED,2017,UNKNOWN,307672.0
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,COLLABORATIVE R&D,2016,EAST OF ENGLAND,368472.0
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,2219479.0
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,COLLABORATIVE R&D,2018,EAST OF ENGLAND,2145376.0
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,FEASIBILITY STUDIES,2017,EAST OF ENGLAND,252018.0
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,FEASIBILITY STUDIES,2018,EAST OF ENGLAND,787309.0
INNOVENT TECHNOLOGY LIMITED,COLLABORATIVE R&D,2018,SCOTLAND,676235.0
INNOVIFY UK LTD,EU-FUNDED,2018,UNKNOWN,318800.0
INNVOTEK LTD,FEASIBILITY STUDIES,2018,UNKNOWN,393443.0
INOCARDIA LIMITED,COLLABORATIVE R&D,2016,WEST MIDLANDS,696342.0
