LeadROName,ProjectCategory,year,Region,AwardPounds
AGRI-EPI CENTRE LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,1041050.0
AGRI-EPI CENTRE LIMITED,COLLABORATIVE R&D,2018,EAST OF ENGLAND,300000.0
AGRIMETRICS LIMITED,CENTRES,2017,WEST MIDLANDS,589000.0
AGRIMETRICS LIMITED,COLLABORATIVE R&D,2015,WEST MIDLANDS,11780000.0
AGRITHERM LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,118799.0
AGROCEUTICAL PRODUCTS LTD,FEASIBILITY STUDIES,2015,WEST MIDLANDS,402163.0
AIMES MANAGEMENT SERVICES LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,642935.0
"AIPOD, LTD",COLLABORATIVE R&D,2018,UNKNOWN,2847814.0
AIR CONTROL ENTECH LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,783928.0
AIR LIQUIDE ADVANCED BUSINESS AND TECHNOLOGIES UK LIMITED,COLLABORATIVE R&D,2017,WEST MIDLANDS,1045739.0
AIRBUS DEFENCE AND SPACE LIMITED,BIS-FUNDED PROGRAMMES,2016,EAST OF ENGLAND,3644386.0
AIRBUS DEFENCE AND SPACE LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,203975.0
AIRBUS DEFENCE AND SPACE LIMITED,FEASIBILITY STUDIES,2017,EAST OF ENGLAND,128311.0
AIRBUS GROUP LIMITED,BIS-FUNDED PROGRAMMES,2014,LONDON,1678305.0
AIRBUS GROUP LIMITED,COLLABORATIVE R&D,2017,LONDON,587222.0
AIRBUS GROUP LIMITED,COLLABORATIVE R&D,2018,LONDON,646445.0
AIRBUS HELICOPTERS UK LIMITED,COLLABORATIVE R&D,2015,SOUTH EAST,1012001.0
AIRBUS OPERATIONS LIMITED,BIS-FUNDED PROGRAMMES,2014,SOUTH WEST,19959021.0
AIRBUS OPERATIONS LIMITED,BIS-FUNDED PROGRAMMES,2015,SOUTH WEST,19055757.0
AIRBUS OPERATIONS LIMITED,BIS-FUNDED PROGRAMMES,2016,SOUTH WEST,18412442.0
AIRBUS OPERATIONS LIMITED,BIS-FUNDED PROGRAMMES,2017,SOUTH WEST,67723610.0
AIRBUS OPERATIONS LIMITED,BIS-FUNDED PROGRAMMES,2018,SOUTH WEST,32172428.0
AIXTRON LIMITED,COLLABORATIVE R&D,2018,EAST OF ENGLAND,200796.0
AJA.LA STUDIOS LTD,COLLABORATIVE R&D,2018,UNKNOWN,250200.0
AKA MEDIA  LIMITED,CRD,2018,UNKNOWN,41895.0
ALBATERN LIMITED,COLLABORATIVE R&D,2017,SCOTLAND,1176264.0
ALBERT-LUDWIGS UNIVERSITY FREIBURG,RESEARCH GRANT,2016,OUTSIDE UK,89180.0
ALCOVE LIMITED,CRD,2018,LONDON,68927.0
ALCYOMICS LIMITED,FEASIBILITY STUDIES,2017,NORTH EAST,203944.0
ALCYOMICS LTD,OTHER GRANT,2017,UNKNOWN,333332.0
ALICE SI LTD,COLLABORATIVE R&D,2017,LONDON,223535.0
ALL ABOUT THE PRODUCT LTD,CRD,2018,UNKNOWN,121612.0
ALL STREET RESEARCH LIMITED,COLLABORATIVE R&D,2018,LONDON,655886.0
ALLNEX RESINS UK LIMITED,COLLABORATIVE R&D,2017,LONDON,108644.0
ALLOTROPE ENERGY LTD,COLLABORATIVE R&D,2016,NORTH WEST,118761.0
ALMAC DIAGNOSTICS LIMITED,COLLABORATIVE R&D,2018,NORTHERN IRELAND,500000.0
ALMAC DIAGNOSTICS LIMITED,SMALL BUSINESS RESEARCH INITIATIVE,2013,NORTHERN IRELAND,2267635.0
ALMAC DISCOVERY LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,1101254.0
ALP TECHNOLOGIES LTD,COLLABORATIVE R&D,2018,LONDON,139503.0
ALP TECHNOLOGIES LTD,FEASIBILITY STUDIES,2018,LONDON,69309.0
ALSTOM POWER LTD,COLLABORATIVE R&D,2017,WEST MIDLANDS,670360.0
ALTAIR MEDICAL  LTD,CRD,2018,UNKNOWN,125115.0
ALTENERGIS PLC,FEASIBILITY STUDIES,2017,LONDON,169761.0
ALVANT LIMITED,COLLABORATIVE R&D,2017,UNKNOWN,930120.0
AMBIENTAL TECHNICAL SOLUTIONS LIMITED,COLLABORATIVE R&D,2017,SOUTH EAST,109637.0
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,FEASIBILITY STUDIES,2018,NORTH WEST,283984.0
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,SMALL BUSINESS RESEARCH INITIATIVE,2018,NORTH WEST,1497239.0
AMERICAN UNIVERSITY OF BEIRUT,RESEARCH GRANT,2016,OUTSIDE UK,389398.0
AMEY GROUP INFORMATION SERVICES LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,182854.0
AMEY OWR LIMITED,COLLABORATIVE R&D,2017,UNKNOWN,644847.0
AMPETRONIC LIMITED,FEASIBILITY STUDIES,2017,EAST MIDLANDS,683033.0
