Value,Year,ProviderType,Purpose,ProviderName
7965.8,2014,COLLEGE,EDUCATION,ASHTON SIXTH FORM COLLEGE
1080660.95,2014,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
2355079.51,2014,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
296267,2014,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
248034,2014,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
338993.51,2014,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
516152.26,2014,COMPANY,EDUCATION,ASPIRATION TRAINING LIMITED
2683043.63,2014,COMPANY,EDUCATION,ASPIRATION TRAINING LIMITED
1272388.27,2014,COMPANY,EDUCATION,ASPIRATION TRAINING LIMITED
1043268.53,2014,COMPANY,EDUCATION,ASSET TRAINING & CONSULTANCY LIMITED
3066385.67,2014,COMPANY,EDUCATION,ASSET TRAINING & CONSULTANCY LIMITED
11250.86,2014,COMPANY,EDUCATION,ASSET TRAINING & CONSULTANCY LIMITED
1826279.88,2014,COMPANY,EDUCATION,ASSET TRAINING & CONSULTANCY LIMITED
3339636.68,2014,COMPANY,EDUCATION,KAPLAN FINANCIAL LIMITED
5112444.2,2014,COMPANY,EDUCATION,KAPLAN FINANCIAL LIMITED
16981.95,2014,COMPANY,EDUCATION,KAPLAN FINANCIAL LIMITED
3513101.54,2014,COMPANY,EDUCATION,KAPLAN FINANCIAL LIMITED
75918.83,2014,COMPANY,EDUCATION,AURELIA TRAINING LIMITED
464820.96,2014,COMPANY,EDUCATION,AURELIA TRAINING LIMITED
414643.88,2014,COMPANY,EDUCATION,AURELIA TRAINING LIMITED
305480.5,2014,COMPANY,EDUCATION,AXIA SOLUTIONS LIMITED
610587.97,2014,COMPANY,EDUCATION,AXIA SOLUTIONS LIMITED
390647.57,2014,COMPANY,EDUCATION,AXIA SOLUTIONS LIMITED
1103236.01,2014,COLLEGE,EDUCATION,AYLESBURY COLLEGE
1950701.81,2014,COLLEGE,EDUCATION,AYLESBURY COLLEGE
218453.93,2014,COLLEGE,EDUCATION,AYLESBURY COLLEGE
532904.63,2014,COLLEGE,EDUCATION,AYLESBURY COLLEGE
860170.24,2014,COMPANY,EDUCATION,ATG TRAINING
1472776.96,2014,COMPANY,EDUCATION,ATG TRAINING
1136168.94,2014,COMPANY,EDUCATION,ATG TRAINING
951185.7,2014,COMPANY,EDUCATION,B L TRAINING LIMITED
360045.88,2014,COMPANY,EDUCATION,B L TRAINING LIMITED
347080.88,2014,COMPANY,EDUCATION,B L TRAINING LIMITED
46425.35,2014,COMPANY,EDUCATION,B-SKILL LIMITED
1414165.12,2014,COMPANY,EDUCATION,B-SKILL LIMITED
12571.06,2014,COMPANY,EDUCATION,B-SKILL LIMITED
638423.38,2014,COMPANY,EDUCATION,B-SKILL LIMITED
3363194.9,2014,COLLEGE,EDUCATION,BABINGTON BUSINESS COLLEGE LIMITED
3224927.83,2014,COLLEGE,EDUCATION,BABINGTON BUSINESS COLLEGE LIMITED
1516.53,2014,COLLEGE,EDUCATION,BABINGTON BUSINESS COLLEGE LIMITED
2541777.53,2014,COLLEGE,EDUCATION,BABINGTON BUSINESS COLLEGE LIMITED
2088806.85,2014,COMPANY,EDUCATION,BAE SYSTEMS PLC
598943.08,2014,COMPANY,EDUCATION,BAE SYSTEMS PLC
598943.08,2014,COMPANY,EDUCATION,BAE SYSTEMS PLC
457508.6,2014,COMPANY,EDUCATION,BARCHESTER HEALTHCARE LIMITED
485343.64,2014,COMPANY,EDUCATION,BARCHESTER HEALTHCARE LIMITED
436401.64,2014,COMPANY,EDUCATION,BARCHESTER HEALTHCARE LIMITED
5439.92,2014,COMPANY,EDUCATION,BARFORD EDUCATION AND TRAINING (NORTH EAST) LIMITED
533854.73,2014,COMPANY,EDUCATION,BARFORD EDUCATION AND TRAINING (NORTH EAST) LIMITED
383085.27,2014,COMPANY,EDUCATION,BARFORD EDUCATION AND TRAINING (NORTH EAST) LIMITED
1595031.97,2014,COLLEGE,EDUCATION,BARKING AND DAGENHAM COLLEGE
8256560.39,2014,COLLEGE,EDUCATION,BARKING AND DAGENHAM COLLEGE
765840.76,2014,COLLEGE,EDUCATION,BARKING AND DAGENHAM COLLEGE
593048.53,2014,COLLEGE,EDUCATION,BARKING AND DAGENHAM COLLEGE
320300.77,2014,COMPANY,EDUCATION,BARNARDO'S
120328.15,2014,COMPANY,EDUCATION,BARNARDO'S
94567.15,2014,COMPANY,EDUCATION,BARNARDO'S
534144.37,2014,COLLEGE,EDUCATION,BARNET & SOUTHGATE COLLEGE
16824225.1,2014,COLLEGE,EDUCATION,BARNET & SOUTHGATE COLLEGE
500662,2014,COLLEGE,EDUCATION,BARNET & SOUTHGATE COLLEGE
1096290.61,2014,COLLEGE,EDUCATION,BARNET & SOUTHGATE COLLEGE
903344.53,2014,COLLEGE,EDUCATION,BARNET & SOUTHGATE COLLEGE
405578.24,2014,COLLEGE,EDUCATION,BARNFIELD COLLEGE
5311263.53,2014,COLLEGE,EDUCATION,BARNFIELD COLLEGE
199640,2014,COLLEGE,EDUCATION,BARNFIELD COLLEGE
469708.08,2014,COLLEGE,EDUCATION,BARNFIELD COLLEGE
207051.53,2014,COLLEGE,EDUCATION,BARNFIELD COLLEGE
2742252.31,2014,COLLEGE,EDUCATION,BARNSLEY COLLEGE
3885816.95,2014,COLLEGE,EDUCATION,BARNSLEY COLLEGE
456148,2014,COLLEGE,EDUCATION,BARNSLEY COLLEGE
1273963.8,2014,COLLEGE,EDUCATION,BARNSLEY COLLEGE
974887.77,2014,COMPANY,EDUCATION,BARNSLEY METROPOLITAN BOROUGH COUNCIL
1211032,2014,COMPANY,EDUCATION,BARNSLEY METROPOLITAN BOROUGH COUNCIL
77394,2014,COMPANY,EDUCATION,BARNSLEY METROPOLITAN BOROUGH COUNCIL
114810.1,2014,COLLEGE,EDUCATION,BARROW-IN-FURNESS SIXTH FORM COLLEGE
17250,2014,COLLEGE,EDUCATION,BARROW-IN-FURNESS SIXTH FORM COLLEGE
265302.21,2014,COLLEGE,EDUCATION,BARTON PEVERIL SIXTH FORM COLLEGE
2231.02,2014,COLLEGE,EDUCATION,BARTON PEVERIL SIXTH FORM COLLEGE
1189850.24,2014,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
4224349.2,2014,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
49208,2014,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
216271.17,2014,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
1739421.85,2014,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
416938.28,2014,COMPANY,EDUCATION,BASINGSTOKE YOUTH ACTION TRUST LIMITED
219371.6,2014,COMPANY,EDUCATION,BASINGSTOKE YOUTH ACTION TRUST LIMITED
218444.13,2014,COMPANY,EDUCATION,BASINGSTOKE YOUTH ACTION TRUST LIMITED
3143449.11,2014,COLLEGE,EDUCATION,BEDFORD COLLEGE
6664832.45,2014,COLLEGE,EDUCATION,BEDFORD COLLEGE
90384,2014,COLLEGE,EDUCATION,BEDFORD COLLEGE
545425.48,2014,COLLEGE,EDUCATION,BEDFORD COLLEGE
1274539.45,2014,COLLEGE,EDUCATION,BEDFORD COLLEGE
187739.37,2014,COLLEGE,EDUCATION,"BERKSHIRE COLLEGE OF AGRICULTURE, THE (BCA)"
792443.14,2014,COLLEGE,EDUCATION,"BERKSHIRE COLLEGE OF AGRICULTURE, THE (BCA)"
5019,2014,COLLEGE,EDUCATION,"BERKSHIRE COLLEGE OF AGRICULTURE, THE (BCA)"
74288.1,2014,COLLEGE,EDUCATION,"BERKSHIRE COLLEGE OF AGRICULTURE, THE (BCA)"
44639.14,2014,COLLEGE,EDUCATION,"BERKSHIRE COLLEGE OF AGRICULTURE, THE (BCA)"
70924.69,2014,COLLEGE,EDUCATION,BEXHILL COLLEGE
302914.05,2014,COLLEGE,EDUCATION,BEXHILL COLLEGE
18463,2014,COLLEGE,EDUCATION,BEXHILL COLLEGE
10582.05,2014,COLLEGE,EDUCATION,BEXHILL COLLEGE
477150.26,2014,COLLEGE,EDUCATION,BEXLEY COLLEGE
2009165.32,2014,COLLEGE,EDUCATION,BEXLEY COLLEGE
368931,2014,COLLEGE,EDUCATION,BEXLEY COLLEGE
245397.32,2014,COLLEGE,EDUCATION,BEXLEY COLLEGE
1335644.15,2014,COMPANY,EDUCATION,BEXLEY YOUTH TRAINING GROUP
352996.13,2014,COMPANY,EDUCATION,BEXLEY YOUTH TRAINING GROUP
352996.13,2014,COMPANY,EDUCATION,BEXLEY YOUTH TRAINING GROUP
335982.6,2014,COLLEGE,EDUCATION,BICTON COLLEGE
782724.68,2014,COLLEGE,EDUCATION,BICTON COLLEGE
21092,2014,COLLEGE,EDUCATION,BICTON COLLEGE
90294,2014,COLLEGE,EDUCATION,BICTON COLLEGE
99659.75,2014,COLLEGE,EDUCATION,BICTON COLLEGE
177347.59,2014,COLLEGE,EDUCATION,BIRKENHEAD SIXTH FORM COLLEGE
25905,2014,COLLEGE,EDUCATION,BIRKENHEAD SIXTH FORM COLLEGE
5514021,2014,COMPANY,EDUCATION,BIRMINGHAM CITY COUNCIL
5407095,2014,COMPANY,EDUCATION,BIRMINGHAM CITY COUNCIL
617967,2014,COMPANY,EDUCATION,BIRMINGHAM CITY COUNCIL
183175.68,2014,COLLEGE,EDUCATION,UNIVERSITY COLLEGE BIRMINGHAM
1481268.73,2014,COLLEGE,EDUCATION,UNIVERSITY COLLEGE BIRMINGHAM
228314,2014,COLLEGE,EDUCATION,UNIVERSITY COLLEGE BIRMINGHAM
201934.73,2014,COLLEGE,EDUCATION,UNIVERSITY COLLEGE BIRMINGHAM
458400.09,2014,COMPANY,EDUCATION,BIRMINGHAM ELECTRICAL TRAINING LTD
101685.6,2014,COMPANY,EDUCATION,BIRMINGHAM ELECTRICAL TRAINING LTD
101685.6,2014,COMPANY,EDUCATION,BIRMINGHAM ELECTRICAL TRAINING LTD
536529.28,2014,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
3591333.59,2014,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
156627,2014,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
466861,2014,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
1149727.59,2014,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
598348.37,2014,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
1161068.52,2014,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
9220,2014,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
164598,2014,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
94099.43,2014,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
1049716.85,2014,COLLEGE,EDUCATION,BLACKBURN COLLEGE
4751658.22,2014,COLLEGE,EDUCATION,BLACKBURN COLLEGE
715456.55,2014,COLLEGE,EDUCATION,BLACKBURN COLLEGE
912715.57,2014,COLLEGE,EDUCATION,BLACKBURN COLLEGE
116558,2014,COMPANY,EDUCATION,BLACKBURN WITH DARWEN UNITARY AUTHORITY
806255,2014,COMPANY,EDUCATION,BLACKBURN WITH DARWEN UNITARY AUTHORITY
1294276.94,2014,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
6940986.23,2014,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
41872,2014,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
793703.24,2014,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
1357667.23,2014,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
104579,2014,COMPANY,EDUCATION,BLACKPOOL UNITARY AUTHORITY
566951,2014,COMPANY,EDUCATION,BLACKPOOL UNITARY AUTHORITY
231555.25,2014,COMPANY,EDUCATION,G.R. & M.M. BLACKLEDGE PLC
94606.49,2014,COMPANY,EDUCATION,G.R. & M.M. BLACKLEDGE PLC
94606.49,2014,COMPANY,EDUCATION,G.R. & M.M. BLACKLEDGE PLC
1087277.9,2014,COLLEGE,EDUCATION,BOLTON COLLEGE
4648234.49,2014,COLLEGE,EDUCATION,BOLTON COLLEGE
295593,2014,COLLEGE,EDUCATION,BOLTON COLLEGE
592953,2014,COLLEGE,EDUCATION,BOLTON COLLEGE
705441.85,2014,COLLEGE,EDUCATION,BOLTON COLLEGE
160114.68,2014,COMPANY,EDUCATION,BOLTON METROPOLITAN BOROUGH COUNCIL
2080397,2014,COMPANY,EDUCATION,BOLTON METROPOLITAN BOROUGH COUNCIL
939402.89,2014,COLLEGE,EDUCATION,BOSTON COLLEGE
3978390.7,2014,COLLEGE,EDUCATION,BOSTON COLLEGE
102222,2014,COLLEGE,EDUCATION,BOSTON COLLEGE
206743.78,2014,COLLEGE,EDUCATION,BOSTON COLLEGE
517528.15,2014,COLLEGE,EDUCATION,BOSTON COLLEGE
3636984.82,2014,COLLEGE,EDUCATION,"BOURNEMOUTH AND POOLE COLLEGE, THE"
4492629.78,2014,COLLEGE,EDUCATION,"BOURNEMOUTH AND POOLE COLLEGE, THE"
679581.85,2014,COLLEGE,EDUCATION,"BOURNEMOUTH AND POOLE COLLEGE, THE"
1397163.83,2014,COLLEGE,EDUCATION,"BOURNEMOUTH AND POOLE COLLEGE, THE"
920038.63,2014,COLLEGE,EDUCATION,BOURNVILLE COLLEGE
8477700.01,2014,COLLEGE,EDUCATION,BOURNVILLE COLLEGE
172460,2014,COLLEGE,EDUCATION,BOURNVILLE COLLEGE
1058720,2014,COLLEGE,EDUCATION,BOURNVILLE COLLEGE
2114813.01,2014,COLLEGE,EDUCATION,BOURNVILLE COLLEGE
1989149.3,2014,COMPANY,EDUCATION,BPP HOLDINGS LIMITED
1111314.75,2014,COMPANY,EDUCATION,BPP HOLDINGS LIMITED
10618.09,2014,COMPANY,EDUCATION,BPP HOLDINGS LIMITED
1111314.75,2014,COMPANY,EDUCATION,BPP HOLDINGS LIMITED
661300.11,2014,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
1851380,2014,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
367166,2014,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
175762.58,2014,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
663643,2014,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
36256.3,2014,COMPANY,EDUCATION,BRACKNELL FOREST BOROUGH COUNCIL
378295,2014,COMPANY,EDUCATION,BRACKNELL FOREST BOROUGH COUNCIL
2846296.66,2014,COLLEGE,EDUCATION,BRADFORD COLLEGE
10590242.37,2014,COLLEGE,EDUCATION,BRADFORD COLLEGE
956447,2014,COLLEGE,EDUCATION,BRADFORD COLLEGE
1302756,2014,COLLEGE,EDUCATION,BRADFORD COLLEGE
1431423.98,2014,COLLEGE,EDUCATION,BRADFORD COLLEGE
1008270.91,2014,COMPANY,EDUCATION,APPRIS CHARITY LIMITED
178944.28,2014,COMPANY,EDUCATION,APPRIS CHARITY LIMITED
142079.26,2014,COMPANY,EDUCATION,APPRIS CHARITY LIMITED
90365.6,2014,COMPANY,EDUCATION,BRADFORD CITY COUNCIL
431734.51,2014,COMPANY,EDUCATION,BRADFORD CITY COUNCIL
429184,2014,COMPANY,EDUCATION,BRADFORD CITY COUNCIL
154194.51,2014,COMPANY,EDUCATION,BRADFORD CITY COUNCIL
2225702.77,2014,COMPANY,EDUCATION,BRENT LONDON BOROUGH COUNCIL
1129015,2014,COMPANY,EDUCATION,BRENT LONDON BOROUGH COUNCIL
139497.96,2014,COMPANY,EDUCATION,BRENT LONDON BOROUGH COUNCIL
2519802.81,2014,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
5242987,2014,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
406711,2014,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
302021,2014,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
1039967,2014,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
47410.08,2014,COMPANY,EDUCATION,BRIGHTON & HOVE CITY COUNCIL
300024,2014,COMPANY,EDUCATION,BRIGHTON & HOVE CITY COUNCIL
68347.92,2014,COLLEGE,EDUCATION,BRIGHTON HOVE AND SUSSEX SIXTH FORM COLLEGE
3800.85,2014,COLLEGE,EDUCATION,BRIGHTON HOVE AND SUSSEX SIXTH FORM COLLEGE
779130.62,2014,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
360912.12,2014,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
1557659,2014,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
1922,2014,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
107039.81,2014,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
202800.66,2014,COMPANY,EDUCATION,BRITISH GAS SERVICES LIMITED
794808.49,2014,COMPANY,EDUCATION,BRITISH GAS SERVICES LIMITED
794808.49,2014,COMPANY,EDUCATION,BRITISH GAS SERVICES LIMITED
377971.06,2014,COMPANY,EDUCATION,BRITISH PRINTING INDUSTRIES FEDERATION LTD
403859.5,2014,COMPANY,EDUCATION,BRITISH PRINTING INDUSTRIES FEDERATION LTD
403859.5,2014,COMPANY,EDUCATION,BRITISH PRINTING INDUSTRIES FEDERATION LTD
372332.37,2014,COMPANY,EDUCATION,THE APPRENTICE SCHOOL CHARITABLE TRUST
171460.79,2014,COMPANY,EDUCATION,THE APPRENTICE SCHOOL CHARITABLE TRUST
101470.79,2014,COMPANY,EDUCATION,THE APPRENTICE SCHOOL CHARITABLE TRUST
679730.38,2014,COMPANY,EDUCATION,BROADLAND DISTRICT COUNCIL
215548.79,2014,COMPANY,EDUCATION,BROADLAND DISTRICT COUNCIL
213423.14,2014,COMPANY,EDUCATION,BROADLAND DISTRICT COUNCIL
549311.78,2014,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
2309998.77,2014,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
291249,2014,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
108078.5,2014,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
633219.77,2014,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
1389858.76,2014,COLLEGE,EDUCATION,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION
5055017.01,2014,COLLEGE,EDUCATION,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION
590085.64,2014,COLLEGE,EDUCATION,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION
1107697.01,2014,COLLEGE,EDUCATION,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION
7084632.76,2014,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
3217622.64,2014,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
104117,2014,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
97059.55,2014,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
1076531.96,2014,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
295435.55,2014,COLLEGE,EDUCATION,BMC (BROOKSBY MELTON COLLEGE)
1296670.46,2014,COLLEGE,EDUCATION,BMC (BROOKSBY MELTON COLLEGE)
97438.03,2014,COLLEGE,EDUCATION,BMC (BROOKSBY MELTON COLLEGE)
425012.4,2014,COLLEGE,EDUCATION,BMC (BROOKSBY MELTON COLLEGE)
10459,2014,UNIVERSITY,EDUCATION,BUCKINGHAMSHIRE NEW UNIVERSITY
1130,2014,UNIVERSITY,EDUCATION,BUCKINGHAMSHIRE NEW UNIVERSITY
1759,2014,UNIVERSITY,EDUCATION,BUCKINGHAMSHIRE NEW UNIVERSITY
177208.27,2014,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
1701704.07,2014,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
1951609,2014,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
44743.55,2014,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
250381.59,2014,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
1235714.51,2014,COMPANY,EDUCATION,BUILDING ENGINEERING SERVICES TRAINING LIMITED
508471.89,2014,COMPANY,EDUCATION,BUILDING ENGINEERING SERVICES TRAINING LIMITED
495538.39,2014,COMPANY,EDUCATION,BUILDING ENGINEERING SERVICES TRAINING LIMITED
6851.41,2014,COMPANY,EDUCATION,MARTINEX LIMITED
1782009.76,2014,COLLEGE,EDUCATION,BURNLEY COLLEGE
3398018.93,2014,COLLEGE,EDUCATION,BURNLEY COLLEGE
350290.75,2014,COLLEGE,EDUCATION,BURNLEY COLLEGE
1200074.93,2014,COLLEGE,EDUCATION,BURNLEY COLLEGE
1189177.24,2014,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
3032185.15,2014,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
91350,2014,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
214180.7,2014,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
425194.63,2014,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
1223719.1,2014,COLLEGE,EDUCATION,BURY COLLEGE
4230512.93,2014,COLLEGE,EDUCATION,BURY COLLEGE
115487,2014,COLLEGE,EDUCATION,BURY COLLEGE
316298,2014,COLLEGE,EDUCATION,BURY COLLEGE
1774554.17,2014,COLLEGE,EDUCATION,BURY COLLEGE
853577,2014,COMPANY,EDUCATION,BURY METROPOLITAN BOROUGH COUNCIL
793530,2014,COMPANY,EDUCATION,BURY METROPOLITAN BOROUGH COUNCIL
32472,2014,COMPANY,EDUCATION,BURY METROPOLITAN BOROUGH COUNCIL
80413.13,2014,COMPANY,EDUCATION,BUSINESS MANAGEMENT RESOURCES (UK) LTD
370118.95,2014,COMPANY,EDUCATION,BUSINESS MANAGEMENT RESOURCES (UK) LTD
370118.95,2014,COMPANY,EDUCATION,BUSINESS MANAGEMENT RESOURCES (UK) LTD
88111.09,2014,COMPANY,EDUCATION,CABLECOM TRAINING LIMITED
1234275.35,2014,COMPANY,EDUCATION,CABLECOM TRAINING LIMITED
13510,2014,COMPANY,EDUCATION,CABLECOM TRAINING LIMITED
64165.35,2014,COMPANY,EDUCATION,CABLECOM TRAINING LIMITED
254590.95,2014,COMPANY,EDUCATION,THE CADCENTRE (UK) LIMITED
1245485.64,2014,COMPANY,EDUCATION,THE CADCENTRE (UK) LIMITED
340.08,2014,COMPANY,EDUCATION,THE CADCENTRE (UK) LIMITED
702672.09,2014,COMPANY,EDUCATION,THE CADCENTRE (UK) LIMITED
921396.7,2014,COLLEGE,EDUCATION,CALDERDALE COLLEGE
4189788.87,2014,COLLEGE,EDUCATION,CALDERDALE COLLEGE
585688,2014,COLLEGE,EDUCATION,CALDERDALE COLLEGE
563976.79,2014,COLLEGE,EDUCATION,CALDERDALE COLLEGE
188832.21,2014,COMPANY,EDUCATION,CALDERDALE METROPOLITAN BOROUGH COUNCIL
858283,2014,COMPANY,EDUCATION,CALDERDALE METROPOLITAN BOROUGH COUNCIL
3812591.66,2014,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
11155755.73,2014,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
542329,2014,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
189770.29,2014,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
6526038.79,2014,COLLEGE,EDUCATION,CAMBRIDGE REGIONAL COLLEGE
302635.68,2014,COMPANY,EDUCATION,CAMBRIDGESHIRE COUNTY COUNCIL
1720204,2014,COMPANY,EDUCATION,CAMBRIDGESHIRE COUNTY COUNCIL
66138.36,2014,COMPANY,EDUCATION,CAMBRIDGESHIRE COUNTY COUNCIL
870741.22,2014,COLLEGE,EDUCATION,CANTERBURY COLLEGE
4213740.32,2014,COLLEGE,EDUCATION,CANTERBURY COLLEGE
65283,2014,COLLEGE,EDUCATION,CANTERBURY COLLEGE
628561.09,2014,COLLEGE,EDUCATION,CANTERBURY COLLEGE
361581.32,2014,COLLEGE,EDUCATION,CANTERBURY COLLEGE
212052.48,2014,COLLEGE,EDUCATION,CAPEL MANOR COLLEGE
3173240.05,2014,COLLEGE,EDUCATION,CAPEL MANOR COLLEGE
345690.72,2014,COLLEGE,EDUCATION,CAPEL MANOR COLLEGE
195369.37,2014,COLLEGE,EDUCATION,CAPEL MANOR COLLEGE
2863379.5,2014,COMPANY,EDUCATION,CAPITA PLC
3650411.47,2014,COMPANY,EDUCATION,CAPITA PLC
1717560.06,2014,COMPANY,EDUCATION,CAPITA PLC
73805,2014,COLLEGE,EDUCATION,CARDINAL NEWMAN COLLEGE
370514.63,2014,COMPANY,EDUCATION,CT SKILLS LIMITED
3554489.61,2014,COMPANY,EDUCATION,CT SKILLS LIMITED
9402,2014,COMPANY,EDUCATION,CT SKILLS LIMITED
429504.61,2014,COMPANY,EDUCATION,CT SKILLS LIMITED
6211515.36,2014,COMPANY,EDUCATION,CARILLION CONSTRUCTION LIMITED
411850.98,2014,COMPANY,EDUCATION,CARILLION CONSTRUCTION LIMITED
192088.98,2014,COMPANY,EDUCATION,CARILLION CONSTRUCTION LIMITED
712857.22,2014,COLLEGE,EDUCATION,CARLISLE COLLEGE
1404245.58,2014,COLLEGE,EDUCATION,CARLISLE COLLEGE
247270,2014,COLLEGE,EDUCATION,CARLISLE COLLEGE
329051.56,2014,COLLEGE,EDUCATION,CARLISLE COLLEGE
13888.53,2014,COLLEGE,EDUCATION,CARMEL COLLEGE
1861.8,2014,COLLEGE,EDUCATION,CARMEL COLLEGE
818814.49,2014,COLLEGE,EDUCATION,CARSHALTON COLLEGE
2010401.98,2014,COLLEGE,EDUCATION,CARSHALTON COLLEGE
201069.84,2014,COLLEGE,EDUCATION,CARSHALTON COLLEGE
377890.49,2014,COLLEGE,EDUCATION,CARSHALTON COLLEGE
26431.55,2014,COLLEGE,EDUCATION,FORSTER COMMUNITY COLLEGE LIMITED
474702.15,2014,COLLEGE,EDUCATION,FORSTER COMMUNITY COLLEGE LIMITED
136363,2014,COLLEGE,EDUCATION,FORSTER COMMUNITY COLLEGE LIMITED
43599,2014,COLLEGE,EDUCATION,FORSTER COMMUNITY COLLEGE LIMITED
11292.23,2014,COLLEGE,EDUCATION,FORSTER COMMUNITY COLLEGE LIMITED
2010707.45,2014,COMPANY,EDUCATION,CENTRAL TRAINING ACADEMY LIMITED
541260.5,2014,COMPANY,EDUCATION,CENTRAL TRAINING ACADEMY LIMITED
8354.09,2014,COMPANY,EDUCATION,CENTRAL TRAINING ACADEMY LIMITED
401439.03,2014,COMPANY,EDUCATION,CENTRAL TRAINING ACADEMY LIMITED
1134519.41,2014,COMPANY,EDUCATION,COVENTRY AND WARWICKSHIRE CHAMBERS OF COMMERCE TRAINING LIMITED
1298041.74,2014,COMPANY,EDUCATION,COVENTRY AND WARWICKSHIRE CHAMBERS OF COMMERCE TRAINING LIMITED
1115120.19,2014,COMPANY,EDUCATION,COVENTRY AND WARWICKSHIRE CHAMBERS OF COMMERCE TRAINING LIMITED
638633.65,2014,COMPANY,EDUCATION,CHAMBER TRAINING (HUMBER) LIMITED
305412.57,2014,COMPANY,EDUCATION,CHAMBER TRAINING (HUMBER) LIMITED
252390.41,2014,COMPANY,EDUCATION,CHAMBER TRAINING (HUMBER) LIMITED
