LeadROName,StartDate,AwardPounds
APPLIED INSPECTION LIMITED,2017,726553.0
APPLIED NANODETECTORS LIMITED,2017,361903.0
APPLIED PHOTOPHYSICS LIMITED,2016,614375.0
APPLIED PHOTOPHYSICS LIMITED,2018,38138.0
APS BIOCONTROL LIMITED,2015,244826.0
APS BIOCONTROL LIMITED,2016,145681.0
APS BIOCONTROL LIMITED,2018,1119822.0
AQDOT LIMITED,2017,691712.0
AQUASIUM TECHNOLOGY LIMITED,2017,672030.0
ARC TRINOVA LIMITED,2018,2476324.0
ARCH UK BIOCIDES LIMITED,2015,477468.0
ARCHANGEL IMAGING LTD.,2018,139917.0
ARCHIPELAGO TECHNOLOGY GROUP LTD,2017,888564.0
ARCOLA ENERGY LIMITED,2018,469141.0
ARCTORIS LTD,2018,511773.0
ARECOR LIMITED,2017,2261267.0
ARETE MEDICAL TECHNOLOGIES LTD,2018,120521.0
ARID AGRITEC LIMITED,2017,773712.0
ARIEL MOTOR COMPANY (AUTOMOTIVE) LIMITED,2017,6213129.0
ARM LIMITED,2017,1339655.0
ARMAGH OBSERVATORY,2014,42201.0
ARMAGH OBSERVATORY,2015,798765.0
ARMAGH OBSERVATORY,2017,74539.0
ARMAGH OBSERVATORY,2018,544934.0
ARQIT LIMITED,2018,3251717.0
ARRIVA UK TRAINS LIMITED,2017,740677.0
ARRIVAL LIMITED,2018,6820884.0
ARTEMIS INTELLIGENT POWER LIMITED,2018,10853307.0
ASEPTIKA LIMITED,2017,891034.0
ASEPTIKA LIMITED,2018,52491.0
ASHWOODS AUTOMOTIVE LTD,2016,1708469.0
ASHWOODS LIGHTFOOT LIMITED,2017,992809.0
ASSET INTERNATIONAL LIMITED,2017,173653.0
ASSIST MI LTD,2016,260632.0
ASTERAND UK ACQUISITION LIMITED,2016,465970.0
ASTON MARTIN LAGONDA LIMITED,2018,2215494.0
ASTON PARTICLE TECHNOLOGIES LIMITED,2018,383454.0
ASTON UNIVERSITY,2014,1352141.0
ASTON UNIVERSITY,2015,2653583.0
ASTON UNIVERSITY,2016,2003728.0
ASTON UNIVERSITY,2017,2223648.0
ASTON UNIVERSITY,2018,6590652.0
ASTONISHING LTD,2018,34989.0
ASTRAGUARD SYSTEMS LIMITED,2018,69129.0
ASTRAZENECA UK LIMITED,2014,585159.0
ASTROSCALE LTD,2018,4179308.0
ATG UV TECHNOLOGY LIMITED,2017,321118.0
ATHENE WORKS LIMITED,2016,1685818.0
ATKINS UK,2015,3221648.0
ATKINS UK,2016,3727464.0
ATLAS GENETICS LIMITED,2017,1998984.0
ATMOS INTERNATIONAL LIMITED,2018,245680.0
ATTENBOROUGH DENTAL LABORATORIES LTD,2018,754741.0
ATWELL INTERNATIONAL LIMITED,2018,280320.0
AUGMENTED INSTRUMENTS LTD,2018,78703.0
AURECON,2015,177348.0
AURELIUS ENVIRONMENTAL LTD,2018,697779.0
AUTIFONY THERAPEUTICS LIMITED,2015,2421118.0
AUTOCRAFT DRIVETRAIN SOLUTIONS LIMITED,2017,58756.0
AUTOLUS LIMITED,2015,1482960.0
AUTOLUS LIMITED,2017,1961446.0
AUTOLUS LIMITED,2018,1225847.0
