,LeadROName,Department,ProjectCategory,AwardPounds,Region,year
83,Northumbria University,Fac of Engineering and Environment,Research Grant,36304.0,North East,2014
84,Northumbria University,Fac of Engineering and Environment,Research Grant,346666.0,North East,2018
85,University of Leicester,Physics and Astronomy,Research Grant,2292308.0,East Midlands,2016
86,University of East Anglia,School of Psychology,Research Grant,392417.0,East of England,2018
87,University of Bristol,Earth Sciences,Research Grant,641495.0,South West,2016
88,Newcastle University,Sch of Engineering,Research Grant,420710.0,North East,2018
89,University of Surrey,Communications Systems Res CCSR,Research Grant,673435.0,South East,2017
90,University of Edinburgh,Sch of Chemistry,Research Grant,202084.0,Scotland,2017
91,University of Manchester,Physics and Astronomy,Research Grant,4030852.0,North West,2015
92,London School of Economics & Pol Sci,Sociology,Fellowship,99668.0,London,2018
93,University of Manchester,Physics and Astronomy,Research Grant,355859.0,North West,2017
94,University of Strathclyde,Mathematics and Statistics,Research Grant,468711.0,Scotland,2017
95,University of Leeds,,Knowledge Transfer Partnership,143063.0,Yorkshire and The Humber,2017
96,University of Edinburgh,Sch of Chemistry,Training Grant,95042.0,Scotland,2015
97,University of Birmingham,School of Chemistry,Training Grant,3509929.0,West Midlands,2014
98,University of Birmingham,School of Chemistry,Training Grant,98212.0,West Midlands,2017
99,Enocell Limited,,EU-Funded,303201.0,Scotland,2017
100,NERC British Geological Survey,BGS Global,Research Grant,5891200.0,East Midlands,2017
101,Liverpool School of Tropical Medicine,Vector Biology,Research Grant,6325569.0,North West,2017
102,University of Bath,Biology and Biochemistry,Training Grant,98212.0,South West,2017
103,University of Cambridge,Engineering,Research Grant,101140.0,East of England,2017
104,University of Liverpool,"Mech, Materials & Aerospace Engineering",Fellowship,807008.0,North West,2015
105,University of Hull,Chemistry,Research Grant,100745.0,Yorkshire and The Humber,2018
106,University of Dundee,Population Health and Genomics,Research Grant,951309.0,Scotland,2017
107,University of Surrey,Vision Speech and Signal Proc CVSSP,Research Grant,1577222.0,South East,2017
108,University College London,Surgery,Research Grant,870392.0,London,2015
109,University of Huddersfield,Research and Enterprise,Training Grant,169698.0,Yorkshire and The Humber,2018
110,University of Leicester,Infection Immunity and Inflammation,Research Grant,480208.0,East Midlands,2016
111,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,323270.0,Scotland,2018
112,King's College London,Dental Institute,Research Grant,201970.0,London,2017
113,King's College London,King's College London Central Offices,Training Grant,1994762.0,London,2016
114,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,86272.0,West Midlands,2017
115,University of Winchester,History,Research Grant,34538.0,South East,2017
116,University of Manchester,Mechanical Aerospace and Civil Eng,Research Grant,161686.0,North West,2017
117,Newcastle University,Sch of Engineering,Research Grant,240010.0,North East,2016
118,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,236718.0,Scotland,2016
119,Rothamsted Research,Biointeractions and Crop Protection,Research Grant,64376.0,East of England,2018
120,University of Warwick,,CRD,99560.0,West Midlands,2018
121,University of Oxford,Psychiatry,Fellowship,304884.0,South East,2018
122,University College London,Institute of Child Health,Fellowship,212983.0,London,2014
123,University of Cambridge,Asian and Middle Eastern Studies,Research Grant,406417.0,East of England,2016
124,University of Cambridge,Earth Sciences,Research Grant,638525.0,East of England,2016
125,King's College London,Chemistry,Research Grant,354242.0,London,2016
126,University of Liverpool,Student Administration and Support,Training Grant,205944.0,North West,2013
127,University of Nottingham,School of Life Sciences,Research Grant,686925.0,East Midlands,2018
128,Loughborough University,Geography,Research Grant,100837.0,East Midlands,2018
129,Imperial College London,Department of Chemical Engineering,Fellowship,1015843.0,London,2016
130,Fgv Cambridge Nanosystems Limited,,Feasibility Studies,361426.0,East of England,2017
