,LeadROName,Department,ProjectCategory,AwardPounds,Region,year
3197,University of Exeter,Biosciences,Research Grant,370634.0,South West,2017
3198,The Victoria University of Manchester,,Knowledge Transfer Partnership,145019.0,North West,2017
3199,University of Strathclyde,Physics,Training Grant,79664.0,Scotland,2017
3200,University of Strathclyde,Biomedical Engineering,Research Grant,392374.0,Scotland,2017
3201,Imperial College London,Earth Science and Engineering,Fellowship,586888.0,London,2018
3202,University of Oxford,Oxford Physics,Research Grant,64822.0,South East,2018
3203,Lancaster University,Computing & Communications,Research Grant,2561398.0,North West,2017
3204,University of St Andrews,Biology,Research Grant,442111.0,Scotland,2015
3205,Birkbeck College,Psychological Sciences,Research Grant,202413.0,London,2018
3206,School of Oriental & African Studies,Financial and Management Studies,Research Grant,290962.0,London,2017
3207,University of Aberdeen,"Sch of Medicine, Medical Sci & Nutrition",Fellowship,243094.0,Scotland,2014
3208,Imperial College London,Earth Science and Engineering,Research Grant,800469.0,London,2015
3209,University of Warwick,Sch of Engineering,Research Grant,881945.0,West Midlands,2017
3210,University of Sheffield,Landscape Architecture,Research Grant,1048904.0,Yorkshire and The Humber,2016
3211,University of Strathclyde,Electronic and Electrical Engineering,Research Grant,3895938.0,Scotland,2013
3212,Loughborough University,Chemical Engineering,Research Grant,283996.0,East Midlands,2015
3213,University of Dundee,School of Life Sciences,Training Grant,95042.0,Scotland,2015
3214,University of Leicester,Faculty of Law,Research Grant,442430.0,East Midlands,2018
3215,University College London,"Bartlett Sch of Env, Energy & Resources",Research Grant,673171.0,London,2018
3216,University of Leeds,School of Earth and Environment,Research Grant,556322.0,Yorkshire and The Humber,2016
3217,University College London,Economics,Research Grant,801429.0,London,2018
3218,Babraham Institute,Lymphocyte Signalling and Development,Training Grant,95042.0,East of England,2015
3219,Swansea University,College of Science,Research Grant,47143.0,Wales,2018
3220,University College London,London Centre for Nanotechnology,Research Grant,606348.0,London,2017
3221,London Sch of Hygiene and Trop Medicine,Infectious and Tropical Diseases,Research Grant,2183245.0,London,2018
3222,University of Edinburgh,MRC Human Genetics Unit,Fellowship,254657.0,Scotland,2018
3223,University of Manchester,School of Biological Sciences,Research Grant,1944849.0,North West,2018
3224,London Sch of Hygiene and Trop Medicine,Department of Pathogen Molecular Biology,Research Grant,374467.0,London,2018
3225,University of Cambridge,Clinical Biochemistry,Research Grant,246389.0,East of England,2017
3226,Reliance Precision Limited,,Collaborative R&D,666383.0,Yorkshire and The Humber,2017
3227,University of York,Environment,Research Grant,64488.0,Yorkshire and The Humber,2016
3228,University of Oxford,Zoology,Fellowship,546808.0,South East,2018
3229,Imperial College London,Dept of Medicine,Fellowship,255811.0,London,2018
3230,Keele University,Inst for Primary Care and Health Sci,Research Grant,172077.0,West Midlands,2017
3231,Aston University,Sch of Life and Health Sciences,Training Grant,90000.0,West Midlands,2016
3232,Imperial College London,School of Public Health,Research Grant,90531.0,London,2016
3233,University of Stirling,Psychology,Research Grant,70501.0,Scotland,2018
3234,Kw Special Projects Limited,,Collaborative R&D,520649.0,East Midlands,2017
3235,University of Sheffield,Health and Related Research,Research Grant,519391.0,Yorkshire and The Humber,2018
3236,University of Edinburgh,Sch of Engineering,Research Grant,382956.0,Scotland,2016
3237,Jointmedica Limited,,Collaborative R&D,906391.0,West Midlands,2018
3238,University of Sheffield,Animal and Plant Sciences,Fellowship,457738.0,Yorkshire and The Humber,2017
3239,Health Pathways Limited,,Feasibility Studies,49784.0,Unknown,2018
3240,"Royal Holloway, University of London",Physics,Research Grant,22522.0,South East,2016
3241,Imperial College London,Research Office,Research Grant,90000.0,London,2018
3242,University of Essex,,Knowledge Transfer Partnership,97819.0,East of England,2018
3243,University of Liverpool,"Earth, Ocean and Ecological Sciences",Fellowship,520295.0,North West,2018
3244,Queen's University of Belfast,Sch of Biological Sciences,Research Grant,178600.0,Northern Ireland,2016
3245,NERC Centre for Ecology and Hydrology,Biodiversity (Wallingford),Research Grant,605719.0,South East,2017
3246,University of Leeds,NCAS,Research Grant,7971410.0,Yorkshire and The Humber,2017
3247,University of Bristol,Interface Analysis Centre,Research Grant,453556.0,South West,2015
3248,University of Nottingham,School of Veterinary Medicine and Sci,Research Grant,356218.0,East Midlands,2015
3249,Durham University,Geography,Research Grant,52192.0,North East,2018
3250,Cranfield University,"Sch of Aerospace, Transport & Manufact",Research Grant,755750.0,East of England,2017
3251,Imperial College London,Dept of Surgery and Cancer,Research Grant,1515899.0,London,2017
3252,King's College London,Geography,Research Grant,328996.0,London,2013
3253,London Sch of Hygiene and Trop Medicine,Public Health and Policy,Research Grant,59961.0,London,2017
3254,Institute of Cancer Research,Division of Breast Cancer Research,Training Grant,95042.0,London,2015
3255,University College London,Geography,Research Grant,482142.0,London,2015
3256,University of Bath,Mathematical Sciences,Research Grant,95699.0,South West,2016
3257,University of Edinburgh,Centre for Clinical Brain Sciences,Fellowship,207015.0,Scotland,2016
3258,University of Southampton,"Sch of Economic, Social & Political Sci",Research Grant,648239.0,South East,2016
3259,Newcastle University,Sch of Natural Sciences & Env Sciences,Fellowship,197299.0,North East,2016
3260,Evolution Artificial Intelligence Ltd,,Collaborative R&D,664267.0,London,2018
3261,University of Southampton,Sch of Biological Sciences,Research Grant,151653.0,South East,2018
3262,Great British Sports Cars Limited,,Collaborative R&D,2096890.0,East Midlands,2018
3263,"Royal Holloway, University of London",Psychology,Research Grant,186174.0,South East,2016
3264,University of Manchester,Chemistry,Fellowship,1422791.0,North West,2015
3265,University of York,Biology,Research Grant,517300.0,Yorkshire and The Humber,2016
3266,University of St Andrews,Chemistry,Training Grant,98212.0,Scotland,2017
3267,University of Leeds,Sch of Design,Research Grant,196731.0,Yorkshire and The Humber,2017
3268,University of Edinburgh,Sch of Physics and Astronomy,Research Grant,637365.0,Scotland,2016
3269,University College London,Medicine,Research Grant,3537369.0,London,2018
3270,Cagen Limited,,Feasibility Studies,104633.0,Unknown,2018
3271,GKN Aerospace Services Limited,,BIS-Funded Programmes,15000000.0,South East,2018
3272,University of Southampton,Research and Innovation Services,Training Grant,645360.0,South East,2015
3273,University of Warwick,Politics and International Studies,Research Grant,279232.0,West Midlands,2016
3274,University of Glasgow,Business School,Research Grant,60243.0,Scotland,2018
3275,University of Manchester,School of Health Sciences,Research Grant,608145.0,North West,2015
3276,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,964969.0,Scotland,2018
3277,Rothamsted Research,Plant Sciences,Research Grant,70223.0,East of England,2014
3278,Isotropic Systems Ltd,,Feasibility Studies,571851.0,London,2018
3279,University of Edinburgh,Centre for Cardiovascular Science,Research Grant,214157.0,Scotland,2016
3280,Freeline Therapeutics Limited,,Collaborative R&D,949549.0,Unknown,2018
3281,Institute for Fiscal Studies,IFS Research Team,Research Grant,676614.0,London,2017
3282,Queen's University of Belfast,Sch of Mathematics and Physics,Fellowship,416568.0,Northern Ireland,2015
3283,University of Manchester,School of Biological Sciences,Research Grant,740023.0,North West,2015
3284,Queen's University of Belfast,Sch of Natural and Built Environment,Research Grant,100753.0,Northern Ireland,2018
3285,University of Liverpool,,Knowledge Transfer Partnership,318651.0,North West,2018
3286,Durham University,Biosciences,Training Grant,95042.0,North East,2015
3287,University College London,Chemical Engineering,Research Grant,1146842.0,London,2015
3288,Rothamsted Research,Sustainable Agriculture Sciences-NW,Research Grant,202578.0,East of England,2015
3289,Ideal First Car,,Collaborative R&D,8414.0,Unknown,2018
3290,University of St Andrews,Biology,Research Grant,495301.0,Scotland,2018
3291,University of Exeter,Engineering Computer Science and Maths,Research Grant,456905.0,South West,2018
3292,University of Sussex,Sch of Life Sciences,Research Grant,2025000.0,South East,2017
3293,Newcastle University,Sch of Engineering,Research Grant,1523519.0,North East,2017
3294,John Innes Centre,Molecular Microbiology,Research Grant,516559.0,East of England,2017
3295,University of Leicester,,Knowledge Transfer Partnership,133625.0,East Midlands,2017
3296,University of Oxford,Earth Sciences,Research Grant,52768.0,South East,2016
3297,University of Sheffield,Geography,Research Grant,473065.0,Yorkshire and The Humber,2016
3298,Durham University,Engineering,Research Grant,1108696.0,North East,2017
3299,University of St Andrews,Biology,Research Grant,388275.0,Scotland,2017
3300,University of Manchester,Physics and Astronomy,Research Grant,87889.0,North West,2017
3301,National Inst of Agricultural Botany,Genetics and Breeding,Research Grant,642829.0,East of England,2015
3302,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,808531.0,Scotland,2015
3303,University of Reading,Meteorology,Fellowship,468811.0,South East,2015
3304,University of Bristol,Oral and Dental Science,Training Grant,95042.0,South West,2015
3305,"Royal Holloway, University of London",Physics,Research Grant,194532.0,South East,2018
3306,Octopus Energy Limited,,Collaborative R&D,3104622.0,Unknown,2018
3307,University of Strathclyde,Mathematics and Statistics,Fellowship,283726.0,Scotland,2018
3308,Imperial College London,Materials,Research Grant,1158109.0,London,2018
3309,University of Manchester,Mechanical Aerospace and Civil Eng,Fellowship,1340905.0,North West,2017
3310,Rolls-Royce plc,,BIS-Funded Programmes,8998343.0,London,2017
3311,University of Nottingham,Faculty of Engineering,Research Grant,4108787.0,East Midlands,2013
3312,M-Squared Lasers Limited,,Collaborative R&D,681713.0,Scotland,2018
3313,University of Southampton,Faculty of Engineering & the Environment,Research Grant,300000.0,South East,2018
3314,University of Manchester,School of Medical Sciences,Research Grant,324224.0,North West,2017
3315,University of Kent,Sch of Physical Sciences,Research Grant,338397.0,South East,2016
3316,University of Sussex,Sch of Business Management & Economics,Research Grant,352581.0,South East,2018
3317,University of Liverpool,Institute of Infection and Global Health,Research Grant,606976.0,North West,2017
3318,University of Manchester,Physics and Astronomy,Research Grant,571284.0,North West,2018
3319,University of Exeter,University of Exeter Medical School,Research Grant,249390.0,South West,2016
3320,University of Sheffield,Information School,Training Grant,98212.0,Yorkshire and The Humber,2017
3321,University of Edinburgh,The Roslin Institute,Research Grant,393498.0,Scotland,2015
3322,London Sch of Hygiene and Trop Medicine,Epidemiology and Population Health,Research Grant,2841141.0,London,2014
3323,University of Oxford,Oxford Physics,Research Grant,160964.0,South East,2017
3324,University of Exeter,Administration,Training Grant,81430.0,South West,2016
3325,University College London,Chemistry,Research Grant,564008.0,London,2015
3326,Echion Technologies Ltd,,Collaborative R&D,1004522.0,Unknown,2018
3327,University of Exeter,Geography,Research Grant,76198.0,South West,2018
3328,University of Oxford,Zoology,Training Grant,320405.0,South East,2018
3329,University of Bristol,Biochemistry,Research Grant,712016.0,South West,2018
3330,London School of Economics & Pol Sci,Media and Communications,Fellowship,100377.0,London,2018
3331,Lancaster University,History,Research Grant,19969.0,North West,2018
3332,University of Glasgow,School of Engineering,Research Grant,1191996.0,Scotland,2017
3333,University of Southampton,,Study,4500000.0,South East,2014
3334,University of Oxford,Geography - SoGE,Fellowship,88041.0,South East,2018
3335,University of Warwick,Physics,Training Grant,2138508.0,West Midlands,2017
3336,University of Birmingham,School of Physics and Astronomy,Research Grant,126620.0,West Midlands,2018
3337,Oxford Expression Technologies Limited,,Collaborative R&D,275526.0,South East,2016
3338,University of East Anglia,Environmental Sciences,Research Grant,240897.0,East of England,2018
3339,Litus Industrial Limited,,Feasibility Studies,67806.0,Unknown,2018
3340,Greater London Authority,,CRD,185282.0,London,2018
3341,Newcastle University,Sch of Engineering,Research Grant,1288830.0,North East,2016
3342,Plymouth Marine Laboratory,Plymouth Marine Lab,Research Grant,83458.0,South West,2014
3343,University of Bristol,Geographical Sciences,Research Grant,218830.0,South West,2018
3344,University of Southampton,Sch of Biological Sciences,Fellowship,440281.0,South East,2016
3345,University of Sheffield,Physics and Astronomy,Research Grant,1234904.0,Yorkshire and The Humber,2017
3346,University of Nottingham,Sch of Chemistry,Research Grant,965910.0,East Midlands,2018
3347,University of Southampton,Cancer Sciences,Training Grant,98212.0,South East,2017
3348,Agm Batteries Limited,,Collaborative R&D,2700928.0,London,2016
3349,University of Oxford,Tropical Medicine,Research Grant,210636.0,South East,2017
3350,University of Bristol,Senior Faculty Accountant,Training Grant,3459278.0,South West,2014
3351,University of Kent,Sch of Biosciences,Research Grant,811630.0,South East,2014
3352,University of Sussex,Sch of Global Studies,Research Grant,1070693.0,South East,2016
3353,"Royal Holloway, University of London",Information Security,Research Grant,747776.0,South East,2014
3354,University of Dundee,Civil Engineering,Research Grant,1000951.0,Scotland,2016
3355,University of Nottingham,Research and Innovation,Research Grant,250000.0,East Midlands,2018
3356,Innovative Technology and Science Limited,,Feasibility Studies,252018.0,East of England,2017
3357,University of Exeter,History,Research Grant,760435.0,South West,2017
3358,University of Abertay Dundee,,CRD,99210.0,Scotland,2018
3359,Carr Reinforcements Limited,,EU-Funded,332622.0,North West,2017
3360,University of Cambridge,Public Health and Primary Care,Research Grant,1863965.0,East of England,2016
3361,University of Central Lancashire,Jeremiah Horrocks Institute,Training Grant,361275.0,North West,2015
3362,Newcastle University,Institute of Genetic Medicine,Research Grant,558443.0,North East,2016
3363,University of Warwick,School of Life Sciences,Training Grant,98212.0,West Midlands,2017
3364,Tritech International Limited,,CR&D Bilateral,44234.0,Scotland,2015
3365,University of Cambridge,Chemical Engineering and Biotechnology,Research Grant,393250.0,East of England,2016
3366,University of Oxford,Clinical Neurosciences,Research Grant,1305984.0,South East,2013
3367,"Queen Mary, University of London",William Harvey Research Institute,Research Grant,485640.0,London,2016
3368,University College London,Medicine,Research Grant,252020.0,London,2017
3369,High Value Manufacturing Catapult,,Centres,18190000.0,West Midlands,2013
3370,University of Leeds,Applied Mathematics,Fellowship,816590.0,Yorkshire and The Humber,2018
3371,Act Blade Limited,,Collaborative R&D,1028632.0,Scotland,2016
3372,Cardiff University,School of Biosciences,Research Grant,370341.0,Wales,2015
3373,University of Manchester,Chemistry,Training Grant,49106.0,North West,2017
3374,University of Edinburgh,Sch of Informatics,Research Grant,1447472.0,Scotland,2016
3375,Queen's University of Belfast,Sch of Pharmacy,Research Grant,446937.0,Northern Ireland,2018
3376,University College London,Behavioural Science and Health,Research Grant,1014879.0,London,2018
3377,Babraham Institute,Signalling,Training Grant,94126.0,East of England,2015
3378,University of Southampton,School of Physics and Astronomy,Research Grant,1097527.0,South East,2018
3379,University of Southampton,Faculty of Engineering & the Environment,Research Grant,1019193.0,South East,2018
3380,Nquiringminds Limited,,Collaborative R&D,710852.0,South East,2017
3381,University of Oxford,Physiology Anatomy and Genetics,Research Grant,1288873.0,South East,2014
3382,University of Leicester,,Knowledge Transfer Partnership,148865.0,East Midlands,2015
3383,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,222312.0,West Midlands,2018
3384,University of Bradford,Sch of Life Sciences,Research Grant,128364.0,Yorkshire and The Humber,2018
3385,Keele University,Faculty of Humanities & Social Sciences,Research Grant,170334.0,West Midlands,2016
3386,University of Nottingham,Sch of Mathematical Sciences,Research Grant,636315.0,East Midlands,2015
3387,University of Liverpool,Institute of Ageing and Chronic Disease,Research Grant,300000.0,North West,2018
3388,University of Manchester,Chemistry,Research Grant,115684.0,North West,2018
3389,Lancaster University,Chemistry,Research Grant,280433.0,North West,2017
3390,University of Bristol,Earth Sciences,Research Grant,40078.0,South West,2018
3391,University of Manchester,Physics and Astronomy,Fellowship,1207766.0,North West,2016
3392,University of Leicester,Sch of Historical Studies,Research Grant,1007672.0,East Midlands,2018
3393,John Innes Centre,Cell and Develop Biology,Training Grant,95042.0,East of England,2015
3394,University of St Andrews,Geography and Sustainable Development,Research Grant,48688.0,Scotland,2018
3395,University of St Andrews,Sch of Classics,Fellowship,150879.0,Scotland,2017
3396,School of Oriental & African Studies,Politics and International Studies,Research Grant,633870.0,London,2014
3397,University College London,Division of Psychiatry,Fellowship,94592.0,London,2018
3398,Spirea Limited,,Feasibility Studies,104123.0,East of England,2018
3399,University of Southampton,Sch of Mathematical Sciences,Training Grant,600000.0,South East,2018
3400,University of Bath,Mathematical Sciences,Training Grant,3776091.0,South West,2014
3401,University of Reading,,Knowledge Transfer Partnership,146524.0,South East,2017
3402,Plymouth Marine Laboratory,Plymouth Marine Lab,Research Grant,89553.0,South West,2016
3403,Imperial College London,Dept of Chemistry,Training Grant,104696.0,London,2016
3404,University of Exeter,Physics,Research Grant,2433194.0,South West,2017
3405,Queen's University of Belfast,Centre for Experimental Medicine,Research Grant,467333.0,Northern Ireland,2016
3406,University of Nottingham,School of Life Sciences,Research Grant,708201.0,East Midlands,2016
3407,University of Birmingham,Chemical Engineering,Research Grant,881018.0,West Midlands,2017
3408,University of Oxford,Oxford Physics,Fellowship,55270.0,South East,2017
3409,University of Warwick,Physics,Research Grant,607640.0,West Midlands,2018
3410,University of Cambridge,Pharmacology,Training Grant,90000.0,East of England,2016
3411,University of Sussex,Sch of Life Sciences,Research Grant,602390.0,South East,2016
3412,University of Birmingham,School of Physics and Astronomy,Research Grant,35513854.0,West Midlands,2014
3413,University of Bradford,School of Engineering and Informatics,Research Grant,379153.0,Yorkshire and The Humber,2016
3414,"Queen Mary, University of London",Blizard Institute of Cell and Molecular,Fellowship,547618.0,London,2018
3415,Uavaid Limited,,Feasibility Studies,669083.0,London,2017
3416,University of Cambridge,Engineering,Fellowship,1268021.0,East of England,2018
3417,University of Sussex,Sch of Engineering and Informatics,Research Grant,671813.0,South East,2015
3418,Oxford Brookes University,,Knowledge Transfer Partnership,199407.0,South East,2017
3419,University of Sheffield,Physics and Astronomy,Research Grant,203683.0,Yorkshire and The Humber,2015
3420,University of Birmingham,Civil Engineering,Research Grant,722189.0,West Midlands,2015
3421,University of Ulster,,Knowledge Transfer Partnership,80236.0,Northern Ireland,2017
3422,Lancaster University,History,Research Grant,36093.0,North West,2018
3423,NERC Centre for Ecology and Hydrology,Pollution (Wallingford),Research Grant,1000530.0,South East,2018
3424,University of Oxford,RDM OCDEM,Research Grant,177535.0,South East,2016
3425,University of York,Chemistry,Research Grant,359780.0,Yorkshire and The Humber,2017
3426,Impression Technologies Limited,,Collaborative R&D,850452.0,London,2017
3427,University of Bristol,Geographical Sciences,Research Grant,253518.0,South West,2013
3428,University of Sheffield,Electronic and Electrical Engineering,Research Grant,593919.0,Yorkshire and The Humber,2015
3429,Newcastle University,Sch of Engineering,Research Grant,457938.0,North East,2017
3430,University College London,Doctoral School,Training Grant,742896.0,London,2017
3431,University of Edinburgh,Centre Cogn Ageing and Cogn Epidemiology,Research Grant,596355.0,Scotland,2018
3432,University of Bristol,Geographical Sciences,Research Grant,585987.0,South West,2018
3433,Addis Ababa University,Science and Mathematics Education,Research Grant,188402.0,Outside UK,2015
3434,Oxford Brookes University,,Knowledge Transfer Partnership,96861.0,South East,2017
3435,University of Oxford,Social Sciences Division,Training Grant,19030325.0,South East,2011
3436,National Oceanography Centre,Science and Technology,Research Grant,207284.0,South East,2015
3437,University of Nottingham,,Knowledge Transfer Partnership,138242.0,East Midlands,2015
3438,It Power Consulting Limited,,Collaborative R&D,1514326.0,South West,2012
3439,F2g Ltd,,Collaborative R&D,709876.0,North West,2017
3440,NERC Centre for Ecology and Hydrology,Hydro-climate Risks,Research Grant,271404.0,South East,2015
3441,University of Brighton,"Sch of Computing, Engineering & Maths",Research Grant,128403.0,South East,2017
3442,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Research Grant,196575.0,East Midlands,2018
3443,University of Sussex,Sch of Global Studies,Research Grant,251372.0,South East,2015
3444,Medical Wireless Sensing Ltd,,Collaborative R&D,705131.0,London,2018
3445,University of East Anglia,Chemistry,Research Grant,349185.0,East of England,2018
3446,Lancaster University,Medicine,Fellowship,238548.0,North West,2016
3447,University of Oxford,Oxford Physics,Research Grant,617414.0,South East,2016
3448,Loughborough University,Enterprise Office,Training Grant,350169.0,East Midlands,2014
3449,University of York,Physics,Training Grant,239183.0,Yorkshire and The Humber,2015
3450,National Inst of Agricultural Botany,Centre for Research,Research Grant,66684.0,East of England,2018
3451,University of Reading,Sch of Biological Sciences,Research Grant,833193.0,South East,2016
3452,Newcastle University,"Sch of Maths, Statistics and Physics",Training Grant,75332.0,North East,2018
3453,London School of Economics & Pol Sci,Department of International Development,Research Grant,713485.0,London,2017
3454,ITM Power (Trading) Limited,,Collaborative R&D,101081.0,East Midlands,2018
3455,London School of Economics & Pol Sci,Centre for the Analysis of Time Series,Research Grant,258417.0,London,2018
3456,Northumbria University,Fac of Engineering and Environment,Research Grant,194232.0,North East,2018
3457,University of Nottingham,Sch of Pharmacy,Research Grant,102143.0,East Midlands,2018
3458,Johns Hopkins University,John Hopkins University,Research Grant,865561.0,Outside UK,2015
3459,Gendius Limited,,Collaborative R&D,373860.0,North West,2017
3460,University of East London,,Knowledge Transfer Partnership,146672.0,London,2018
3461,University of Nottingham,Faculty of Engineering,Research Grant,512576.0,East Midlands,2016
3462,Eagle Genomics Limited,,Feasibility Studies,577080.0,East Midlands,2017
3463,University of Nottingham,Sch of Biosciences,Research Grant,1089209.0,East Midlands,2016
3464,University of Central Lancashire,Jeremiah Horrocks Institute,Training Grant,74539.0,North West,2018
3465,C4 Carbides Limited,,Collaborative R&D,591713.0,East of England,2018
3466,International START Secretariat,Headquarters,Research Grant,256405.0,Outside UK,2015
3467,Lancaster University,Mathematics and Statistics,Research Grant,2750889.0,North West,2016
3468,University of Sheffield,Research Finance,Training Grant,3558993.0,Yorkshire and The Humber,2015
3469,University of Dundee,School of Life Sciences,Research Grant,513685.0,Scotland,2014
3470,University of Birmingham,Chemical Engineering,Training Grant,3609849.0,West Midlands,2014
3471,Netcomposites Limited,,Collaborative R&D,605792.0,Unknown,2017
3472,Iknaia Limited,,Feasibility Studies,64109.0,South East,2017
3473,Cardiff University,School of Earth and Ocean Sciences,Research Grant,83471.0,Wales,2014
3474,Cranfield University,"School of Water, Energy and Environment",Research Grant,1033329.0,East of England,2016
3475,University of Edinburgh,Sch of Physics and Astronomy,Research Grant,101213.0,Scotland,2017
3476,University of Manchester,Chemistry,Research Grant,1243310.0,North West,2015
3477,University of Leeds,Sch of Molecular & Cellular Biology,Research Grant,494318.0,Yorkshire and The Humber,2018
3478,University of York,Theatre Film and TV,Research Grant,101058.0,Yorkshire and The Humber,2017
3479,University of Oxford,Experimental Psychology,Fellowship,460831.0,South East,2016
3480,University of York,Biology,Research Grant,400879.0,Yorkshire and The Humber,2016
3481,University of Bristol,Earth Sciences,Research Grant,586069.0,South West,2016
3482,University of Manchester,Social Sciences,Research Grant,456359.0,North West,2018
3483,University of Cambridge,Genetics,Research Grant,1838782.0,East of England,2018
3484,University of Strathclyde,"Naval Architecture, Ocean & Marine Eng",Research Grant,574901.0,Scotland,2018
3485,Queen's University of Belfast,Sch of Mathematics and Physics,Research Grant,608106.0,Northern Ireland,2017
3486,University of Edinburgh,Sch of Engineering,Research Grant,1023515.0,Scotland,2016
3487,University of York,Health Science,Research Grant,1022359.0,Yorkshire and The Humber,2018
3488,University of Aberdeen,"Sch of Medicine, Medical Sci & Nutrition",Training Grant,90000.0,Scotland,2016
3489,University of Bristol,Geographical Sciences,Fellowship,392088.0,South West,2015
3490,King's College London,Social Genetic and Dev Psychiatry Centre,Research Grant,1440256.0,London,2017
3491,NERC British Geological Survey,Minerals & Waste,Research Grant,411146.0,East Midlands,2015
3492,University of Edinburgh,Sch of Biological Sciences,Research Grant,1440929.0,Scotland,2013
3493,The Pirbright Institute,Administration Office,Training Grant,96000.0,South East,2018
3494,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,81867.0,South East,2017
3495,University of Manchester,Computer Science,Research Grant,39796.0,North West,2017
3496,Addis Ababa University,Science and Mathematics Education,Research Grant,113266.0,Outside UK,2015
3497,Aseptika Limited,,Collaborative R&D,891034.0,East of England,2017
3498,Bangor University,Sch of Health Sciences,Research Grant,1082527.0,Wales,2014
3499,Imperial College London,Department of Chemical Engineering,Training Grant,103042.0,London,2015
3500,University of East Anglia,Biological Sciences,Research Grant,450023.0,East of England,2018
3501,University of Essex,Economics,Research Grant,170427.0,East of England,2018
3502,University of Hull,Chemical Engineering,Research Grant,99778.0,Yorkshire and The Humber,2018
3503,Newcastle University,School of Arts and Cultures,Research Grant,1201336.0,North East,2016
3504,University of Sheffield,Biomedical Science,Training Grant,98212.0,Yorkshire and The Humber,2017
3505,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,584951.0,Scotland,2018
3506,University of Leeds,Physics and Astronomy,Research Grant,686050.0,Yorkshire and The Humber,2015
3507,University of Plymouth,Sch of Geog Earth & Environ Sciences,Research Grant,97406.0,South West,2018
3508,University of Exeter,Biosciences,Research Grant,462583.0,South West,2016
3509,Cardiff University,School of Physics and Astronomy,Research Grant,758555.0,Wales,2018
3510,University of Liverpool,Computer Science,Training Grant,300000.0,North West,2018
3511,The Francis Crick Institute,Research,Research Grant,428629.0,Unknown,2015
3512,University College London,Maternal & Fetal Medicine,Research Grant,514403.0,London,2017
3513,University of Birmingham,,Knowledge Transfer Partnership,140446.0,West Midlands,2013
3514,University of Nottingham,Research and Graduate Services,Training Grant,424245.0,East Midlands,2018
3515,University of Cambridge,Applied Maths and Theoretical Physics,Fellowship,1206869.0,East of England,2015
3516,Inventor-E Limited,,Feasibility Studies,272364.0,West Midlands,2018
3517,University College London,Chemical Engineering,Research Grant,779227.0,London,2015
3518,University of Cambridge,Physics,Research Grant,970062.0,East of England,2016
3519,University of Southampton,Faculty of Engineering & the Environment,Research Grant,177437.0,South East,2017
3520,University of Edinburgh,Sch of Physics and Astronomy,Research Grant,632572.0,Scotland,2018
3521,University of Liverpool,Institute of Integrative Biology,Training Grant,99034.0,North West,2018
3522,John Innes Centre,Contracts Office,Research Grant,200500.0,East of England,2018
3523,Imperial College London,Dept of Bioengineering,Research Grant,185983.0,London,2017
3524,Cranfield University,"School of Water, Energy and Environment",Research Grant,99062.0,East of England,2016
3525,University of Oxford,Mathematical Institute,Fellowship,222854.0,South East,2015
3526,West Yorkshire Combined Authority / Leeds City Region Enterprise Partnership,,CRD,59002.0,Unknown,2018
3527,Bangor University,Sch of Natural Sciences,Research Grant,524663.0,Wales,2015
3528,Biotoolomics Limited,,Feasibility Studies,67078.0,North East,2018
3529,University College London,Civil Environmental and Geomatic Eng,Research Grant,532526.0,London,2016
3530,University of Leicester,Engineering,Training Grant,300000.0,East Midlands,2018
3531,Liverpool School of Tropical Medicine,Vector Biology,Research Grant,508718.0,North West,2017
3532,University of Sussex,Sch of Mathematical & Physical Sciences,Training Grant,376649.0,South East,2018
3533,University of Sheffield,,Knowledge Transfer Partnership,81270.0,Yorkshire and The Humber,2017
3534,Blue Sky Bio Ltd,,Feasibility Studies,68713.0,Unknown,2018
3535,Swansea University,Institute of Life Science Medical School,Research Grant,4373291.0,Wales,2013
3536,University of Leeds,Mechanical Engineering,Research Grant,3024404.0,Yorkshire and The Humber,2015
3537,Ultrahaptics Holdings Ltd,,Feasibility Studies,69406.0,Unknown,2018
3538,University of East Anglia,Norwich Medical School,Research Grant,148494.0,East of England,2018
3539,Lancaster University,Lancaster Environment Centre,Training Grant,99034.0,North West,2018
3540,University of Essex,Computer Sci and Electronic Engineering,Research Grant,519258.0,East of England,2016
3541,University of Edinburgh,Sch of Engineering,Fellowship,633926.0,Scotland,2018
3542,University of Salford(The),,Knowledge Transfer Partnership,110114.0,North West,2018
3543,Durham University,Computer Science,Research Grant,108682.0,North East,2017
3544,University of Exeter,Engineering Computer Science and Maths,Research Grant,37833.0,South West,2018
3545,University of Glasgow,School of Physics and Astronomy,Research Grant,3906997.0,Scotland,2015
3546,University of Strathclyde,Physics,Research Grant,366440.0,Scotland,2018
3547,Imperial College London,Dept of Physics,Research Grant,2070977.0,London,2016
3548,John Innes Centre,Computational and Systems Biology,Research Grant,752055.0,East of England,2017
3549,University of Bath,Mathematical Sciences,Fellowship,319107.0,South West,2018
3550,Larkfleet Limited,,Feasibility Studies,203250.0,East Midlands,2017
3551,Freeform Fabrication Industries Limited,,Collaborative R&D,861347.0,North West,2017
